Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Jason Witten (FA),94,128,"1,002",10.7,33,0,9,0,0,0,1,16,248.2,15.5,0.00%
2,Vernon Davis (FA),56,93,914,16.3,66,0,7,0,0,0,0,16,191.4,12,1.60%
3,Antonio Gates (FA),50,65,782,15.6,48,0,10,0,0,0,0,10,188.2,18.8,0.20%
4,Marcedes Lewis (CHI),58,89,700,12.1,42,0,10,0,0,0,2,16,184,11.5,0.10%
5,Chris Cooley (FA),77,126,849,11,35,0,3,0,0,0,1,16,179.9,11.2,0.00%
6,Tony Gonzalez (FA),70,108,656,9.4,34,0,6,0,0,0,0,16,171.6,10.7,0.00%
7,Kellen Winslow (FA),66,98,730,11.1,41,0,5,0,0,0,0,16,169,10.6,0.00%
8,Brandon Pettigrew (FA),71,111,722,10.2,35,0,4,0,0,0,0,16,167.2,10.5,0.00%
9,Benjamin Watson (FA),68,102,763,11.2,44,0,3,1,-1,0,0,16,162.2,10.1,2.80%
10,Zach Miller (LV),60,92,685,11.4,43,0,5,0,0,0,0,15,158.5,10.6,0.00%
11,Rob Gronkowski (FA),42,59,546,13,28,0,10,0,0,0,1,16,154.6,9.7,1.50%
12,Jacob Tamme (FA),67,93,631,9.4,30,0,4,0,0,0,0,16,154.1,9.6,0.00%
13,Dustin Keller (FA),55,100,687,12.5,41,0,5,0,0,0,0,16,153.7,9.6,0.00%
14,Aaron Hernandez (FA),45,64,563,12.5,46,0,6,3,47,0,0,14,142,10.1,0.00%
15,Todd Heap (FA),40,64,599,15,65,0,5,0,0,0,0,13,129.9,10,0.00%
16,Jermaine Gresham (FA),52,83,471,9.1,27,0,4,0,0,0,1,15,123.1,8.2,0.00%
17,Tony Moeaki (FA),47,73,556,11.8,34,0,3,0,0,0,0,15,120.6,8,0.00%
18,Brent Celek (FA),42,79,511,12.2,65,0,4,0,0,0,0,16,117.1,7.3,0.00%
19,Kevin Boss (FA),35,70,531,15.2,54,0,5,0,0,0,1,15,116.1,7.7,0.00%
20,Anthony Fasano (FA),39,60,528,13.5,31,0,4,0,0,0,0,15,115.8,7.7,0.10%
21,Visanthe Shiancoe (FA),47,79,530,11.3,33,0,2,0,0,0,0,16,112,7,0.00%
22,Joel Dreessen (FA),36,55,518,14.4,43,0,4,0,0,0,1,16,109.8,6.9,0.00%
23,Greg Olsen (FA),41,70,404,9.9,39,0,5,0,0,0,1,16,109.4,6.8,7.00%
24,Heath Miller (FA),42,67,512,12.2,36,0,2,0,0,0,1,14,103.2,7.4,0.00%
25,Jeremy Shockey (FA),41,59,408,10,31,0,3,0,0,0,0,13,99.8,7.7,0.00%
26,Tim Tebow (FA),0,0,0,0,0,0,0,43,227,6,0,9,98.8,11,0.50%
27,Owen Daniels (FA),38,68,471,12.4,31,0,2,0,0,0,0,11,97.1,8.8,0.00%
28,Jimmy Graham (FA),31,44,356,11.5,52,0,5,1,3,0,0,15,96.9,6.5,0.00%
29,Daniel Fells (FA),41,65,391,9.5,36,0,2,0,0,0,0,16,92.1,5.8,0.00%
30,Bo Scaife (FA),36,52,318,8.8,30,0,4,0,0,0,1,13,89.8,6.9,0.00%
31,Dallas Clark (FA),37,53,347,9.4,50,0,3,0,0,0,0,6,89.7,15,0.00%
32,Tony Scheffler (FA),45,72,378,8.4,25,0,1,0,0,0,1,15,86.8,5.8,0.00%
33,Jared Cook (FA),29,45,361,12.4,36,0,1,0,0,0,0,16,71.1,4.4,0.00%
34,Fred Davis (FA),21,31,316,15,71,0,3,0,0,0,0,16,70.6,4.4,0.00%
35,John Carlson (FA),31,58,318,10.3,37,0,1,0,0,0,0,15,68.8,4.6,0.00%
36,David Thomas (FA),30,46,219,7.3,22,0,2,0,0,0,0,12,63.9,5.3,0.00%
37,Delanie Walker (FA),29,45,331,11.4,38,0,0,3,18,0,1,14,61.9,4.4,0.10%
38,Martellus Bennett (FA),33,47,260,7.9,32,0,0,0,0,0,0,16,59,3.7,23.00%
39,Dante Rosario (FA),32,58,264,8.3,26,0,0,1,-2,0,0,16,58.2,3.6,0.00%
40,Jermichael Finley (FA),21,26,301,14.3,34,0,1,0,0,0,0,5,57.1,11.4,0.00%
41,Randy McMichael (FA),20,27,221,11.1,28,0,2,0,0,0,0,15,54.1,3.6,0.00%
42,Evan Moore (FA),16,26,322,20.1,49,0,1,0,0,0,1,9,52.2,5.8,0.00%
43,Andrew Quarless (FA),21,33,238,11.3,23,0,1,0,0,0,1,13,48.8,3.8,0.00%
44,Zach Miller (JAC),20,26,216,10.8,52,0,1,2,9,0,0,15,48.5,3.2,0.00%
45,Michael Hoomanawanui (FA),13,22,146,11.2,36,0,3,0,0,0,0,8,45.6,5.7,0.10%
46,Mike Sellers (FA),20,40,224,11.2,28,0,0,4,2,0,0,16,44.6,2.8,0.00%
47,Jeff King (FA),19,32,121,6.4,16,0,2,0,0,0,0,16,43.1,2.7,0.00%
48,Billy Bajema (FA),14,24,145,10.4,26,0,2,0,0,0,0,13,40.5,3.1,0.00%
