"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Michael Vick (FA)","233","372","62.6","3,018","8.1","21","6","34","100","676","9","3","12","310.3","25.9","0.1%"
"2","Aaron Rodgers (NYJ)","312","475","65.7","3,922","8.3","28","11","31","64","356","4","1","15","304.4","20.3","49.2%"
"3","Tom Brady (FA)","324","492","65.9","3,900","7.9","36","4","25","31","30","1","1","16","299.0","18.7","2.7%"
"4","Peyton Manning (FA)","450","679","66.3","4,700","6.9","33","17","16","18","18","0","1","16","286.0","17.9","0.0%"
"5","Philip Rivers (FA)","357","541","66.0","4,710","8.7","30","13","38","29","52","0","4","16","281.4","17.6","20.6%"
"6","Drew Brees (FA)","448","658","68.1","4,620","7.0","33","22","25","18","-3","0","2","16","270.2","16.9","35.7%"
"7","Josh Freeman (FA)","291","474","61.4","3,451","7.3","25","6","28","68","364","0","3","16","258.4","16.2","0.2%"
"8","Matt Ryan (FA)","357","571","62.5","3,705","6.5","28","9","23","46","122","0","3","16","252.4","15.8","0.1%"
"9","Matt Schaub (FA)","365","574","63.6","4,370","7.6","24","12","32","22","28","0","3","16","245.6","15.4","0.0%"
"10","Joe Flacco (IND)","306","489","62.6","3,622","7.4","25","10","40","43","84","1","4","16","231.2","14.5","17.3%"
"11","Eli Manning (FA)","339","539","62.9","4,002","7.4","31","25","16","32","70","0","5","16","230.9","14.4","2.3%"
"12","Matt Cassel (FA)","262","450","58.2","3,116","6.9","27","7","26","33","125","0","1","15","229.0","15.3","0.0%"
"13","Carson Palmer (FA)","362","586","61.8","3,970","6.8","26","20","26","32","50","0","3","16","223.9","14.0","5.6%"
"14","David Garrard (FA)","236","366","64.5","2,734","7.5","23","15","33","66","279","5","4","14","221.4","15.8","0.0%"
"15","Jay Cutler (FA)","261","432","60.4","3,274","7.6","23","16","52","50","232","1","6","15","210.2","14.0","0.2%"
"16","Kyle Orton (FA)","293","498","58.8","3,653","7.3","20","9","34","22","98","0","4","13","209.9","16.1","0.0%"
"17","Ben Roethlisberger (FA)","240","389","61.7","3,200","8.2","17","5","32","34","176","2","3","12","209.6","17.5","13.6%"
"18","Mark Sanchez (FA)","278","507","54.8","3,291","6.5","17","13","27","30","105","3","1","16","202.0","12.6","0.1%"
"19","Ryan Fitzpatrick (FA)","255","441","57.8","3,000","6.8","23","15","24","40","269","0","5","13","198.8","15.3","0.0%"
"20","Sam Bradford (FA)","354","590","60.0","3,512","6.0","18","15","34","27","63","1","2","16","190.6","11.9","0.0%"
"21","Donovan McNabb (FA)","275","472","58.3","3,377","7.2","14","15","37","29","151","0","1","13","173.9","13.4","0.0%"
"22","Shaun Hill (FA)","257","416","61.8","2,686","6.5","16","12","17","22","123","0","1","11","159.7","14.5","0.0%"
"23","Jason Campbell (FA)","194","329","59.0","2,387","7.3","13","8","33","47","222","1","1","13","157.8","12.1","0.0%"
"24","Jon Kitna (FA)","209","318","65.7","2,365","7.4","16","12","21","31","147","1","1","10","157.4","15.7","0.0%"
"25","Chad Henne (FA)","301","490","61.4","3,301","6.7","15","19","30","35","52","0","2","15","155.2","10.3","0.1%"
"26","Matt Hasselbeck (FA)","266","444","59.9","3,001","6.8","12","17","29","23","60","3","5","14","148.0","10.6","0.0%"
"27","Alex Smith (FA)","204","342","59.6","2,370","6.9","14","10","25","18","60","0","2","11","134.8","12.3","5.0%"
"28","Kerry Collins (FA)","160","278","57.6","1,823","6.6","14","8","13","10","1","0","3","10","109.1","10.9","0.0%"
"29","Tony Romo (FA)","148","213","69.5","1,605","7.5","11","7","7","6","38","0","0","6","99.2","16.5","0.1%"
"30","Brett Favre (FA)","217","358","60.6","2,509","7.0","11","19","22","17","8","0","5","13","97.1","7.5","0.0%"
"31","Colt McCoy (FA)","135","222","60.8","1,576","7.1","6","9","23","28","136","1","0","8","91.0","11.4","0.0%"
"32","Derek Anderson (FA)","169","327","51.7","2,065","6.3","7","10","25","5","25","0","3","12","89.1","7.4","0.0%"
"33","Vince Young (FA)","93","156","59.6","1,255","8.0","10","3","13","25","125","0","4","9","88.6","9.8","0.0%"
"34","Troy Smith (FA)","73","145","50.3","1,176","8.1","5","4","18","23","121","1","0","6","77.1","12.9","0.0%"
"35","Kevin Kolb (FA)","115","189","60.8","1,197","6.3","7","7","15","15","65","0","3","7","62.3","8.9","0.0%"
"36","Jimmy Clausen (FA)","157","299","52.5","1,558","5.2","3","9","33","23","57","0","2","13","58.0","4.5","0.0%"
"37","Drew Stanton (FA)","69","119","58.0","780","6.6","4","3","6","18","113","1","1","6","56.5","9.4","0.0%"
"38","Rex Grossman (FA)","74","133","55.6","884","6.6","7","4","9","3","6","0","4","4","52.0","13.0","0.0%"
"39","Bruce Gradkowski (FA)","83","157","52.9","1,059","6.7","5","7","10","12","41","0","1","6","50.5","8.4","0.0%"
"40","Matthew Stafford (LAR)","57","96","59.4","535","5.6","6","1","4","4","11","1","1","3","50.5","16.8","56.1%"
"41","Seneca Wallace (FA)","64","101","63.4","694","6.9","4","2","6","7","9","0","0","8","42.6","5.3","0.0%"
"42","Joe Webb III (FA)","54","89","60.7","477","5.4","0","3","8","18","120","2","0","5","37.1","7.4","0.0%"
"43","Charlie Whitehurst (FA)","57","99","57.6","507","5.1","2","3","5","20","43","1","0","6","36.5","6.1","0.4%"
"44","John Skelton (FA)","60","126","47.6","662","5.3","2","2","9","10","49","0","1","5","33.3","6.7","0.0%"
"45","Matt Moore (FA)","79","143","55.2","857","6.0","5","10","13","5","25","0","2","6","32.8","5.5","0.0%"
"46","Tyler Thigpen (FA)","33","62","53.2","435","7.0","2","2","8","13","73","0","0","5","28.8","5.8","0.0%"
"47","Jake Delhomme (FA)","93","149","62.4","872","5.9","2","7","6","8","-2","0","1","5","26.7","5.3","0.0%"
"48","Matt Flynn (FA)","40","66","60.6","433","6.6","3","2","7","9","26","0","1","7","25.9","3.7","0.0%"
"49","Tarvaris Jackson (FA)","34","58","58.6","341","5.9","3","4","6","7","63","0","0","3","25.9","8.6","0.0%"
"50","Stephen McGee (FA)","22","44","50.0","238","5.4","2","0","3","13","74","0","0","2","24.9","12.5","0.0%"
"51","Trent Edwards (FA)","55","101","54.5","521","5.2","2","5","11","14","58","0","0","5","24.7","4.9","0.0%"
"52","Charlie Batch (FA)","29","49","59.2","352","7.2","3","3","4","7","30","0","0","3","23.0","7.7","0.0%"
"53","Todd Bouman (FA)","18","34","52.9","222","6.5","2","2","1","2","8","0","0","1","13.7","13.7","0.0%"
"54","Mark Brunell (FA)","7","13","53.8","117","9.0","2","1","1","0","0","0","0","2","10.7","5.4","0.0%"
"55","Dennis Dixon (FA)","22","32","68.8","254","7.9","0","1","5","5","32","0","1","2","9.3","4.7","0.0%"
"56","Josh Johnson (BAL)","14","16","87.5","111","6.9","0","0","2","4","39","0","0","11","8.4","0.8","0.1%"
"57","Kellen Clemens (FA)","1","2","50.0","6","3.0","0","0","0","2","9","1","0","1","7.1","7.1","0.0%"
"58","Brian St. Pierre (FA)","13","28","46.4","173","6.2","1","2","3","0","0","0","0","1","6.9","6.9","0.0%"
"59","Brian Hoyer (FA)","7","15","46.7","122","8.1","1","1","0","10","-8","0","0","5","6.1","1.2","0.0%"
"60","Luke McCown (FA)","11","19","57.9","120","6.3","0","0","0","1","4","0","0","1","5.2","5.2","0.0%"
"61","Richard Bartel (FA)","16","28","57.1","150","5.4","0","1","2","0","0","0","0","1","4.0","4.0","0.0%"
"62","Max Hall (FA)","39","78","50.0","370","4.7","1","6","14","1","-5","0","2","6","2.2","0.4","0.0%"
"63","Chase Daniel (FA)","2","3","66.7","16","5.3","0","0","1","2","16","0","0","13","2.2","0.2","0.0%"
"64","Caleb Hanie (FA)","5","7","71.4","55","7.9","0","0","2","1","-1","0","0","2","2.1","1.1","0.0%"
"65","Tyler Palko (FA)","4","6","66.7","35","5.8","0","0","2","2","5","0","0","2","1.9","1.0","0.0%"
"66","Tony Pike (FA)","6","12","50.0","47","3.9","0","0","1","0","0","0","0","1","1.9","1.9","0.0%"
"67","Byron Leftwich (FA)","5","7","71.4","42","6.0","0","0","2","0","0","0","0","1","1.7","1.7","0.0%"
"68","Chad Pennington (FA)","1","2","50.0","19","9.5","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"69","Kyle Boller (FA)","2","4","50.0","25","6.3","0","1","1","7","18","0","0","3","0.8","0.3","0.0%"
"70","Chris Redman (FA)","4","6","66.7","20","3.3","0","0","0","1","-1","0","0","1","0.7","0.7","0.0%"
"71","Jordan Palmer (FA)","3","3","100.0","18","6.0","0","0","2","0","0","0","0","1","0.7","0.7","0.0%"
"72","David Carr (FA)","5","13","38.5","67","5.2","0","1","1","0","0","0","0","1","0.7","0.7","0.0%"
"73","Dan Orlovsky (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Rusty Smith (FA)","20","40","50.0","200","5.0","0","4","1","0","0","0","0","2","0.0","0.0","0.0%"
"75","Billy Volek (FA)","1","1","100.0","8","8.0","0","0","0","6","-5","0","0","3","-0.2","-0.1","0.0%"
"76","Sage Rosenfels (FA)","0","0","0","0","0","0","0","0","3","-3","0","0","1","-0.3","-0.3","0.0%"
"77","Brodie Croyle (FA)","8","19","42.1","38","2.0","0","1","4","0","0","0","0","2","-0.5","-0.3","0.0%"
"78","Todd Collins (FA)","10","27","37.0","68","2.5","0","5","2","0","0","0","0","2","-7.3","-3.7","0.0%"
""
""
