"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","David Akers (FA)","32","38","84.2","50","0","10","10","7","1","47","47","16","140.0","8.8","0.0%"
"2","Sebastian Janikowski (FA)","33","41","80.5","59","0","3","9","2","5","43","43","16","112.0","7.0","20.0%"
"3","Mason Crosby (FA)","22","28","78.6","56","1","4","4","7","2","46","46","16","111.0","6.9","0.1%"
"4","Matt Bryant (FA)","28","31","90.3","51","0","7","7","5","1","44","44","16","111.0","6.9","1.1%"
"5","Josh Brown (FA)","33","39","84.6","53","0","9","8","5","2","26","27","16","107.0","6.7","0.0%"
"6","Nate Kaeding (FA)","23","28","82.1","50","0","5","6","7","1","40","40","13","106.0","8.2","0.0%"
"7","Nick Folk (TEN)","30","39","76.9","56","0","7","10","1","2","37","37","16","102.0","6.4","9.4%"
"8","Lawrence Tynes (FA)","19","23","82.6","53","0","10","2","3","2","43","43","15","101.0","6.7","0.0%"
"9","Rob Bironas (FA)","24","26","92.3","55","0","4","4","7","2","38","38","16","100.0","6.3","0.0%"
"10","Connor Barth (FA)","23","28","82.1","53","0","4","7","6","1","36","36","16","98.0","6.1","0.0%"
"11","Graham Gano (NYG)","24","35","68.6","49","1","7","4","7","1","28","28","16","97.0","6.1","1.3%"
"12","Jay Feely (FA)","24","27","88.9","55","0","5","4","7","1","29","29","16","95.5","6.0","0.0%"
"13","Adam Vinatieri (FA)","26","28","92.9","48","0","3","6","4","0","51","51","16","94.0","5.9","0.2%"
"14","David Buehler (FA)","24","32","75.0","53","0","4","3","4","3","42","43","16","94.0","5.9","0.0%"
"15","Robbie Gould (FA)","25","30","83.3","54","0","6","6","2","3","35","35","16","94.0","5.9","0.1%"
"16","Billy Cundiff (FA)","26","29","89.7","49","0","8","4","4","0","39","39","16","91.0","5.7","0.0%"
"17","Josh Scobee (FA)","22","28","78.6","59","1","3","2","4","2","41","41","16","85.0","5.3","0.0%"
"18","Ryan Succop (FA)","20","26","76.9","53","0","2","2","5","1","42","42","16","79.0","4.9","0.0%"
"19","Dan Carpenter (FA)","30","41","73.2","60","1","5","0","6","2","25","25","16","77.0","4.8","0.2%"
"20","Shayne Graham (FA)","12","12","100.0","41","0","5","5","1","0","39","41","9","73.0","8.1","0.0%"
"21","Matt Prater (ARI)","16","18","88.9","59","0","1","5","4","2","28","29","12","72.0","6.0","1.7%"
"22","Garrett Hartley (FA)","20","25","80.0","52","0","2","1","4","1","40","40","14","70.0","5.0","0.0%"
"23","Shaun Suisham (FA)","14","15","93.3","48","1","3","2","8","0","19","19","7","69.0","9.9","0.0%"
"24","Rian Lindell (FA)","16","21","76.2","51","1","6","4","1","0","31","31","16","68.0","4.3","0.0%"
"25","Phil Dawson (FA)","23","28","82.1","48","1","5","6","0","0","28","28","16","64.0","4.0","0.1%"
"26","Stephen Gostkowski (FA)","10","13","76.9","43","0","2","3","1","0","26","26","8","45.0","5.6","0.1%"
"27","Neil Rackers (FA)","27","30","90.0","57","0","0","0","0","0","43","43","16","43.0","2.7","0.0%"
"28","Mike Nugent (FA)","15","19","78.9","54","0","2","2","0","1","17","17","9","34.0","3.8","1.0%"
"29","Jeff Reed (FA)","24","32","75.0","53","0","0","0","0","0","32","32","14","32.0","2.3","0.0%"
"30","Olindo Mare (FA)","25","30","83.3","51","0","0","0","0","0","31","31","16","31.0","1.9","0.0%"
"31","Ryan Longwell (FA)","17","18","94.4","48","0","0","0","0","0","30","30","16","30.0","1.9","0.0%"
"32","Stephen Hauschka (FA)","6","7","85.7","46","0","1","2","2","0","10","10","4","27.0","6.8","0.0%"
"33","Jason Hanson (FA)","12","14","85.7","52","0","0","0","0","0","19","19","8","19.0","2.4","0.0%"
"34","John Kasay (FA)","25","29","86.2","55","0","0","0","0","0","17","17","16","17.0","1.1","0.0%"
"35","Joe Nedney (FA)","11","13","84.6","51","0","0","0","0","0","17","17","9","17.0","1.9","0.0%"
"36","Dave Rayner (FA)","13","16","81.3","55","0","0","0","0","0","16","16","8","16.0","2.0","0.0%"
"37","Kris Brown (FA)","4","5","80.0","36","0","0","0","0","0","8","8","3","8.0","2.7","0.0%"
"38","Aaron Pettrey (FA)","2","4","50.0","28","0","0","0","0","0","5","5","2","5.0","2.5","0.0%"
"39","Shane Andrus (FA)","2","4","50.0","38","0","0","0","0","0","3","3","2","3.0","1.5","0.0%"
"40","John Carney (FA)","5","6","83.3","32","0","0","0","0","0","3","3","2","3.0","1.5","0.0%"
"41","Todd Carter (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"42","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"43","Rhys Lloyd (FA)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
""
""
