"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Arian Foster (FA)","327","1,616","4.9","74","0","16","66","84","604","9.2","2","2","16","392.0","24.5","0.0%"
"2","LeSean McCoy (FA)","207","1,080","5.2","62","0","7","78","90","592","7.6","2","1","15","297.2","19.8","2.0%"
"3","Peyton Hillis (FA)","270","1,177","4.4","48","0","11","61","77","477","7.8","2","5","16","294.9","18.4","0.0%"
"4","Jamaal Charles (FA)","230","1,467","6.4","80","0","5","45","64","468","10.4","3","2","16","282.5","17.7","0.1%"
"5","Ray Rice (FA)","307","1,220","4.0","50","0","5","63","83","556","8.8","1","0","16","276.6","17.3","0.0%"
"6","Adrian Peterson (FA)","283","1,298","4.6","80","0","12","36","50","341","9.5","1","1","15","275.9","18.4","2.4%"
"7","Chris Johnson (FA)","316","1,364","4.3","76","0","11","44","57","245","5.6","1","2","16","272.9","17.1","0.6%"
"8","Darren McFadden (FA)","223","1,157","5.2","57","0","7","47","61","507","10.8","3","3","13","267.4","20.6","7.0%"
"9","Matt Forte (FA)","237","1,069","4.5","68","0","6","51","70","547","10.7","3","2","16","264.6","16.5","19.1%"
"10","Steven Jackson (FA)","330","1,241","3.8","42","0","6","46","61","383","8.3","0","1","16","242.4","15.2","0.0%"
"11","Rashard Mendenhall (FA)","324","1,273","3.9","50","0","13","23","34","167","7.3","0","2","16","241.0","15.1","0.0%"
"12","Ahmad Bradshaw (FA)","276","1,235","4.5","48","0","8","47","58","314","6.7","0","6","16","239.9","15.0","0.0%"
"13","Maurice Jones-Drew (FA)","299","1,324","4.4","37","0","5","34","44","317","9.3","2","2","14","234.1","16.7","0.0%"
"14","Michael Turner (FA)","334","1,371","4.1","55","0","12","12","20","85","7.1","0","2","16","225.6","14.1","0.0%"
"15","LaDainian Tomlinson (FA)","219","914","4.2","31","0","6","52","79","368","7.1","0","0","15","216.2","14.4","0.0%"
