"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Roddy White (FA)","115","179","1,389","12.1","46","0","10","1","3","0","1","16","316.2","19.8","0.0%"
"2","Brandon Lloyd (FA)","77","153","1,448","18.8","71","0","11","1","-18","0","0","16","286.0","17.9","0.0%"
"3","Reggie Wayne (FA)","111","175","1,355","12.2","50","0","6","0","0","0","1","16","280.5","17.5","0.0%"
"4","Dwayne Bowe (FA)","72","133","1,162","16.1","75","0","15","1","4","0","0","16","278.6","17.4","0.0%"
"5","Greg Jennings (FA)","76","125","1,265","16.6","86","0","12","1","-1","0","0","16","274.4","17.2","0.0%"
"6","Calvin Johnson (FA)","77","137","1,120","14.5","87","0","12","4","32","0","0","15","266.2","17.7","0.1%"
"7","Andre Johnson (FA)","86","138","1,216","14.1","60","0","8","2","10","0","0","13","256.6","19.7","0.0%"
"8","Hakeem Nicks (FA)","79","128","1,052","13.3","46","0","11","0","0","0","0","13","250.2","19.2","0.0%"
"9","Mike Wallace (FA)","60","98","1,257","21.0","56","0","10","5","39","0","0","16","249.6","15.6","0.0%"
"10","Steve Johnson (FA)","82","142","1,073","13.1","45","0","10","0","0","0","1","16","247.3","15.5","0.0%"
"11","Larry Fitzgerald (FA)","90","173","1,137","12.6","41","0","6","0","0","0","0","16","241.7","15.1","0.2%"
"12","Santana Moss (FA)","93","145","1,115","12.0","56","0","6","5","-6","0","2","16","235.9","14.7","0.0%"
"13","Miles Austin (FA)","69","119","1,041","15.1","69","0","7","7","93","1","1","16","228.4","14.3","0.0%"
"14","Marques Colston (FA)","84","132","1,023","12.2","43","0","7","1","1","0","0","15","228.4","15.2","0.0%"
"15","Jeremy Maclin (FA)","70","115","964","13.8","83","0","10","3","36","0","1","16","228.0","14.3","0.0%"
"16","Terrell Owens (FA)","72","139","983","13.7","78","0","9","0","0","0","0","13","224.3","17.3","0.0%"
"17","Mike Williams (FA)","65","129","964","14.8","58","0","11","0","0","0","2","16","223.4","14.0","0.0%"
"18","Wes Welker (FA)","86","123","848","9.9","35","0","7","0","0","0","0","15","212.8","14.2","0.0%"
"19","Mario Manningham (FA)","60","92","944","15.7","92","0","9","1","2","0","1","16","206.6","12.9","0.0%"
"20","Percy Harvin (FA)","71","109","868","12.2","53","0","5","18","107","1","1","14","204.5","14.6","0.1%"
"21","Brandon Marshall (FA)","86","146","1,014","11.8","46","0","3","2","3","0","1","14","203.7","14.6","2.6%"
"22","DeSean Jackson (FA)","47","96","1,056","22.5","91","0","6","16","104","1","1","14","203.0","14.5","0.6%"
"23","Lance Moore (FA)","66","94","763","11.6","80","0","8","0","0","0","1","16","188.3","11.8","0.0%"
