"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Pittsburgh Steelers (PIT)","48","21","14","20","3","0","1","16","181.0","11.3","76.5%"
"2","Green Bay Packers (GB)","47","24","8","14","4","0","0","16","177.0","11.1","26.0%"
"3","New England Patriots (NE)","36","25","13","11","5","0","4","16","172.0","10.8","13.3%"
"4","Chicago Bears (CHI)","34","21","14","23","1","0","3","16","146.0","9.1","31.5%"
"5","New York Jets (NYJ)","40","12","18","17","3","2","2","16","145.0","9.1","82.8%"
"6","New York Giants (NYG)","46","16","23","30","0","0","0","16","142.0","8.9","3.0%"
"7","Arizona Cardinals (ARI)","33","17","13","11","10","0","2","16","135.0","8.4","0.8%"
"8","Atlanta Falcons (ATL)","31","22","9","12","3","0","2","16","135.0","8.4","16.6%"
"9","Los Angeles Chargers (LAC)","47","16","6","10","3","1","0","16","132.0","8.3","16.1%"
"10","New Orleans Saints (NO)","33","9","16","22","2","1","0","16","130.0","8.1","63.8%"
"11","Detroit Lions (DET)","44","14","15","16","3","1","1","16","130.0","8.1","43.3%"
"12","Las Vegas Raiders (LV)","47","12","12","12","3","2","4","16","129.0","8.1","22.3%"
"13","Philadelphia Eagles (PHI)","39","23","11","10","2","0","1","16","129.0","8.1","50.9%"
"14","Baltimore Ravens (BAL)","27","19","8","12","3","0","1","16","129.0","8.1","87.4%"
"15","Kansas City Chiefs (KC)","39","14","9","15","3","0","1","16","123.0","7.7","77.1%"
"16","Dallas Cowboys (DAL)","35","20","10","12","4","0","3","16","121.0","7.6","93.1%"
"17","Cleveland Browns (CLE)","29","19","9","8","3","0","0","16","121.0","7.6","94.2%"
"18","San Francisco 49ers (SF)","36","15","7","12","3","0","1","16","120.0","7.5","98.1%"
"19","Tampa Bay Buccaneers (TB)","26","19","9","11","3","0","1","16","120.0","7.5","20.7%"
"20","Tennessee Titans (TEN)","40","17","8","14","1","2","2","16","119.0","7.4","3.5%"
"21","Los Angeles Rams (LAR)","43","14","12","19","0","1","0","16","118.0","7.4","21.1%"
"22","Seattle Seahawks (SEA)","37","12","10","15","2","1","4","16","111.0","6.9","26.2%"
"23","Washington Commanders (WAS)","29","14","13","15","2","0","1","16","109.0","6.8","8.1%"
"24","Minnesota Vikings (MIN)","31","15","10","11","2","0","1","16","107.0","6.7","11.5%"
"25","Indianapolis Colts (IND)","30","10","11","10","3","0","2","16","105.0","6.6","24.8%"
"26","Miami Dolphins (MIA)","39","11","8","12","1","1","0","16","104.0","6.5","69.2%"
"27","Carolina Panthers (CAR)","31","17","12","13","1","1","0","16","102.0","6.4","2.9%"
"28","Cincinnati Bengals (CIN)","27","16","10","9","2","0","0","16","101.0","6.3","49.0%"
"29","Buffalo Bills (BUF)","27","11","11","12","3","0","1","16","84.0","5.3","62.7%"
"30","Houston Texans (HOU)","30","13","5","8","0","0","0","16","70.0","4.4","30.1%"
"31","Jacksonville Jaguars (JAC)","26","13","5","5","0","0","1","16","60.0","3.8","47.6%"
"32","Denver Broncos (DEN)","23","10","8","12","1","0","1","16","48.0","3.0","34.5%"
""
""
