"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tony Gonzalez (FA)","102","148","1,258","12.3","32","0","7","1","5","0","0","16","270.3","16.9","0.0%"
"2","Antonio Gates (FA)","81","114","964","11.9","72","0","13","0","0","0","0","15","255.4","17.0","0.2%"
"3","Jason Witten (FA)","87","122","980","11.3","42","0","6","0","0","0","1","16","221.0","13.8","0.0%"
"4","Jerry Porter (FA)","64","136","998","15.6","52","0","9","1","-4","0","2","16","213.4","13.3","0.0%"
"5","Randy McMichael (FA)","73","118","791","10.8","42","0","4","0","0","0","0","16","178.1","11.1","0.0%"
"6","Eric Johnson (FA)","82","117","825","10.1","25","0","2","0","0","0","1","16","174.5","10.9","0.0%"
"7","Jermaine Wiggins (FA)","71","92","705","9.9","39","0","4","0","0","0","0","14","165.5","11.8","0.0%"
"8","Jeremy Shockey (FA)","61","97","666","10.9","38","0","6","0","0","0","0","15","163.6","10.9","0.0%"
"9","Alge Crumpler (FA)","48","74","774","16.1","49","0","6","0","0","0","1","14","159.4","11.4","0.0%"
"10","Bubba Franks (FA)","34","48","361","10.6","29","0","7","0","0","0","0","16","112.1","7.0","0.0%"
"11","Daniel Graham (FA)","30","48","364","12.1","48","0","7","0","0","0","0","14","108.4","7.7","0.0%"
"12","Jeb Putzier (FA)","36","54","572","15.9","39","0","2","0","0","0","0","15","105.2","7.0","0.0%"
"13","Chris Cooley (FA)","37","63","314","8.5","31","0","6","0","0","0","0","16","104.4","6.5","0.0%"
"14","L.J. Smith (FA)","34","54","377","11.1","31","0","5","0","0","0","0","16","101.7","6.4","0.0%"
"15","Freddie Jones (FA)","45","74","426","9.5","40","0","2","0","0","0","0","16","99.6","6.2","0.0%"
"16","Marcus Pollard (FA)","29","38","309","10.7","31","0","6","0","0","0","0","12","95.9","8.0","0.0%"
"17","Bobby Wade (FA)","42","89","481","11.5","40","0","0","12","76","0","1","16","95.7","6.0","0.0%"
"18","Dallas Clark (FA)","25","39","423","16.9","80","0","5","0","0","0","1","14","95.3","6.8","0.0%"
"19","Ken Dilger (FA)","39","55","345","8.8","45","0","3","0","0","0","0","16","93.5","5.8","0.0%"
"20","Steve Heiden (FA)","28","42","287","10.3","30","0","5","0","0","0","1","12","86.7","7.2","0.0%"
"21","Jerramy Stevens (FA)","31","47","349","11.3","32","0","3","0","0","0","0","15","85.9","5.7","0.0%"
"22","Stephen Alexander (FA)","41","76","377","9.2","30","0","1","0","0","0","0","16","84.7","5.3","0.0%"
"23","Kris Mangum (FA)","34","55","323","9.5","26","0","3","0","0","0","0","14","84.3","6.0","0.0%"
"24","Boo Williams (FA)","33","75","362","11.0","22","0","2","0","0","0","1","15","79.2","5.3","0.0%"
"25","Todd Heap (FA)","27","44","303","11.2","37","0","3","0","0","0","0","6","75.3","12.6","0.0%"
"26","Aaron Shea (FA)","26","48","252","9.7","35","0","4","0","0","0","0","14","75.2","5.4","0.0%"
"27","Chad Lewis (FA)","29","46","267","9.2","21","0","3","0","0","0","0","13","73.7","5.7","0.0%"
"28","Ben Troupe (FA)","33","52","329","10.0","33","0","1","0","0","0","0","13","71.9","5.5","0.0%"
"29","Doug Jolley (FA)","27","48","313","11.6","34","0","2","0","0","0","0","16","70.3","4.4","0.0%"
"30","Mark Campbell (FA)","17","30","203","11.9","27","0","5","0","0","0","0","11","67.3","6.1","0.0%"
"31","Matt Schobel (FA)","21","33","201","9.6","76","0","4","0","0","0","1","14","63.1","4.5","0.0%"
"32","Erron Kinney (FA)","25","24","193","7.7","21","0","3","0","0","0","0","9","62.3","6.9","0.0%"
"33","Ernest Wilford (FA)","19","35","271","14.3","46","0","2","0","0","0","0","15","60.1","4.0","0.0%"
"34","Chris Baker (FA)","18","29","182","10.1","23","0","4","0","0","0","1","13","58.2","4.5","0.0%"
"35","Desmond Clark (FA)","24","49","282","11.8","31","0","1","0","0","0","1","15","56.2","3.7","0.0%"
"36","Itula Mili (FA)","23","36","240","10.4","20","0","1","0","0","0","0","14","53.0","3.8","0.0%"
"37","Daniel Wilcox (FA)","25","35","219","8.8","20","0","1","0","0","0","0","13","52.9","4.1","0.0%"
"38","Shad Meier (FA)","25","36","127","5.1","29","0","2","0","0","0","1","12","47.7","4.0","0.0%"
"39","Christian Fauria (FA)","16","20","195","12.2","25","0","2","0","0","0","0","13","47.5","3.7","0.0%"
"40","Jason Dunn (FA)","17","25","120","7.1","17","0","3","0","0","0","0","11","47.0","4.3","0.0%"
"41","Terry Jones (FA)","20","29","152","7.6","19","0","1","0","0","0","0","13","41.2","3.2","0.0%"
"42","Billy Miller (FA)","17","33","178","10.5","27","0","1","0","0","0","0","14","40.8","2.9","0.0%"
"43","Mike Seidman (FA)","13","13","123","9.5","27","0","2","0","0","0","0","13","39.3","3.0","0.0%"
"44","Robert Royal (FA)","8","15","70","8.8","23","0","4","0","0","0","0","10","39.0","3.9","0.0%"
"45","Brandon Manumaleuna (FA)","15","21","174","11.6","48","0","1","0","0","0","0","15","38.4","2.6","0.0%"
"46","Courtney Anderson (FA)","13","21","175","13.5","28","0","1","0","0","0","0","9","36.5","4.1","0.0%"
"47","Jerame Tuman (FA)","9","20","89","9.9","26","0","3","0","0","0","0","8","35.9","4.5","0.0%"
"48","Patrick Hape (FA)","8","17","35","4.4","11","0","4","0","0","0","0","10","35.5","3.6","0.0%"
"49","Teyo Johnson (FA)","9","13","131","14.6","25","0","2","0","0","0","0","8","34.1","4.3","0.0%"
"50","Tim Euhus (FA)","11","15","98","8.9","17","0","2","0","0","0","0","6","32.8","5.5","0.0%"
"51","Kyle Brady (FA)","14","23","103","7.4","21","0","1","0","0","0","0","11","30.3","2.8","0.0%"
"52","Todd Yoder (FA)","14","22","157","11.2","56","0","0","0","0","0","0","16","29.7","1.9","0.0%"
"53","Anthony Becht (FA)","13","28","100","7.7","19","0","1","0","0","0","0","15","29.0","1.9","0.0%"
"54","Justin Peelle (FA)","10","20","84","8.4","17","0","2","0","0","0","1","12","28.4","2.4","0.0%"
"55","Will Heller (FA)","12","16","98","8.2","22","0","1","0","0","0","0","10","27.8","2.8","0.0%"
"56","Jay Riemersma (FA)","7","9","82","11.7","26","0","2","0","0","0","0","8","27.2","3.4","0.0%"
"57","Ernie Conwell (FA)","10","19","102","10.2","28","0","1","0","0","0","0","13","26.2","2.0","0.0%"
"58","Donald Lee (FA)","13","20","110","8.5","15","0","1","0","0","0","2","13","26.0","2.0","0.0%"
"59","Dustin Lyman (FA)","11","23","73","6.6","13","0","1","0","0","0","0","14","24.3","1.7","0.0%"
"60","Reggie Kelly (FA)","15","21","85","5.7","14","0","0","0","0","0","0","13","23.5","1.8","0.0%"
"61","George Wrighster (FA)","10","14","69","6.9","12","0","1","0","0","0","0","4","22.9","5.7","0.0%"
"62","Brian Jones (FA)","6","19","87","14.5","26","0","1","0","0","0","0","10","22.7","2.3","0.0%"
"63","Aaron Walker (FA)","10","15","115","11.5","30","0","0","0","0","0","0","16","21.5","1.3","0.0%"
"64","Tony Stewart (FA)","10","25","48","4.8","9","0","1","0","0","0","0","16","20.8","1.3","0.0%"
"65","Casey Fitzsimmons (FA)","10","14","103","10.3","27","0","0","0","0","0","0","15","20.3","1.4","0.0%"
"66","Ryan Krause (FA)","5","6","81","16.2","29","0","1","0","0","0","0","1","19.1","19.1","0.0%"
"67","Ryan Hannam (FA)","8","12","110","13.8","36","0","0","0","0","0","0","9","19.0","2.1","0.0%"
"68","Jed Weaver (FA)","8","12","93","11.6","25","0","0","0","0","0","0","5","17.3","3.5","0.0%"
"69","Sean Berton (FA)","9","11","78","8.7","14","0","0","0","0","0","0","8","16.8","2.1","0.0%"
"70","Mike Bartrum (FA)","5","7","45","9.0","17","0","1","0","0","0","0","4","15.5","3.9","0.0%"
"71","Nate Jackson (FA)","8","11","73","9.1","20","0","0","0","0","0","0","9","15.3","1.7","0.0%"
"72","Richard Owens (FA)","8","8","69","8.6","18","0","0","0","0","0","0","4","14.9","3.7","0.0%"
"73","Marcellus Rivers (FA)","5","12","36","7.2","13","0","1","0","0","0","0","12","14.6","1.2","0.0%"
"74","David Martin (FA)","5","11","88","17.6","35","0","0","0","0","0","0","8","13.8","1.7","0.0%"
"75","Visanthe Shiancoe (FA)","5","7","25","5.0","9","0","1","0","0","0","0","8","13.5","1.7","0.0%"
"76","Cameron Cleeland (FA)","7","12","57","8.1","15","0","0","1","-2","0","0","8","12.5","1.6","0.0%"
"77","Ryan Neufeld (FA)","6","14","61","10.2","29","0","0","0","0","0","0","12","12.1","1.0","0.0%"
"78","Walter Rasby (FA)","5","9","52","10.4","13","0","0","0","0","0","0","4","10.2","2.6","0.0%"
"79","Eric Edwards (FA)","5","8","51","10.2","19","0","0","0","0","0","0","7","10.1","1.4","0.0%"
