"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tiki Barber (FA)","322","1,518","4.7","72","0","13","52","79","578","11.1","2","2","16","347.6","21.7","0.0%"
"2","LaDainian Tomlinson (FA)","339","1,335","3.9","42","0","17","53","66","441","8.3","1","2","15","336.1","22.4","0.0%"
"3","Shaun Alexander (FA)","353","1,696","4.8","44","0","16","23","38","170","7.4","4","3","16","323.6","20.2","0.0%"
"4","Domanick Williams (FA)","302","1,188","3.9","44","0","13","68","84","588","8.6","1","4","15","321.6","21.4","0.0%"
"5","Curtis Martin (FA)","371","1,697","4.6","25","0","12","41","49","245","6.0","2","0","16","319.2","20.0","0.0%"
"6","Edgerrin James (FA)","334","1,548","4.6","40","0","9","51","58","483","9.5","0","2","16","306.1","19.1","0.0%"
"7","Brian Westbrook (FA)","177","812","4.6","50","0","3","73","87","703","9.6","6","1","13","276.5","21.3","0.0%"
"8","Corey Dillon (FA)","345","1,635","4.7","44","0","12","15","21","103","6.9","1","4","15","260.8","17.4","0.0%"
"9","Clinton Portis (FA)","343","1,315","3.8","64","0","5","40","57","235","5.9","2","4","15","233.6","15.6","0.0%"
"10","Thomas Jones (FA)","240","948","4.0","54","0","7","56","72","427","7.6","0","1","14","233.5","16.7","0.0%"
"11","Rudi Johnson (FA)","361","1,454","4.0","52","0","12","15","28","84","5.6","0","4","16","232.8","14.6","0.0%"
"12","Ahman Green (FA)","259","1,163","4.5","90","0","7","40","48","275","6.9","1","4","15","228.6","15.2","0.0%"
"13","Willis McGahee (FA)","284","1,128","4.0","41","0","13","22","36","169","7.7","0","2","15","225.7","15.0","0.0%"
"14","Reuben Droughns (FA)","275","1,240","4.5","51","0","6","32","44","241","7.5","2","3","16","222.1","13.9","0.0%"
"15","Michael Pittman (FA)","219","926","4.2","78","0","7","41","65","391","9.5","3","6","13","220.7","17.0","0.0%"
"16","Warrick Dunn (FA)","265","1,106","4.2","60","0","9","29","39","294","10.1","0","2","16","219.0","13.7","0.0%"
"17","Priest Holmes (FA)","196","892","4.6","33","0","14","19","25","187","9.8","1","2","8","212.9","26.6","0.0%"
"18","Deuce McAllister (FA)","269","1,074","4.0","71","0","9","34","48","228","6.7","0","4","14","210.2","15.0","0.0%"
"19","Fred Taylor (FA)","260","1,224","4.7","46","0","2","36","58","345","9.6","1","2","14","206.9","14.8","0.0%"
"20","Nick Goings (FA)","217","821","3.8","57","0","6","45","59","394","8.8","1","1","16","206.5","12.9","0.0%"
"21","Kevin Jones (FA)","241","1,133","4.7","74","0","5","28","41","180","6.4","1","1","15","193.3","12.9","0.0%"
"22","Jerome Bettis (FA)","250","941","3.8","29","0","13","6","8","46","7.7","0","0","14","187.1","13.4","0.0%"
"23","Marshall Faulk (FA)","195","774","4.0","40","0","3","50","65","310","6.2","1","1","14","184.4","13.2","0.0%"
"24","Kevan Barlow (FA)","244","822","3.4","60","0","7","35","45","212","6.1","0","2","15","176.4","11.8","0.0%"
"25","Emmitt Smith (FA)","267","937","3.5","29","0","9","15","20","105","7.0","0","1","15","176.0","11.7","0.0%"
"26","Larry Johnson (FA)","120","581","4.8","46","0","9","22","29","278","12.6","2","0","8","173.9","21.7","0.0%"
"27","Chris Brown (FA)","220","1,067","4.9","52","0","6","20","29","147","7.4","0","4","11","169.4","15.4","0.0%"
"28","Jamal Lewis (FA)","235","1,006","4.3","75","0","7","10","12","116","11.6","0","0","12","164.2","13.7","0.0%"
"29","Derrick Blaylock (FA)","118","539","4.6","24","0","8","25","36","246","9.8","1","0","12","157.5","13.1","0.0%"
"30","Onterrio Smith (FA)","124","544","4.4","38","0","2","36","45","394","10.9","2","1","11","153.8","14.0","0.0%"
"31","Chester Taylor (FA)","160","714","4.5","47","0","2","30","38","184","6.1","0","1","16","129.8","8.1","0.0%"
"32","Steven Jackson (FA)","134","673","5.0","48","0","4","19","24","189","9.9","0","1","14","129.2","9.2","0.0%"
"33","Amos Zereoue (FA)","112","425","3.8","55","0","3","39","48","284","7.3","0","1","15","125.9","8.4","0.0%"
"34","Lee Suggs (FA)","199","744","3.7","39","0","2","20","36","178","8.9","1","3","10","124.2","12.4","0.0%"
"35","Sammy Morris (FA)","132","523","4.0","35","0","6","22","28","124","5.6","0","0","13","122.7","9.4","0.0%"
"36","Antowain Smith (FA)","137","509","3.7","43","0","4","22","26","169","7.7","0","1","11","111.8","10.2","0.0%"
"37","Tony Fisher (FA)","65","224","3.4","24","0","0","38","42","277","7.3","2","0","16","104.4","6.5","0.0%"
"38","Shawn Bryson (FA)","50","264","5.3","28","0","0","44","56","322","7.3","0","1","16","100.6","6.3","0.0%"
"39","T.J. Duckett (FA)","104","509","4.9","35","0","8","3","3","15","5.0","0","2","12","99.4","8.3","0.0%"
"40","Duce Staley (FA)","192","830","4.3","38","0","1","6","12","55","9.2","0","2","10","96.5","9.7","0.0%"
"41","Kevin Faulk (FA)","54","255","4.7","20","0","2","26","30","248","9.5","1","1","11","92.3","8.4","0.0%"
"42","William Green (FA)","163","585","3.6","46","0","2","14","22","84","6.0","0","2","14","88.9","6.4","0.0%"
"43","Mewelde Moore (FA)","65","379","5.8","33","0","0","27","32","238","8.8","0","0","10","88.7","8.9","0.0%"
"44","Jerald Sowell (FA)","2","28","14.0","19","0","0","45","59","342","7.6","1","1","16","86.0","5.4","0.0%"
"45","Moe Williams (FA)","30","161","5.4","49","0","3","21","27","233","11.1","1","0","14","84.4","6.0","0.0%"
"46","LaMont Jordan (FA)","93","479","5.2","33","0","2","15","16","112","7.5","0","0","16","84.1","5.3","0.0%"
"47","Dorsey Levens (FA)","94","410","4.4","45","0","4","9","14","92","10.2","0","0","13","83.2","6.4","0.0%"
"48","Eddie George (FA)","132","432","3.3","24","0","4","9","13","83","9.2","0","1","13","82.5","6.3","0.0%"
"49","Michael Bennett (FA)","70","276","3.9","25","0","1","21","23","207","9.9","1","0","10","81.3","8.1","0.0%"
"50","Aaron Stecker (FA)","58","244","4.2","42","0","2","29","38","174","6.0","0","1","14","80.8","5.8","0.0%"
"51","Anthony Thomas (FA)","122","404","3.3","41","0","2","17","23","132","7.8","0","1","12","80.6","6.7","0.0%"
"52","Richie Anderson (FA)","57","246","4.3","27","0","1","26","41","207","8.0","0","1","11","80.3","7.3","0.0%"
"53","Mike Alstott (FA)","67","230","3.4","32","0","2","29","41","202","7.0","0","2","14","80.2","5.7","0.0%"
"54","Tyrone Wheatley (FA)","85","327","3.8","60","0","4","15","15","78","5.2","0","0","8","79.5","9.9","0.0%"
"55","Jonathan Wells (FA)","82","299","3.6","14","0","3","11","16","79","7.2","2","1","15","78.8","5.3","0.0%"
"56","Travis Minor (FA)","109","388","3.6","34","0","3","13","27","75","5.8","0","0","11","77.3","7.0","0.0%"
"57","William Henderson (FA)","0","0","0","0","0","0","34","38","239","7.0","3","0","16","75.9","4.7","0.0%"
"58","Brad Hoover (FA)","68","246","3.6","16","0","0","21","29","161","7.7","2","0","14","73.7","5.3","0.0%"
"59","Maurice Hicks (FA)","96","362","3.8","35","0","2","16","25","154","9.6","0","3","9","73.6","8.2","0.0%"
"60","Obafemi Ayanbadejo (FA)","30","122","4.1","23","0","3","19","25","171","9.0","1","0","14","72.3","5.2","0.0%"
"61","Verron Haynes (FA)","55","272","4.9","18","0","0","18","23","142","7.9","2","0","13","71.4","5.5","0.0%"
"62","Ladell Betts (FA)","90","371","4.1","27","0","1","15","25","108","7.2","0","0","16","68.9","4.3","0.0%"
"63","Tatum Bell (FA)","75","396","5.3","29","0","3","5","7","80","16.0","0","1","10","68.6","6.9","0.0%"
"64","J.R. Redmond (FA)","21","119","5.7","18","0","0","32","50","233","7.3","0","1","16","65.2","4.1","0.0%"
"65","LaBrandon Toefield (FA)","51","169","3.3","16","0","0","28","34","151","5.4","1","1","14","64.0","4.6","0.0%"
"66","Patrick Pass (FA)","39","141","3.6","19","0","0","28","32","215","7.7","0","0","13","63.6","4.9","0.0%"
"67","Kenny Watson (FA)","26","161","6.2","25","0","0","25","35","171","6.8","1","1","16","62.2","3.9","0.0%"
"68","Jesse Chatman (FA)","65","392","6.0","52","0","3","2","2","17","8.5","0","0","15","60.9","4.1","0.0%"
"69","Quentin Griffin (FA)","85","311","3.7","47","0","2","10","14","68","6.8","1","3","6","59.9","10.0","0.0%"
"70","Zack Crockett (FA)","48","232","4.8","47","0","2","16","20","87","5.4","0","0","13","59.9","4.6","0.0%"
"71","Najeh Davenport (FA)","71","359","5.1","40","0","2","4","4","33","8.3","0","0","10","55.2","5.5","0.0%"
"72","DeShaun Foster (FA)","59","255","4.3","71","0","2","9","5","76","8.4","0","0","4","54.1","13.5","0.0%"
"73","Justin Griffith (FA)","9","39","4.3","10","0","0","22","31","220","10.0","1","0","12","53.9","4.5","0.0%"
"74","Dante Hall (FA)","8","56","7.0","17","0","0","25","38","230","9.2","0","1","16","51.6","3.2","0.0%"
"75","Troy Fleming (FA)","7","40","5.7","13","0","0","19","27","164","8.6","2","0","15","51.4","3.4","0.0%"
"76","Artose Pinner (FA)","57","174","3.1","14","0","2","11","11","72","6.5","0","0","8","47.6","6.0","0.0%"
"77","Travis Henry (FA)","94","326","3.5","19","0","0","10","14","45","4.5","0","0","9","47.1","5.2","0.0%"
"78","Josh Scobey (FA)","27","89","3.3","10","0","0","18","21","191","10.6","0","0","12","46.0","3.8","0.0%"
"79","Troy Hambrick (FA)","63","283","4.5","62","0","1","4","5","16","4.0","1","0","9","45.9","5.1","0.0%"
"80","Mack Strong (FA)","36","131","3.6","11","0","0","21","31","99","4.7","0","1","15","42.0","2.8","0.0%"
"81","Terry Jackson (FA)","26","101","3.9","13","0","0","21","29","139","6.6","0","2","14","41.0","2.9","0.0%"
"82","Greg Jones (FA)","62","162","2.6","12","0","3","3","10","13","4.3","0","0","16","38.5","2.4","0.0%"
"83","Cory Schlesinger (FA)","4","7","1.8","2","0","0","10","16","91","9.1","3","0","11","37.8","3.4","0.0%"
"84","Tony Richardson (FA)","12","56","4.7","13","0","0","19","26","118","6.2","0","0","14","36.4","2.6","0.0%"
"85","Reno Mahe (FA)","23","91","4.0","22","0","0","14","16","123","8.8","0","0","11","35.4","3.2","0.0%"
"86","Justin Fargas (FA)","35","126","3.6","15","0","1","11","14","68","6.2","0","1","10","34.4","3.4","0.0%"
"87","Dominic Rhodes (FA)","53","254","4.8","55","0","1","2","3","24","12.0","0","1","16","33.8","2.1","0.0%"
"88","Shaud Williams (FA)","42","167","4.0","27","0","2","3","3","19","6.3","0","0","4","33.6","8.4","0.0%"
"89","Kyle Johnson (FA)","0","0","0","0","0","0","9","13","126","14.0","2","0","10","33.6","3.4","0.0%"
"90","Bryan Johnson (FA)","0","0","0","0","0","0","14","25","55","3.9","2","0","12","31.5","2.6","0.0%"
"91","James Mungro (FA)","5","19","3.8","8","0","0","7","8","36","5.1","3","0","9","30.5","3.4","0.0%"
"92","Jason McKie (FA)","1","1","1.0","1","0","0","13","17","70","5.4","2","1","12","30.1","2.5","0.0%"
"93","Daimon Shelton (FA)","0","0","0","0","0","0","17","24","114","6.7","0","0","14","28.4","2.0","0.0%"
"94","Michael Cloud (FA)","21","90","4.3","26","0","3","1","1","3","3.0","0","0","7","28.3","4.0","0.0%"
"95","Maurice Morris (FA)","30","126","4.2","12","0","0","9","20","53","5.9","0","0","15","26.9","1.8","0.0%"
"96","Jim Finn (FA)","3","7","2.3","5","0","0","15","18","112","7.5","0","0","10","26.9","2.7","0.0%"
"97","Lamar Gordon (FA)","35","64","1.8","11","0","0","13","19","74","5.7","0","0","3","26.8","8.9","0.0%"
"98","Charlie Garner (FA)","30","111","3.7","25","0","0","9","14","62","6.9","0","0","3","26.3","8.8","0.0%"
"99","Jeremi Johnson (FA)","3","5","1.7","4","0","0","16","18","53","3.3","1","1","13","25.8","2.0","0.0%"
"100","Ron Dayne (FA)","52","179","3.4","15","0","1","1","4","7","7.0","0","0","11","25.6","2.3","0.0%"
"101","Dan Kreider (FA)","4","18","4.5","6","0","0","10","14","75","7.5","1","0","11","25.3","2.3","0.0%"
"102","Joey Goodspeed (FA)","3","6","2.0","2","0","1","11","16","71","6.5","0","0","15","24.7","1.6","0.0%"
"103","Willie Parker (FA)","32","186","5.8","58","0","0","3","7","16","5.3","0","0","6","23.2","3.9","0.0%"
"104","Robert Holcombe (FA)","17","62","3.6","20","0","0","11","20","60","5.5","0","0","14","23.2","1.7","0.0%"
"105","Darian Barnes (FA)","5","10","2.0","8","0","0","10","14","59","5.9","1","0","13","22.9","1.8","0.0%"
"106","Lorenzo Neal (FA)","16","53","3.3","8","0","0","13","19","66","5.1","0","1","14","22.9","1.6","0.0%"
"107","Rob Konrad (FA)","2","18","9.0","15","0","0","8","18","69","8.6","1","0","10","22.7","2.3","0.0%"
"108","Reshard Lee (FA)","27","128","4.7","14","0","1","1","3","4","4.0","0","0","12","20.2","1.7","0.0%"
"109","Chris Fuamatu-Ma'afala (FA)","20","69","3.5","10","0","1","4","6","19","4.8","0","0","7","18.8","2.7","0.0%"
"110","Alan Ricard (FA)","10","36","3.6","14","0","0","11","14","39","3.5","0","0","13","18.5","1.4","0.0%"
"111","Garrison Hearst (FA)","20","81","4.1","11","0","1","2","3","20","10.0","0","0","6","18.1","3.0","0.0%"
"112","Jameel Cook (FA)","0","0","0","0","0","0","7","12","44","6.3","1","0","7","17.4","2.5","0.0%"
"113","Jamal Robertson (FA)","16","71","4.4","16","0","1","4","5","34","8.5","0","2","11","16.5","1.5","0.0%"
"114","Josh Parry (FA)","0","0","0","0","0","0","9","18","75","8.3","0","0","11","16.5","1.5","0.0%"
"115","Leonard Henry (FA)","46","141","3.1","53","0","0","3","6","12","4.0","0","1","4","16.3","4.1","0.0%"
"116","Jamel White (FA)","27","82","3.0","16","0","0","6","9","21","3.5","0","0","11","16.3","1.5","0.0%"
"117","Fred Beasley (FA)","9","15","1.7","4","0","0","10","25","44","4.4","0","0","12","15.9","1.3","0.0%"
"118","Arlen Harris (FA)","20","63","3.2","14","0","0","4","4","44","11.0","0","0","12","14.7","1.2","0.0%"
"119","Stephen Davis (FA)","24","92","3.8","12","0","0","2","1","32","16.0","0","0","2","14.4","7.2","0.0%"
"120","Tony Hollings (FA)","11","47","4.3","13","0","0","5","7","46","9.2","0","0","5","14.3","2.9","0.0%"
"121","James Jackson (FA)","12","81","6.8","38","0","0","6","8","22","3.7","0","1","5","14.3","2.9","0.0%"
"122","Michael Turner (FA)","20","104","5.2","30","0","0","4","5","8","2.0","0","1","5","13.2","2.6","0.0%"
"123","Terrelle Smith (FA)","4","9","2.3","4","0","0","7","12","39","5.6","0","0","11","11.8","1.1","0.0%"
"124","Marc Edwards (FA)","0","0","0","0","0","0","7","8","41","5.9","0","0","7","11.1","1.6","0.0%"
"125","Mike Karney (FA)","3","7","2.3","4","0","0","6","7","42","7.0","0","0","8","10.9","1.4","0.0%"
"126","Stanley Pritchett (FA)","6","18","3.0","8","0","0","2","4","5","2.5","1","0","3","10.3","3.4","0.0%"
"127","Musa Smith (FA)","12","48","4.0","13","0","0","2","4","31","15.5","0","0","5","9.9","2.0","0.0%"
"128","Larry Croom (FA)","29","76","2.6","20","0","0","2","5","16","8.0","0","1","6","9.2","1.5","0.0%"
"129","Rabih Abdullah (FA)","13","13","1.0","5","0","1","1","2","9","9.0","0","0","7","9.2","1.3","0.0%"
"130","Joe Burns (FA)","20","73","3.7","21","0","0","1","3","7","7.0","0","0","13","9.0","0.7","0.0%"
"131","Eric McCoo (FA)","9","54","6.0","12","0","0","2","5","15","7.5","0","0","1","8.9","8.9","0.0%"
"132","Andrew Pinnock (FA)","9","26","2.9","11","0","0","3","3","26","8.7","0","0","1","8.2","8.2","0.0%"
"133","Brandon Bennett (FA)","6","17","2.8","11","0","1","0","0","0","0","0","0","7","7.7","1.1","0.0%"
"134","Thomas Tapeh (FA)","12","42","3.5","10","0","0","2","2","15","7.5","0","0","4","7.7","1.9","0.0%"
"135","Jon Ritchie (FA)","0","0","0","0","0","0","4","6","36","9.0","0","0","2","7.6","3.8","0.0%"
"136","Earnest Graham (FA)","13","73","5.6","13","0","0","0","1","0","0","0","0","7","7.3","1.0","0.0%"
"137","Adrian Peterson (FA)","6","19","3.2","13","0","0","2","2","30","15.0","0","0","12","6.9","0.6","0.0%"
"138","Chris Perry (FA)","2","1","0.5","1","0","0","3","3","33","11.0","0","0","2","6.4","3.2","0.0%"
"139","Nick Luchey (FA)","10","24","2.4","4","0","0","2","4","20","10.0","0","0","10","6.4","0.6","0.0%"
"140","Adimchinobe Echemandu (FA)","8","25","3.1","6","0","0","3","4","25","8.3","0","1","3","6.0","2.0","0.0%"
"141","Ian Smart (FA)","2","26","13.0","25","0","0","2","2","10","5.0","0","0","3","5.6","1.9","0.0%"
"142","Jamar Martin (FA)","0","0","0","0","0","0","4","8","15","3.8","0","0","6","5.5","0.9","0.0%"
"143","B.J. Askew (FA)","6","23","3.8","14","0","0","2","2","12","6.0","0","0","13","5.5","0.4","0.0%"
"144","Fred McAfee (FA)","2","54","27.0","53","0","0","0","0","0","0","0","0","11","5.4","0.5","0.0%"
"145","Joey Harris (FA)","15","53","3.5","19","0","0","0","3","0","0","0","0","3","5.3","1.8","0.0%"
"146","Brock Forsey (FA)","19","53","2.8","15","0","0","0","0","0","0","0","0","4","5.3","1.3","0.0%"
"147","Moran Norris (FA)","1","0","0.0","0","0","0","4","5","13","3.3","0","0","8","5.3","0.7","0.0%"
"148","Heath Evans (FA)","7","20","2.9","7","0","0","2","4","12","6.0","0","0","14","5.2","0.4","0.0%"
"149","Fred McCrary (FA)","0","0","0","0","0","0","2","4","23","11.5","0","0","2","4.3","2.2","0.0%"
"150","Chris Hetherington (FA)","1","4","4.0","4","0","0","3","4","28","9.3","0","1","4","4.2","1.1","0.0%"
"151","Walter Williams (FA)","6","42","7.0","28","0","0","0","0","0","0","0","0","1","4.2","4.2","0.0%"
"152","Cecil Sapp (FA)","4","32","8.0","18","0","0","0","2","0","0","0","0","3","3.2","1.1","0.0%"
"153","Cedric Cobbs (FA)","22","50","2.3","13","0","0","0","0","0","0","0","1","3","3.0","1.0","0.0%"
"154","George Layne (FA)","1","12","12.0","12","0","0","1","1","6","6.0","0","0","4","2.8","0.7","0.0%"
"155","Vick King (FA)","4","9","2.3","3","0","0","1","2","8","8.0","0","0","2","2.7","1.4","0.0%"
"156","Greg Comella (FA)","0","0","0","0","0","0","1","1","12","12.0","0","0","2","2.2","1.1","0.0%"
"157","Rod Smart (FA)","3","4","1.3","3","0","0","1","0","5","5.0","0","0","3","1.9","0.6","0.0%"
"158","Larry Ned (FA)","0","0","0","0","0","0","1","1","9","9.0","0","0","12","1.9","0.2","0.0%"
"159","Ki-Jana Carter (FA)","10","17","1.7","8","0","0","0","1","0","0","0","0","2","1.7","0.9","0.0%"
"160","Kerry Carter (FA)","4","15","3.8","6","0","0","0","0","0","0","0","0","9","1.5","0.2","0.0%"
"161","Doug Easlick (FA)","0","0","0","0","0","0","1","2","4","4.0","0","0","2","1.4","0.7","0.0%"
"162","Lousaka Polite (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","1.4","1.4","0.0%"
"163","Jarrod Baxter (FA)","2","1","0.5","1","0","0","1","2","3","3.0","0","0","3","1.4","0.5","0.0%"
"164","Jasen Isom (FA)","1","0","0.0","0","0","0","1","2","1","1.0","0","0","3","1.1","0.4","0.0%"
