"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Daunte Culpepper (FA)","379","548","69.2","4,717","8.6","39","11","46","88","406","2","4","16","373.3","23.3","0.0%"
"2","Peyton Manning (FA)","336","497","67.6","4,557","9.2","49","10","13","25","38","0","1","16","359.9","22.5","0.0%"
"3","Donovan McNabb (FA)","300","469","64.0","3,875","8.3","31","8","32","41","220","3","6","15","291.1","19.4","0.0%"
"4","Trent Green (FA)","369","556","66.4","4,591","8.3","27","17","32","25","85","0","4","16","260.2","16.3","0.0%"
"5","Jake Plummer (FA)","303","521","58.2","4,089","7.8","27","20","15","62","202","1","1","16","255.8","16.0","0.0%"
"6","Brett Favre (FA)","346","540","64.1","4,088","7.6","30","17","12","16","36","0","1","16","255.0","15.9","0.0%"
"7","Jake Delhomme (FA)","310","533","58.2","3,886","7.3","29","15","33","25","71","1","4","16","250.6","15.7","0.0%"
"8","Aaron Brooks (FA)","309","542","57.0","3,810","7.0","21","16","41","58","173","4","2","16","244.9","15.3","0.0%"
"9","Drew Brees (FA)","262","400","65.5","3,159","7.9","27","7","18","53","85","2","2","15","241.4","16.1","35.7%"
"10","Marc Bulger (FA)","321","485","66.2","3,964","8.2","21","14","41","19","89","3","4","14","235.5","16.8","0.0%"
"11","Tom Brady (FA)","288","474","60.8","3,692","7.8","28","14","26","43","28","0","5","16","224.4","14.0","2.7%"
"12","Michael Vick (FA)","181","321","56.4","2,313","7.2","14","12","46","120","902","3","7","15","218.8","14.6","0.1%"
"13","Matt Hasselbeck (FA)","279","474","58.9","3,382","7.1","22","15","30","27","90","1","1","14","210.3","15.0","0.0%"
"14","David Carr (FA)","285","466","61.2","3,531","7.6","16","14","49","73","299","0","2","16","203.1","12.7","0.0%"
"15","Byron Leftwich (FA)","267","441","60.5","2,941","6.7","15","10","25","39","148","2","1","14","190.8","13.6","0.0%"
"16","Joey Harrington (FA)","274","489","56.0","3,047","6.2","19","12","36","48","175","0","3","16","187.1","11.7","0.0%"
"17","Kerry Collins (FA)","289","513","56.3","3,495","6.8","21","20","25","16","36","0","3","14","181.3","13.0","0.0%"
"18","Vinny Testaverde (FA)","297","495","60.0","3,532","7.1","17","20","34","21","38","1","4","16","173.2","10.8","0.0%"
"19","Chad Pennington (FA)","242","370","65.4","2,673","7.2","16","9","18","34","126","1","2","13","167.6","12.9","0.0%"
"20","Ben Roethlisberger (FA)","196","295","66.4","2,621","8.9","17","11","30","56","144","1","2","14","167.0","11.9","13.6%"
"21","Billy Volek (FA)","218","357","61.1","2,486","7.0","18","10","30","11","50","1","2","10","159.5","16.0","0.0%"
"22","Drew Bledsoe (FA)","256","450","56.9","2,932","6.5","20","16","37","22","37","0","5","16","159.0","9.9","0.0%"
"23","Carson Palmer (FA)","263","432","60.9","2,897","6.7","18","18","25","18","47","1","2","13","158.6","12.2","5.6%"
"24","Brian Griese (FA)","233","336","69.3","2,632","7.8","20","12","26","30","17","0","3","11","157.5","14.3","0.0%"
"25","Kyle Boller (FA)","258","464","55.6","2,559","5.5","13","11","35","53","189","1","7","16","145.2","9.1","0.0%"
"26","Josh McCown (FA)","233","408","57.1","2,511","6.2","11","10","31","36","112","2","5","14","140.1","10.0","0.0%"
"27","Jeff Garcia (FA)","144","252","57.1","1,731","6.9","10","9","24","35","169","2","6","11","108.0","9.8","0.0%"
"28","Tim Rattay (FA)","198","325","60.9","2,169","6.7","10","10","37","12","55","0","6","9","106.3","11.8","0.0%"
"29","Kurt Warner (FA)","174","277","62.8","2,054","7.4","6","4","39","13","30","1","4","10","99.2","9.9","0.0%"
"30","A.J. Feeley (FA)","191","356","53.7","1,893","5.3","11","15","23","14","13","1","5","11","91.0","8.3","0.0%"
"31","Patrick Ramsey (FA)","169","272","62.1","1,665","6.1","10","11","23","10","19","0","1","9","84.5","9.4","0.0%"
"32","Steve McNair (FA)","129","215","60.0","1,343","6.2","8","9","13","23","128","1","2","8","84.5","10.6","0.0%"
"33","Mark Brunell (FA)","118","237","49.8","1,194","5.0","7","6","15","19","62","0","3","9","65.9","7.3","0.0%"
"34","Jay Fiedler (FA)","101","190","53.2","1,186","6.2","7","8","25","12","59","0","4","8","57.2","7.2","0.0%"
"35","Ken Dorsey (FA)","123","226","54.4","1,231","5.4","6","9","13","5","7","0","3","8","49.9","6.2","0.0%"
"36","Eli Manning (FA)","95","197","48.2","1,043","5.3","6","9","13","6","35","0","1","9","49.2","5.5","2.3%"
"37","Kelly Holcomb (FA)","59","87","67.8","737","8.5","7","5","5","3","-2","0","0","4","47.3","11.8","0.0%"
"38","Chad Hutchinson (FA)","92","161","57.1","903","5.6","4","3","23","6","14","0","4","5","39.5","7.9","0.0%"
"39","Jon Kitna (FA)","61","104","58.7","623","6.0","5","4","6","10","42","0","1","4","39.0","9.8","0.0%"
"40","Brad Johnson (FA)","65","103","63.1","674","6.5","3","3","8","5","23","0","1","4","35.4","8.9","0.0%"
"41","Taylor Jacobs (FA)","0","0","0","0","0","0","0","0","1","-6","0","0","10","35.2","3.5","0.0%"
"42","David Garrard (FA)","38","72","52.8","374","5.2","2","1","6","12","76","1","0","4","34.6","8.7","0.0%"
