"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Buffalo Bills (BUF)","45","24","15","20","4","1","5","16","184.0","11.5","62.7%"
"2","Baltimore Ravens (BAL)","39","21","13","16","7","0","2","16","180.0","11.3","87.4%"
"3","New England Patriots (NE)","45","20","16","20","4","0","1","16","177.0","11.1","13.3%"
"4","Pittsburgh Steelers (PIT)","41","19","13","16","5","1","0","16","176.0","11.0","76.5%"
"5","Atlanta Falcons (ATL)","48","19","13","19","5","0","1","16","162.0","10.1","16.6%"
"6","Cincinnati Bengals (CIN)","37","20","16","17","5","0","0","16","160.0","10.0","49.0%"
"7","Philadelphia Eagles (PHI)","47","17","11","17","2","0","0","16","153.0","9.6","50.9%"
"8","Indianapolis Colts (IND)","45","19","17","25","3","0","2","16","152.0","9.5","24.8%"
"9","Chicago Bears (CHI)","35","17","12","17","6","3","1","16","151.0","9.4","31.5%"
"10","Tampa Bay Buccaneers (TB)","45","16","11","14","3","0","1","16","149.0","9.3","20.7%"
"11","New York Jets (NYJ)","37","19","14","15","3","0","1","16","148.0","9.3","82.8%"
"12","Carolina Panthers (CAR)","34","26","12","19","3","0","0","16","145.0","9.1","2.9%"
"13","Washington Commanders (WAS)","40","18","8","12","1","0","1","16","142.0","8.9","8.1%"
"14","Arizona Cardinals (ARI)","38","15","15","20","2","1","0","16","139.0","8.7","0.8%"
"15","Houston Texans (HOU)","24","22","8","11","5","0","0","16","137.0","8.6","30.1%"
"16","Seattle Seahawks (SEA)","36","23","12","19","3","0","0","16","134.0","8.4","26.2%"
"17","Jacksonville Jaguars (JAC)","37","16","11","12","0","2","0","16","131.0","8.2","47.6%"
"18","Los Angeles Chargers (LAC)","29","23","10","12","1","1","1","16","124.0","7.8","16.1%"
"19","New Orleans Saints (NO)","37","13","20","23","1","1","2","16","120.0","7.5","63.8%"
"20","Detroit Lions (DET)","38","14","10","16","1","1","5","16","119.0","7.4","43.3%"
"21","New York Giants (NYG)","40","14","14","18","2","0","2","16","118.0","7.4","3.0%"
"22","Denver Broncos (DEN)","38","12","8","15","2","0","0","16","115.0","7.2","34.5%"
"23","Miami Dolphins (MIA)","36","15","10","16","1","1","1","16","114.0","7.1","69.2%"
"24","Cleveland Browns (CLE)","32","15","13","9","1","0","1","16","107.0","6.7","94.2%"
"25","Green Bay Packers (GB)","40","8","7","11","5","0","0","16","106.0","6.6","26.0%"
"26","Minnesota Vikings (MIN)","39","11","11","16","2","0","1","16","99.0","6.2","11.5%"
"27","Tennessee Titans (TEN)","32","18","12","10","2","0","0","16","97.0","6.1","3.5%"
"28","Los Angeles Rams (LAR)","34","6","9","12","3","0","0","16","90.0","5.6","21.1%"
"29","Kansas City Chiefs (KC)","41","13","7","14","2","0","2","16","86.0","5.4","77.1%"
"30","Dallas Cowboys (DAL)","33","13","9","11","0","1","0","16","84.0","5.3","93.1%"
"31","San Francisco 49ers (SF)","29","9","12","15","2","1","1","16","73.0","4.6","98.1%"
"32","Las Vegas Raiders (LV)","25","9","9","10","1","1","0","16","70.0","4.4","22.3%"
""
""
