"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","86","120","889","10.3","48","8","10","1","4","0","0","17","239.3","14.1","98.9%"
"2","Evan Engram (JAC)","114","143","963","8.4","34","9","4","0","0","0","2","17","230.3","13.5","96.5%"
"3","Travis Kelce (KC)","93","121","984","10.6","53","12","5","0","0","0","1","15","219.4","14.6","99.9%"
"4","T.J. Hockenson (MIN)","95","127","960","10.1","29","13","5","0","0","0","1","15","219.0","14.6","81.3%"
"5","George Kittle (SF)","65","90","1,020","15.7","66","18","6","1","2","0","0","16","203.2","12.7","97.4%"
"6","David Njoku (CLE)","81","123","882","10.9","43","12","6","0","0","0","2","16","201.2","12.6","93.7%"
"7","Trey McBride (ARI)","81","106","825","10.2","38","9","3","0","0","0","0","17","181.5","10.7","91.2%"
"8","Cole Kmet (CHI)","73","90","719","9.8","53","9","6","3","2","0","0","17","181.1","10.7","70.1%"
"9","Jake Ferguson (DAL)","71","102","761","10.7","40","8","5","0","0","0","0","17","177.1","10.4","89.6%"
"10","Dalton Schultz (HOU)","59","88","635","10.8","31","7","5","0","0","0","1","15","150.5","10.0","75.8%"
"11","Dalton Kincaid (BUF)","73","91","673","9.2","51","5","2","0","0","0","1","16","150.3","9.4","86.2%"
"12","Taysom Hill (NO)","33","40","291","8.8","36","2","2","81","401","4","1","16","143.5","9.0","35.9%"
"13","Kyle Pitts (ATL)","53","90","667","12.6","39","7","3","1","-4","0","0","17","137.3","8.1","88.2%"
"14","Dallas Goedert (PHI)","59","83","592","10.0","49","6","3","1","1","0","0","14","136.3","9.7","89.4%"
"15","Mark Andrews (BAL)","45","61","544","12.1","38","8","6","1","0","0","0","10","135.4","13.5","73.3%"
"16","Logan Thomas (SF)","55","78","496","9.0","29","3","4","1","2","0","2","16","126.8","7.9","19.2%"
"17","Jonnu Smith (MIA)","50","70","582","11.6","60","4","3","1","0","0","1","17","124.2","7.3","8.0%"
"18","Tyler Conklin (NYJ)","61","87","621","10.2","37","7","0","1","0","0","0","17","123.1","7.2","16.8%"
"19","Hunter Henry (NE)","42","61","419","10.0","24","2","6","0","0","0","0","14","119.9","8.6","15.1%"
"20","Cade Otton (TB)","47","67","455","9.7","27","6","4","0","0","0","1","17","116.5","6.9","16.5%"
"21","Chigoziem Okonkwo (TEN)","54","77","528","9.8","39","6","1","2","6","0","0","17","113.4","6.7","23.7%"
"22","Darren Waller (FA)","52","74","552","10.6","29","8","1","0","0","0","0","12","113.2","9.4","47.0%"
"23","Gerald Everett (CHI)","51","70","411","8.1","31","4","3","3","10","0","0","15","111.1","7.4","23.4%"
"24","Tyler Higbee (LAR)","47","70","495","10.5","33","6","2","0","0","0","0","15","108.5","7.2","19.6%"
"25","Isaiah Likely (BAL)","30","40","411","13.7","54","6","5","0","0","0","0","17","101.1","5.9","37.0%"
"26","Juwan Johnson (NO)","37","59","368","9.9","32","7","4","0","0","0","0","13","97.8","7.5","9.5%"
"27","Tanner Hudson (CIN)","39","50","352","9.0","26","3","1","0","0","0","0","12","80.2","6.7","2.7%"
"28","Donald Parham Jr. (LAC)","27","41","285","10.6","24","2","4","0","0","0","0","14","79.5","5.7","1.1%"
"29","Tucker Kraft (GB)","31","40","355","11.5","43","5","2","0","0","0","0","17","78.5","4.6","11.3%"
"30","Pat Freiermuth (PIT)","32","47","308","9.6","29","3","2","0","0","0","0","12","76.8","6.4","57.8%"
"31","Luke Musgrave (GB)","34","46","352","10.4","37","5","1","0","0","0","0","11","75.2","6.8","8.1%"
"32","Noah Fant (SEA)","32","43","414","12.9","51","7","0","0","0","0","0","17","73.4","4.3","2.1%"
"33","Kylen Granson (IND)","30","50","368","12.3","46","5","1","1","2","0","0","15","73.0","4.9","0.6%"
"34","Durham Smythe (MIA)","35","43","366","10.5","22","3","0","0","0","0","0","16","71.6","4.5","0.6%"
"35","Michael Mayer (LV)","27","40","304","11.3","32","2","2","0","0","0","0","14","71.4","5.1","4.4%"
"36","Noah Gray (KC)","28","41","305","10.9","34","4","2","1","1","0","0","17","70.6","4.2","0.8%"
"37","Mike Gesicki (CIN)","29","45","244","8.4","18","0","2","0","0","0","0","17","65.4","3.8","2.2%"
"38","Colby Parkinson (LAR)","25","34","247","9.9","27","5","2","0","0","0","0","17","61.7","3.6","0.6%"
