"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Peyton Manning (FA)","362","557","65.0","4,397","7.9","31","9","14","23","36","4","0","16","311.4","19.5","0.0%"
"2","Michael Vick (FA)","204","388","52.6","2,474","6.4","20","13","45","123","1,039","2","0","16","270.1","16.9","0.1%"
"3","Drew Brees (FA)","356","554","64.3","4,418","8.0","26","11","18","42","32","0","0","16","265.9","16.6","35.7%"
"4","Marc Bulger (FA)","370","588","62.9","4,301","7.3","24","8","49","18","44","0","0","16","258.5","16.2","0.0%"
"5","Carson Palmer (FA)","324","520","62.3","4,035","7.8","28","13","36","26","37","0","0","16","251.1","15.7","5.6%"
"6","Jon Kitna (FA)","372","596","62.4","4,208","7.1","21","22","63","34","156","2","0","16","236.0","14.8","0.0%"
"7","Tom Brady (FA)","319","516","61.8","3,529","6.8","24","12","26","49","102","0","0","16","227.4","14.2","2.7%"
"8","Philip Rivers (FA)","284","460","61.7","3,388","7.4","22","9","27","48","49","0","0","16","212.3","13.3","20.6%"
"9","Vince Young (FA)","184","357","51.5","2,199","6.2","12","13","25","83","552","7","0","15","209.0","13.9","0.0%"
"10","Donovan McNabb (FA)","180","316","57.0","2,647","8.4","18","6","21","32","212","3","0","10","205.1","20.5","0.0%"
"11","Brett Favre (FA)","343","613","56.0","3,885","6.3","18","18","21","23","29","1","0","16","200.3","12.5","0.0%"
"12","Eli Manning (FA)","301","522","57.7","3,244","6.2","24","18","25","25","21","0","0","16","191.9","12.0","2.3%"
"13","J.P. Losman (FA)","268","429","62.5","3,051","7.1","19","14","47","38","140","1","0","16","190.2","11.9","0.0%"
"14","Ben Roethlisberger (FA)","280","469","59.7","3,513","7.5","18","23","46","32","98","2","0","15","188.2","12.5","13.6%"
"15","Chad Pennington (FA)","313","485","64.5","3,352","6.9","17","16","30","35","109","0","0","16","181.7","11.4","0.0%"
"16","Rex Grossman (FA)","262","480","54.6","3,193","6.7","23","20","21","24","2","0","0","16","180.7","11.3","0.0%"
"17","Tony Romo (FA)","220","337","65.3","2,903","8.6","19","13","21","34","102","0","0","15","180.3","12.0","0.1%"
"18","Steve McNair (FA)","295","468","63.0","3,050","6.5","16","12","14","45","119","1","0","16","179.8","11.2","0.0%"
"19","Alex Smith (FA)","257","442","58.1","2,890","6.5","16","16","35","44","147","2","0","16","174.2","10.9","5.0%"
"20","David Carr (FA)","302","442","68.3","2,767","6.3","11","12","41","53","195","2","0","16","164.1","10.3","0.0%"
"21","Jake Delhomme (FA)","263","431","61.0","2,805","6.5","17","11","22","18","12","0","0","13","159.4","12.3","0.0%"
"22","Matt Hasselbeck (FA)","210","371","56.6","2,442","6.6","18","15","34","18","110","0","0","12","152.6","12.7","0.0%"
"23","Charlie Frye (FA)","252","393","64.1","2,454","6.2","10","17","44","47","215","3","0","13","143.7","11.1","0.0%"
"24","Matt Leinart (FA)","214","377","56.8","2,547","6.8","11","12","21","22","49","2","0","12","138.8","11.6","0.0%"
"25","Brad Johnson (FA)","270","439","61.5","2,750","6.3","9","15","29","29","82","1","0","15","130.1","8.7","0.0%"
"26","Damon Huard (FA)","148","244","60.7","1,878","7.7","11","1","16","9","9","0","0","10","121.4","12.1","0.0%"
"27","David Garrard (FA)","145","241","60.2","1,735","7.2","10","9","20","47","250","0","0","10","116.6","11.7","0.0%"
"28","Jake Plummer (FA)","175","317","55.2","1,994","6.3","11","13","18","36","112","1","0","12","114.9","9.6","0.0%"
"29","Joey Harrington (FA)","223","388","57.5","2,236","5.8","12","15","15","19","24","0","0","11","113.9","10.4","0.0%"
"30","Mark Brunell (FA)","162","260","62.3","1,789","6.9","8","4","12","13","34","0","0","10","103.0","10.3","0.0%"
"31","Bruce Gradkowski (FA)","177","328","54.0","1,661","5.1","9","9","25","41","161","0","0","13","100.6","7.7","0.0%"
"32","Jeff Garcia (FA)","116","188","61.7","1,309","7.0","10","2","6","25","87","0","0","8","99.2","12.4","0.0%"
"33","Jason Campbell (FA)","110","207","53.1","1,297","6.3","10","6","7","24","107","0","0","7","90.6","12.9","0.0%"
"34","Byron Leftwich (FA)","108","183","59.0","1,159","6.3","7","5","9","25","41","2","0","6","80.5","13.4","0.0%"
"35","Drew Bledsoe (FA)","90","169","53.3","1,164","6.9","7","8","16","8","28","2","0","6","73.3","12.2","0.0%"
"36","Trent Green (FA)","121","198","61.1","1,342","6.8","7","9","24","19","59","0","0","8","69.5","8.7","0.0%"
"37","Kurt Warner (FA)","108","168","64.3","1,377","8.2","6","5","14","13","3","0","0","6","69.2","11.5","0.0%"
"38","Jay Cutler (FA)","81","137","59.1","1,001","7.3","9","5","13","12","18","0","0","5","67.8","13.6","0.2%"
"39","Seneca Wallace (FA)","82","141","58.2","927","6.6","8","7","14","12","122","0","0","6","67.2","11.2","0.0%"
"40","Andrew Walter (FA)","147","276","53.3","1,677","6.1","3","13","46","14","30","0","0","12","56.0","4.7","0.0%"
"41","Aaron Brooks (FA)","110","192","57.3","1,105","5.8","3","8","26","22","124","0","0","8","52.6","6.6","0.0%"
"42","Daunte Culpepper (FA)","81","134","60.4","929","6.9","2","3","21","10","20","1","0","4","47.2","11.8","0.0%"
"43","Tim Rattay (FA)","61","101","60.4","748","7.4","4","2","4","4","3","0","0","4","42.2","10.6","0.0%"
"44","Charlie Batch (FA)","31","53","58.5","492","9.3","5","0","3","13","15","0","0","7","41.2","5.9","0.0%"
"45","Derek Anderson (FA)","66","117","56.4","793","6.8","5","8","8","4","47","0","0","5","40.3","8.1","0.0%"
"46","Kyle Boller (FA)","33","55","60.0","485","8.8","5","2","3","22","34","0","0","4","38.7","9.7","0.0%"
"47","Tarvaris Jackson (FA)","47","81","58.0","475","5.9","2","4","8","15","77","1","0","4","32.7","8.2","0.0%"
"48","Chris Weinke (FA)","56","96","58.3","625","6.5","2","4","10","4","16","0","0","3","26.6","8.9","0.0%"
"49","A.J. Feeley (FA)","26","38","68.4","342","9.0","3","0","1","1","3","0","0","2","25.9","13.0","0.0%"
"50","Cleo Lemon (FA)","38","68","55.9","412","6.1","2","1","5","3","7","0","0","4","23.2","5.8","0.0%"
"51","Quinn Gray (FA)","13","22","59.1","166","7.5","0","0","1","2","26","2","0","1","21.2","21.2","0.0%"
"52","Sage Rosenfels (FA)","27","39","69.2","265","6.8","3","1","1","4","5","0","0","4","21.1","5.3","0.0%"
"53","Chris Simms (FA)","58","106","54.7","585","5.5","1","7","4","4","7","1","0","3","20.1","6.7","0.0%"
"54","Kerry Collins (FA)","42","90","46.7","549","6.1","1","6","4","0","0","0","0","3","16.0","5.3","0.0%"
"55","Matt Schaub (FA)","18","27","66.7","208","7.7","1","2","2","7","21","0","0","15","10.4","0.7","0.0%"
"56","Jamie Martin (FA)","16","24","66.7","208","8.7","1","1","5","0","0","0","0","1","10.3","10.3","0.0%"
"57","Brian Griese (FA)","18","32","56.3","220","6.9","1","2","3","6","-5","0","0","5","8.3","1.7","0.0%"
"58","Charlie Whitehurst (FA)","0","0","0","0","0","0","0","0","2","13","1","0","2","7.3","3.7","0.4%"
"59","Taylor Jacobs (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","6.9","2.3","0.0%"
"60","Marques Tuiasosopo (FA)","6","13","46.2","68","5.2","1","2","0","4","29","0","0","2","5.6","2.8","0.0%"
"61","Vinny Testaverde (FA)","2","3","66.7","29","9.7","1","0","0","8","-8","0","0","3","4.4","1.5","0.0%"
"62","Brooks Bollinger (FA)","13","18","72.2","146","8.1","0","1","6","0","0","0","0","2","3.8","1.9","0.0%"
"63","Josh McCown (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","3.5","1.8","0.0%"
"64","Aaron Rodgers (NYJ)","6","15","40.0","46","3.1","0","0","3","2","11","0","0","2","3.0","1.5","49.2%"
"65","Matt Cassel (FA)","5","8","62.5","32","4.0","0","0","3","2","4","0","0","5","1.7","0.3","0.0%"
"66","Gus Frerotte (FA)","1","3","33.3","27","9.0","0","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"67","Kellen Clemens (FA)","0","1","0.0","0","0.0","0","0","4","2","10","0","0","2","1.0","0.5","0.0%"
"68","Brett Basanez (FA)","6","11","54.5","56","5.1","0","1","0","1","2","0","0","1","0.4","0.4","0.0%"
"69","Jared Lorenzen (FA)","0","0","0","0","0","0","0","0","1","2","0","0","1","0.2","0.2","0.0%"
"70","Ken Dorsey (FA)","0","1","0.0","0","0.0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"71","Anthony Wright (FA)","3","3","100.0","31","10.3","0","0","0","4","-12","0","0","2","0.0","0.0","0.0%"
"72","Ryan Fitzpatrick (FA)","0","0","0","0","0","0","0","0","3","0","0","0","1","0.0","0.0","0.0%"
"73","Patrick Ramsey (FA)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Billy Volek (FA)","1","2","50.0","4","2.0","0","0","1","3","-3","0","0","1","-0.1","-0.1","0.0%"
"75","Ingle Martin (FA)","0","0","0","0","0","0","0","0","2","-5","0","0","1","-0.5","-0.5","0.0%"
"76","Brodie Croyle (FA)","3","7","42.9","23","3.3","0","2","1","3","-3","0","0","2","-3.4","-1.7","0.0%"
""
""
