"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Nate Kaeding (FA)","26","29","89.7","54","0","0","0","0","0","58","58","16","58.0","3.6","0.0%"
"2","David Akers (FA)","18","23","78.3","47","0","0","0","0","0","48","48","16","48.4","3.0","0.0%"
"3","Robbie Gould (FA)","32","36","88.9","49","0","0","0","0","0","47","47","16","47.0","2.9","0.1%"
"4","John Carney (FA)","23","25","92.0","51","0","0","0","0","0","46","46","16","46.0","2.9","0.0%"
"5","Stephen Gostkowski (FA)","20","26","76.9","52","0","0","0","0","0","43","43","16","43.0","2.7","0.1%"
"6","Josh Scobee (FA)","26","32","81.3","48","0","0","0","0","0","41","41","16","41.0","2.6","0.0%"
"7","Jeff Reed (FA)","20","27","74.1","50","0","0","0","0","0","41","41","16","41.0","2.6","0.0%"
"8","Shayne Graham (FA)","25","30","83.3","51","0","0","0","0","0","40","41","16","40.0","2.5","0.0%"
"9","Adam Vinatieri (FA)","25","28","89.3","48","0","0","0","0","0","38","38","13","38.0","2.9","0.2%"
"10","Jay Feely (FA)","23","27","85.2","47","0","0","0","0","0","38","38","16","38.0","2.4","0.0%"
"11","Matt Stover (FA)","28","30","93.3","52","0","0","0","0","0","37","37","16","37.0","2.3","0.0%"
"12","Josh Brown (FA)","25","31","80.6","54","0","0","0","0","0","36","36","16","36.0","2.3","0.0%"
"13","Lawrence Tynes (FA)","24","31","77.4","53","0","0","0","0","0","35","36","16","35.0","2.2","0.0%"
"14","Jeff Wilkins (FA)","32","37","86.5","53","0","0","0","0","0","35","35","16","35.0","2.2","0.0%"
"15","Jason Elam (FA)","27","29","93.1","51","0","0","0","0","0","34","34","16","34.2","2.1","0.0%"
"16","Mike Nugent (FA)","24","27","88.9","54","0","0","0","0","0","34","35","16","34.0","2.1","1.0%"
"17","Rian Lindell (FA)","23","25","92.0","53","0","0","0","0","0","33","33","16","33.0","2.1","0.0%"
"18","Mike Vanderjagt (FA)","13","18","72.2","50","0","0","0","0","0","33","33","10","33.0","3.3","0.0%"
"19","Rob Bironas (FA)","22","28","78.6","60","0","0","0","0","0","32","32","16","32.0","2.0","0.0%"
"20","Neil Rackers (FA)","28","37","75.7","50","0","0","0","0","0","32","32","16","32.0","2.0","0.0%"
"21","Ryan Longwell (FA)","21","25","84.0","49","0","0","0","0","0","27","27","16","31.6","2.0","0.0%"
"22","Dave Rayner (FA)","26","35","74.3","54","0","0","0","0","0","31","32","16","31.0","1.9","0.0%"
"23","Jason Hanson (FA)","29","33","87.9","53","0","0","0","0","0","30","30","16","30.0","1.9","0.0%"
"24","Joe Nedney (FA)","29","35","82.9","51","0","0","0","0","0","29","29","16","29.0","1.8","0.0%"
"25","John Kasay (FA)","24","27","88.9","54","0","0","0","0","0","28","28","16","28.0","1.8","0.0%"
"26","Morten Andersen (FA)","20","23","87.0","45","0","0","0","0","0","27","27","14","27.0","1.9","0.0%"
"27","Kris Brown (FA)","19","25","76.0","49","0","0","0","0","0","26","26","16","26.0","1.6","0.0%"
"28","Phil Dawson (FA)","21","29","72.4","51","0","0","0","0","0","25","25","16","25.0","1.6","0.1%"
"29","Martin Gramatica (FA)","7","9","77.8","48","0","0","0","0","0","23","23","8","23.0","2.9","0.0%"
"30","Olindo Mare (FA)","26","36","72.2","52","0","0","0","0","0","22","22","16","22.0","1.4","0.0%"
"31","Matt Bryant (FA)","17","22","77.3","62","0","0","0","0","0","22","22","16","22.0","1.4","1.1%"
"32","Sebastian Janikowski (FA)","18","25","72.0","55","0","0","0","0","0","16","16","16","16.0","1.0","20.0%"
"33","Shaun Suisham (FA)","9","11","81.8","52","0","0","0","0","0","14","14","8","14.0","1.8","0.0%"
"34","Nick Novak (FA)","5","10","50.0","47","0","0","0","0","0","10","10","6","10.0","1.7","0.1%"
"35","John Hall (FA)","9","11","81.8","46","0","0","0","0","0","9","9","5","9.0","1.8","0.0%"
"36","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"37","B.J. Sams (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"38","Derrick Frost (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"39","J.R. Reed (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"40","Billy Cundiff (FA)","0","1","0.0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"41","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
""
""
