"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Baltimore Ravens (BAL)","60","28","12","12","6","2","0","16","239.0","14.9","87.4%"
"2","Chicago Bears (CHI)","40","24","20","23","3","1","5","16","204.0","12.8","31.5%"
"3","New England Patriots (NE)","44","22","13","13","0","1","1","16","162.0","10.1","13.3%"
"4","Los Angeles Chargers (LAC)","61","16","12","17","3","0","0","16","158.0","9.9","16.1%"
"5","Minnesota Vikings (MIN)","30","21","15","13","6","0","1","16","155.0","9.7","11.5%"
"6","Miami Dolphins (MIA)","47","8","19","22","3","0","0","16","154.0","9.6","69.2%"
"7","Philadelphia Eagles (PHI)","40","19","10","18","5","0","0","16","153.0","9.6","50.9%"
"8","Green Bay Packers (GB)","46","23","10","15","5","0","0","16","150.0","9.4","26.0%"
"9","Buffalo Bills (BUF)","40","13","11","13","4","0","1","16","144.0","9.0","62.7%"
"10","Denver Broncos (DEN)","35","17","13","17","2","0","0","16","138.0","8.6","34.5%"
"11","Jacksonville Jaguars (JAC)","35","20","4","8","1","0","1","16","138.0","8.6","47.6%"
"12","Pittsburgh Steelers (PIT)","39","20","9","13","2","0","1","16","135.0","8.4","76.5%"
"13","Dallas Cowboys (DAL)","34","18","13","16","4","0","1","16","132.0","8.3","93.1%"
"14","Atlanta Falcons (ATL)","37","12","14","16","2","0","0","16","129.0","8.1","16.6%"
"15","Seattle Seahawks (SEA)","41","12","14","14","2","0","1","16","128.0","8.0","26.2%"
"16","Arizona Cardinals (ARI)","38","16","17","21","3","0","1","16","128.0","8.0","0.8%"
"17","Kansas City Chiefs (KC)","32","15","15","19","0","0","1","16","128.0","8.0","77.1%"
"18","Cincinnati Bengals (CIN)","35","19","12","12","1","0","0","16","123.0","7.7","49.0%"
"19","Carolina Panthers (CAR)","41","14","8","15","2","1","0","16","123.0","7.7","2.9%"
"20","Las Vegas Raiders (LV)","34","18","5","7","4","1","0","16","122.0","7.6","22.3%"
"21","New York Jets (NYJ)","35","16","9","13","1","0","2","16","119.0","7.4","82.8%"
"22","Los Angeles Rams (LAR)","34","17","15","18","2","0","0","16","119.0","7.4","21.1%"
"23","New York Giants (NYG)","32","17","11","17","3","1","0","16","117.0","7.3","3.0%"
"24","Tennessee Titans (TEN)","26","17","11","9","5","2","3","16","117.0","7.3","3.5%"
"25","Cleveland Browns (CLE)","28","18","9","8","2","0","1","16","112.0","7.0","94.2%"
"26","San Francisco 49ers (SF)","34","14","13","15","2","1","0","16","107.0","6.7","98.1%"
"27","New Orleans Saints (NO)","38","11","8","12","1","0","1","16","103.0","6.4","63.8%"
"28","Detroit Lions (DET)","30","12","18","17","1","1","0","16","103.0","6.4","43.3%"
"29","Houston Texans (HOU)","28","11","11","13","3","0","0","16","102.0","6.4","30.1%"
"30","Tampa Bay Buccaneers (TB)","25","11","9","14","3","0","0","16","99.0","6.2","20.7%"
"31","Indianapolis Colts (IND)","25","15","11","17","1","0","1","16","90.0","5.6","24.8%"
"32","Washington Commanders (WAS)","19","6","6","8","0","1","2","16","52.0","3.3","8.1%"
""
""
