"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Terrell Owens (FA)","85","0","1,180","13.9","56","0","13","0","0","0","0","16","283.0","17.7","0.0%"
"2","Reggie Wayne (FA)","86","0","1,310","15.2","51","0","9","0","0","0","0","16","273.0","17.1","0.0%"
"3","Torry Holt (FA)","93","0","1,188","12.8","67","0","10","0","0","0","0","16","271.8","17.0","0.0%"
"4","Donald Driver (FA)","92","0","1,295","14.1","82","0","8","7","16","0","0","16","271.1","16.9","0.0%"
"5","Chad Johnson (FA)","87","0","1,369","15.7","74","0","7","6","24","0","0","16","268.3","16.8","0.0%"
"6","Steve Smith (FA)","83","0","1,166","14.0","72","0","8","8","61","1","0","14","259.7","18.6","0.0%"
"7","Lee Evans (FA)","82","0","1,292","15.8","83","0","8","0","0","0","0","16","259.2","16.2","0.0%"
"8","Roy Williams (FA)","82","0","1,310","16.0","60","0","7","2","2","0","0","16","255.2","16.0","0.0%"
"9","T.J. Houshmandzadeh (FA)","90","0","1,081","12.0","40","0","9","3","6","0","0","14","252.7","18.1","0.0%"
"10","Andre Johnson (FA)","103","0","1,147","11.1","53","0","5","3","14","0","0","16","249.1","15.6","0.0%"
"11","Javon Walker (FA)","69","0","1,084","15.7","83","0","8","9","123","1","0","16","243.7","15.2","0.0%"
"12","Laveranues Coles (FA)","91","0","1,098","12.1","58","0","6","2","14","0","0","16","238.2","14.9","0.0%"
"13","Anquan Boldin (FA)","83","0","1,203","14.5","64","0","4","5","28","0","0","16","230.1","14.4","0.1%"
"14","Plaxico Burress (FA)","63","0","988","15.7","55","0","10","0","0","0","0","15","221.8","14.8","0.0%"
"15","Marques Colston (FA)","70","0","1,038","14.8","86","0","8","0","0","0","0","14","221.8","15.8","0.0%"
"16","Darrell Jackson (FA)","63","0","956","15.2","72","0","10","0","0","0","0","13","218.6","16.8","0.0%"
"17","Jerricho Cotchery (FA)","82","0","961","11.7","71","0","6","5","25","0","0","16","216.6","13.5","0.0%"
"18","Terry Glenn (FA)","70","0","1,047","15.0","54","0","6","3","11","0","0","15","211.8","14.1","0.0%"
"19","Joey Galloway (FA)","62","0","1,057","17.0","64","0","7","2","9","0","0","14","210.6","15.0","0.0%"
"20","Hines Ward (FA)","74","0","975","13.2","70","0","6","2","30","0","0","14","210.5","15.0","0.0%"
"21","Isaac Bruce (FA)","74","0","1,098","14.8","45","0","3","0","0","0","0","16","203.8","12.7","0.0%"
"22","Larry Fitzgerald (FA)","69","0","946","13.7","57","0","6","0","0","0","0","13","199.6","15.4","0.2%"
"23","Mark Clayton (FA)","67","0","939","14.0","87","0","5","7","-30","0","0","16","187.9","11.7","0.0%"
"24","Braylon Edwards (FA)","61","0","884","14.5","75","0","6","3","7","0","0","16","186.1","11.6","0.0%"
"25","Reggie Brown (FA)","46","0","816","17.7","60","0","8","3","24","1","0","16","184.0","11.5","0.0%"
"26","Santana Moss (FA)","55","0","790","14.4","68","0","6","7","82","0","0","14","180.2","12.9","0.0%"
"27","Keyshawn Johnson (FA)","70","0","815","11.6","40","0","4","1","4","1","0","16","179.9","11.2","0.0%"
"28","Muhsin Muhammad (FA)","60","0","863","14.4","40","0","5","0","0","0","0","16","176.3","11.0","0.0%"
"29","Marty Booker (FA)","55","0","747","13.6","52","0","6","3","19","0","0","14","171.6","12.3","0.0%"
"30","Eddie Kennison (FA)","53","0","860","16.2","51","0","5","4","16","0","0","16","170.6","10.7","0.0%"
"31","Bernard Berrian (FA)","51","0","775","15.2","62","0","6","2","5","0","0","15","165.0","11.0","0.0%"
"32","Reche Caldwell (FA)","61","0","760","12.5","62","0","4","1","5","0","0","16","163.5","10.2","0.0%"
"33","Chris Chambers (FA)","59","0","677","11.5","46","0","4","8","95","0","0","16","160.2","10.0","0.0%"
"34","Derrick Mason (FA)","68","0","750","11.0","38","0","2","1","-4","0","0","15","154.6","10.3","0.0%"
"35","Deion Branch (FA)","53","0","725","13.7","38","0","4","4","30","0","0","14","152.5","10.9","0.0%"
