"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","LaDainian Tomlinson (FA)","348","1,815","5.2","85","0","28","56","0","508","9.1","3","0","16","483.1","30.2","0.0%"
"2","Steven Jackson (FA)","346","1,528","4.4","59","0","13","90","0","806","9.0","3","0","16","419.4","26.2","0.0%"
"3","Larry Johnson (FA)","416","1,789","4.3","47","0","17","41","0","410","10.0","2","0","16","374.9","23.4","0.0%"
"4","Brian Westbrook (FA)","240","1,217","5.1","71","0","7","77","0","699","9.1","4","0","15","334.6","22.3","0.0%"
"5","Frank Gore (FA)","312","1,695","5.4","72","0","8","61","0","485","8.0","1","0","16","333.0","20.8","12.1%"
"6","Tiki Barber (FA)","327","1,662","5.1","55","0","5","58","0","465","8.0","0","0","16","300.7","18.8","0.0%"
"7","Willie Parker (FA)","337","1,494","4.4","76","0","13","31","0","222","7.2","3","0","16","298.6","18.7","0.0%"
"8","Maurice Jones-Drew (FA)","166","941","5.7","74","0","13","46","0","436","9.5","2","0","16","273.7","17.1","0.0%"
"9","Reggie Bush (FA)","155","565","3.6","18","0","6","88","0","742","8.4","2","0","16","264.7","16.5","0.0%"
"10","Ladell Betts (FA)","245","1,154","4.7","26","0","4","53","0","445","8.4","1","0","16","242.9","15.2","0.0%"
"11","Rudi Johnson (FA)","341","1,309","3.8","22","0","12","23","0","124","5.4","0","0","16","238.3","14.9","0.0%"
"12","Kevin Jones (FA)","181","689","3.8","52","0","6","61","0","520","8.5","2","0","12","229.9","19.2","0.0%"
"13","Joseph Addai (FA)","226","1,081","4.8","41","0","7","40","0","325","8.1","1","0","16","228.6","14.3","0.0%"
"14","Chester Taylor (FA)","303","1,216","4.0","95","0","6","42","0","288","6.9","0","0","15","228.4","15.2","0.0%"
"15","Ahman Green (FA)","266","1,059","4.0","70","0","5","46","0","373","8.1","1","0","14","225.2","16.1","0.0%"
"16","Deuce McAllister (FA)","244","1,057","4.3","57","0","10","30","0","198","6.6","0","0","15","215.5","14.4","0.0%"
"17","Edgerrin James (FA)","337","1,159","3.4","18","0","6","38","0","217","5.7","0","0","16","211.6","13.2","0.0%"
"18","Thomas Jones (FA)","296","1,210","4.1","30","0","6","36","0","154","4.3","0","0","16","208.2","13.0","0.0%"
"19","Marion Barber (FA)","135","654","4.8","25","0","14","23","0","196","8.5","2","0","16","204.0","12.8","0.0%"
"20","Fred Taylor (FA)","231","1,146","5.0","76","0","5","23","0","242","10.5","1","0","15","197.8","13.2","0.0%"
"21","Jamal Lewis (FA)","314","1,132","3.6","52","0","9","18","0","115","6.4","0","0","16","196.7","12.3","0.0%"
"22","Ronnie Brown (FA)","241","1,008","4.2","47","0","5","33","0","276","8.4","0","0","13","191.4","14.7","0.0%"
"23","Travis Henry (FA)","270","1,211","4.5","70","0","7","18","0","78","4.3","0","0","14","190.9","13.6","0.0%"
"24","Corey Dillon (FA)","199","812","4.1","50","0","13","15","0","147","9.8","0","0","16","188.9","11.8","0.0%"
"25","Warrick Dunn (FA)","286","1,140","4.0","90","0","4","22","0","170","7.7","1","0","16","183.0","11.4","0.0%"
"26","Willis McGahee (FA)","259","990","3.8","57","0","6","18","0","156","8.7","0","0","14","168.6","12.0","0.0%"
"27","Laurence Maroney (FA)","175","745","4.3","41","0","6","22","0","194","8.8","1","0","14","157.9","11.3","0.0%"
"28","DeShaun Foster (FA)","227","897","4.0","43","0","3","32","0","159","5.0","0","0","14","155.6","11.1","0.0%"
"29","Dominic Rhodes (FA)","187","641","3.4","17","0","5","36","0","251","7.0","0","0","16","155.2","9.7","0.0%"
"30","Mike Bell (FA)","157","677","4.3","48","0","8","20","0","158","7.9","0","0","14","151.5","10.8","0.0%"
