"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Josh Brown (FA)","18","25","72.0","55","0","0","0","0","0","56","56","16","56.0","3.5","0.0%"
"2","Mike Vanderjagt (FA)","23","25","92.0","48","0","0","0","0","0","52","52","16","52.0","3.3","0.0%"
"3","Nate Kaeding (FA)","21","24","87.5","49","0","0","0","0","0","49","49","16","49.0","3.1","0.0%"
"4","Shayne Graham (FA)","28","32","87.5","49","0","0","0","0","0","47","47","16","47.0","2.9","0.0%"
"5","Jeff Reed (FA)","24","29","82.8","44","0","0","0","0","0","45","45","16","45.0","2.8","0.0%"
"6","Lawrence Tynes (FA)","27","33","81.8","52","0","0","0","0","0","44","45","16","44.0","2.8","0.0%"
"7","John Kasay (FA)","26","34","76.5","52","0","0","0","0","0","43","43","16","43.0","2.7","0.0%"
"8","Jay Feely (FA)","35","42","83.3","52","0","0","0","0","0","43","43","16","43.0","2.7","0.0%"
"9","Jason Elam (FA)","24","32","75.0","51","0","0","0","0","0","43","44","16","43.0","2.7","0.0%"
"10","Adam Vinatieri (FA)","20","25","80.0","49","0","0","0","0","0","40","40","16","40.0","2.5","0.2%"
"11","Josh Scobee (FA)","23","30","76.7","53","0","0","0","0","0","38","39","16","38.0","2.4","0.0%"
"12","Jeff Wilkins (FA)","27","31","87.1","53","0","0","0","0","0","36","36","16","35.6","2.2","0.0%"
"13","Todd Peterson (FA)","23","25","92.0","43","0","0","0","0","0","35","35","16","35.0","2.2","0.0%"
"14","Olindo Mare (FA)","25","30","83.3","53","0","0","0","0","0","33","33","15","33.0","2.2","0.0%"
"15","Matt Bryant (FA)","21","25","84.0","50","0","0","0","0","0","31","31","15","31.0","2.1","1.1%"
"16","Paul Edinger (FA)","25","34","73.5","56","0","0","0","0","0","31","31","15","31.0","2.1","0.0%"
"17","Sebastian Janikowski (FA)","20","30","66.7","49","0","0","0","0","0","30","30","16","30.0","1.9","20.0%"
"18","Ryan Longwell (FA)","20","27","74.1","53","0","0","0","0","0","30","31","16","30.0","1.9","0.0%"
"19","Rob Bironas (FA)","23","29","79.3","53","0","0","0","0","0","30","32","16","30.0","1.9","0.0%"
"20","John Hall (FA)","12","14","85.7","45","0","0","0","0","0","27","27","10","27.0","2.7","0.0%"
"21","Jason Hanson (FA)","19","24","79.2","52","0","0","0","0","0","27","27","15","27.0","1.8","0.0%"
"22","Rian Lindell (FA)","29","35","82.9","53","0","0","0","0","0","26","26","16","26.0","1.6","0.0%"
"23","Kris Brown (FA)","26","34","76.5","53","0","0","0","0","0","24","24","16","24.4","1.5","0.0%"
"24","Mike Nugent (FA)","22","28","78.6","49","0","0","0","0","0","24","24","16","24.0","1.5","1.0%"
"25","David Akers (FA)","16","22","72.7","50","0","0","0","0","0","23","23","12","23.0","1.9","0.0%"
"26","Matt Stover (FA)","30","34","88.2","49","0","0","0","0","0","23","23","16","23.0","1.4","0.0%"
"27","John Carney (FA)","25","32","78.1","49","0","0","0","0","0","22","22","16","22.0","1.4","0.0%"
"28","Neil Rackers (FA)","40","42","95.2","54","0","0","0","0","0","20","20","15","20.0","1.3","0.0%"
"29","Joe Nedney (FA)","26","28","92.9","56","0","0","0","0","0","19","19","15","19.0","1.3","0.0%"
"30","Phil Dawson (FA)","27","29","93.1","44","0","0","0","0","0","19","20","16","19.0","1.2","0.1%"
"31","Robbie Gould (FA)","21","27","77.8","45","0","0","0","0","0","19","20","13","19.0","1.5","0.1%"
"32","Jose Cortez (FA)","12","17","70.6","45","0","0","0","0","0","18","19","9","18.0","2.0","0.0%"
"33","Nick Novak (FA)","8","10","80.0","40","0","0","0","0","0","15","15","8","15.0","1.9","0.1%"
"34","Billy Cundiff (FA)","5","8","62.5","56","0","0","0","0","0","14","14","6","14.0","2.3","0.0%"
"35","Shaun Suisham (FA)","3","4","75.0","22","0","0","0","0","0","8","8","3","8.0","2.7","0.0%"
"36","Doug Brien (FA)","1","4","25.0","48","0","0","0","0","0","7","7","3","7.0","2.3","0.0%"
"37","Todd France (FA)","7","9","77.8","44","0","0","0","0","0","6","6","4","6.0","1.5","0.0%"
"38","Reginald Swinton (FA)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"39","David Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"40","Aaron Elling (FA)","0","1","0.0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"41","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"42","B.J. Sams (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"43","Derrick Frost (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"44","Nick Murphy (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"45","Remy Hamilton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"46","Dave Rayner (FA)","0","1","0.0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"47","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
""
""
