"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Chicago Bears (CHI)","41","24","10","18","4","0","1","16","198.0","12.4","31.5%"
"2","Carolina Panthers (CAR)","45","23","19","16","3","0","0","16","193.0","12.1","2.9%"
"3","Indianapolis Colts (IND)","46","18","13","23","4","0","0","16","173.0","10.8","24.8%"
"4","Seattle Seahawks (SEA)","50","16","11","13","3","0","0","16","160.0","10.0","26.2%"
"5","Denver Broncos (DEN)","28","20","16","18","3","1","0","16","157.0","9.8","34.5%"
"6","Pittsburgh Steelers (PIT)","47","15","15","18","1","1","2","16","153.0","9.6","76.5%"
"7","New York Giants (NYG)","41","17","19","17","2","0","2","16","153.0","9.6","3.0%"
"8","Tampa Bay Buccaneers (TB)","36","17","13","16","3","1","0","16","152.0","9.5","20.7%"
"9","Jacksonville Jaguars (JAC)","47","19","9","15","2","0","1","16","146.0","9.1","47.6%"
"10","Baltimore Ravens (BAL)","42","11","15","16","3","0","0","16","142.0","8.9","87.4%"
"11","Miami Dolphins (MIA)","49","14","17","18","1","3","0","16","141.0","8.8","69.2%"
"12","Cincinnati Bengals (CIN)","28","31","13","15","1","0","0","16","134.0","8.4","49.0%"
"13","Minnesota Vikings (MIN)","34","24","11","8","3","0","2","16","130.0","8.1","11.5%"
"14","Atlanta Falcons (ATL)","37","16","13","14","2","1","0","16","129.0","8.1","16.6%"
"15","Dallas Cowboys (DAL)","37","15","11","15","2","0","0","16","129.0","8.1","93.1%"
"16","Detroit Lions (DET)","31","19","12","19","3","1","0","16","129.0","8.1","43.3%"
"17","Washington Commanders (WAS)","35","16","12","17","2","0","2","16","126.0","7.9","8.1%"
"18","Kansas City Chiefs (KC)","29","16","15","19","2","0","1","16","121.0","7.6","77.1%"
"19","New York Jets (NYJ)","30","21","7","15","3","0","1","16","119.0","7.4","82.8%"
"20","Buffalo Bills (BUF)","38","17","13","12","1","1","1","16","115.0","7.2","62.7%"
"21","Los Angeles Chargers (LAC)","46","10","10","13","2","0","0","16","113.0","7.1","16.1%"
"22","Tennessee Titans (TEN)","41","9","11","11","4","1","1","16","112.0","7.0","3.5%"
"23","Philadelphia Eagles (PHI)","29","17","10","18","2","0","0","16","110.0","6.9","50.9%"
"24","Arizona Cardinals (ARI)","37","15","11","17","3","0","0","16","110.0","6.9","0.8%"
"25","Green Bay Packers (GB)","35","10","11","13","2","0","1","16","109.0","6.8","26.0%"
"26","Los Angeles Rams (LAR)","41","13","14","14","2","1","1","16","109.0","6.8","21.1%"
"27","Cleveland Browns (CLE)","23","15","8","11","0","0","2","16","106.0","6.6","94.2%"
"28","San Francisco 49ers (SF)","28","16","10","8","5","0","1","16","105.0","6.6","98.1%"
"29","New England Patriots (NE)","33","10","8","8","2","0","0","16","97.0","6.1","13.3%"
"30","Las Vegas Raiders (LV)","36","5","14","14","1","0","0","16","93.0","5.8","22.3%"
"31","New Orleans Saints (NO)","25","10","9","9","0","0","0","16","70.0","4.4","63.8%"
"32","Houston Texans (HOU)","37","7","9","17","0","0","2","16","66.0","4.1","30.1%"
""
""
