"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Shaun Alexander (FA)","370","1,880","5.1","88","0","27","15","7","78","5.2","1","0","16","378.8","23.7","0.0%"
"2","Larry Johnson (FA)","336","1,750","5.2","49","0","20","33","0","343","10.4","1","0","16","368.3","23.0","0.0%"
"3","LaDainian Tomlinson (FA)","339","1,462","4.3","62","0","18","51","9","370","7.3","2","0","16","368.1","23.0","0.0%"
"4","Tiki Barber (FA)","357","1,860","5.2","95","0","9","54","15","530","9.8","2","0","16","361.0","22.6","0.0%"
"5","Edgerrin James (FA)","360","1,506","4.2","33","0","13","44","0","337","7.7","1","0","15","312.3","20.8","0.0%"
"6","LaMont Jordan (FA)","272","1,025","3.8","26","0","9","70","0","563","8.0","2","0","14","296.8","21.2","0.0%"
"7","Clinton Portis (FA)","352","1,516","4.3","47","0","11","30","6","216","7.2","0","0","16","275.9","17.2","0.0%"
"8","Rudi Johnson (FA)","337","1,458","4.3","33","0","12","23","0","90","3.9","0","0","16","249.8","15.6","0.0%"
"9","Steven Jackson (FA)","254","1,046","4.1","51","0","8","43","2","320","7.4","2","0","15","239.6","16.0","0.0%"
"10","Brian Westbrook (FA)","156","617","4.0","31","0","3","61","0","616","10.1","4","0","12","228.3","19.0","0.0%"
"11","Thomas Jones (FA)","314","1,335","4.3","42","0","9","26","5","143","5.5","0","1","15","225.8","15.1","0.0%"
"12","Mike Anderson (FA)","239","1,014","4.2","44","0","12","18","2","212","11.8","1","1","15","216.6","14.4","0.0%"
"13","Warrick Dunn (FA)","280","1,416","5.1","65","0","3","29","1","220","7.6","1","0","16","216.6","13.5","0.0%"
"14","Reuben Droughns (FA)","309","1,232","4.0","75","0","2","39","0","369","9.5","0","0","16","211.1","13.2","0.0%"
"15","Domanick Williams (FA)","230","976","4.2","44","0","2","39","4","337","8.6","4","0","11","206.3","18.8","0.0%"
"16","Willis McGahee (FA)","325","1,247","3.8","27","0","5","28","0","178","6.4","0","0","16","200.5","12.5","0.0%"
"17","Corey Dillon (FA)","209","733","3.5","29","0","12","22","0","181","8.2","1","0","11","191.4","17.4","0.0%"
"18","Willie Parker (FA)","255","1,202","4.7","80","0","4","18","5","218","12.1","1","0","15","190.0","12.7","0.0%"
"19","Chris Brown (FA)","224","851","3.8","38","0","5","25","0","327","13.1","2","0","15","184.8","12.3","0.0%"
"20","Cadillac Williams (FA)","290","1,178","4.1","71","0","6","20","3","81","4.1","0","0","14","181.9","13.0","0.0%"
"21","DeShaun Foster (FA)","205","879","4.3","70","0","2","34","0","372","10.9","1","0","15","177.1","11.8","0.0%"
"22","Ronnie Brown (FA)","207","907","4.4","65","0","4","32","0","232","7.3","1","0","15","175.9","11.7","0.0%"
"23","Tatum Bell (FA)","173","921","5.3","68","0","8","18","0","104","5.8","0","0","14","168.5","12.0","0.0%"
"24","Jamal Lewis (FA)","269","906","3.4","25","0","3","32","0","191","6.0","1","1","15","163.7","10.9","0.0%"
"25","Mewelde Moore (FA)","155","662","4.3","33","0","1","37","0","339","9.2","2","0","16","155.1","9.7","0.0%"
"26","Curtis Martin (FA)","220","735","3.3","49","0","5","24","3","118","4.9","0","0","12","139.3","11.6","0.0%"
"27","Ricky Williams (FA)","168","743","4.4","35","0","6","17","0","93","5.5","0","0","12","136.6","11.4","0.0%"
"28","Stephen Davis (FA)","180","549","3.1","39","0","12","5","0","45","9.0","0","0","13","136.4","10.5","0.0%"
"29","Kevan Barlow (FA)","176","581","3.3","29","0","3","31","0","241","7.8","0","0","12","131.2","10.9","0.0%"
"30","Priest Holmes (FA)","119","451","3.8","35","0","6","21","0","197","9.4","1","0","7","127.8","18.3","0.0%"
"31","Kevin Jones (FA)","186","664","3.6","40","0","5","20","7","109","5.5","0","0","13","127.3","9.8","0.0%"
"32","Chester Taylor (FA)","117","487","4.2","52","0","0","41","7","292","7.1","1","0","15","124.9","8.3","0.0%"
"33","Chris Perry (FA)","61","279","4.6","30","0","0","51","0","328","6.4","2","0","14","123.7","8.8","0.0%"
"34","Michael Pittman (FA)","70","436","6.2","64","0","1","36","4","300","8.3","1","0","15","121.6","8.1","0.0%"
"35","Fred Taylor (FA)","194","787","4.1","71","0","3","13","1","83","6.4","0","0","11","118.0","10.7","0.0%"
"36","Sam Gado (FA)","143","582","4.1","64","0","6","10","1","77","7.7","1","0","8","117.9","14.7","0.0%"
"37","Michael Bennett (FA)","126","473","3.8","61","0","3","27","0","124","4.6","2","0","16","116.7","7.3","0.0%"
"38","Marion Barber (FA)","138","538","3.9","28","0","5","18","4","115","6.4","0","0","13","113.3","8.7","0.0%"
"39","Tony Fisher (FA)","60","173","2.9","17","0","1","48","1","347","7.2","1","0","13","112.6","8.7","0.0%"
"40","Marshall Faulk (FA)","65","292","4.5","20","0","0","44","1","291","6.6","1","0","15","110.3","7.4","0.0%"
"41","Frank Gore (FA)","127","608","4.8","72","0","3","15","2","131","8.7","0","0","14","106.9","7.6","12.1%"
"42","Marcel Shipp (FA)","157","451","2.9","19","0","0","35","0","255","7.3","0","0","15","105.6","7.0","0.0%"
"43","Shawn Bryson (FA)","64","306","4.8","77","0","1","37","6","284","7.7","0","0","16","102.0","6.4","0.0%"
"44","Antowain Smith (FA)","166","659","4.0","42","0","3","12","0","46","3.8","0","0","16","100.5","6.3","0.0%"
"45","Aaron Stecker (FA)","95","363","3.8","32","0","0","35","0","281","8.0","0","0","14","99.4","7.1","0.0%"
"46","Mike Alstott (FA)","34","80","2.4","9","0","6","25","3","222","8.9","1","0","15","99.2","6.6","0.0%"
"47","Jerome Bettis (FA)","110","368","3.3","39","0","9","4","0","40","10.0","0","0","12","98.8","8.2","0.0%"
"48","T.J. Duckett (FA)","121","380","3.1","25","0","8","6","0","63","10.5","0","0","14","98.3","7.0","0.0%"
"49","Greg Jones (FA)","151","575","3.8","27","0","4","10","1","65","6.5","0","0","14","98.0","7.0","0.0%"
"50","Dante Hall (FA)","7","11","1.6","7","0","0","34","0","436","12.8","3","0","16","96.7","6.0","0.0%"
"51","Jonathan Wells (FA)","90","325","3.6","14","0","4","22","1","179","8.1","0","0","13","96.4","7.4","0.0%"
"52","Artose Pinner (FA)","106","349","3.3","19","0","3","21","4","181","8.6","0","0","14","92.0","6.6","0.0%"
"53","J.J. Arrington (FA)","112","370","3.3","32","0","2","25","0","139","5.6","0","0","15","87.9","5.9","0.0%"
"54","Patrick Pass (FA)","54","245","4.5","31","0","3","22","0","227","10.3","0","0","10","87.2","8.7","0.0%"
"55","Deuce McAllister (FA)","93","335","3.6","26","0","3","17","0","117","6.9","0","0","5","80.2","16.0","0.0%"
"56","Alvin Pearman (FA)","39","149","3.8","45","0","1","32","6","240","7.5","0","0","16","76.9","4.8","0.0%"
"57","Kyle Johnson (FA)","4","9","2.3","4","0","1","17","1","160","9.4","5","0","13","69.9","5.4","0.0%"
"58","Kevin Faulk (FA)","51","145","2.8","13","0","0","29","0","260","9.0","0","0","8","69.5","8.7","0.0%"
"59","Verron Haynes (FA)","74","274","3.7","20","0","3","11","3","113","10.3","0","0","14","67.7","4.8","0.0%"
"60","Obafemi Ayanbadejo (FA)","22","46","2.1","11","0","0","34","0","231","6.8","0","0","14","65.7","4.7","0.0%"
"61","Maurice Hicks (FA)","59","308","5.2","73","0","3","12","4","47","3.9","0","0","14","65.5","4.7","0.0%"
"62","Ladell Betts (FA)","89","338","3.8","22","0","1","10","0","78","7.8","1","0","12","63.6","5.3","0.0%"
"63","Adrian Peterson (FA)","76","391","5.1","36","0","2","7","1","48","6.9","0","0","13","62.9","4.8","0.0%"
"64","Jerald Sowell (FA)","1","1","1.0","1","0","1","28","0","155","5.5","2","0","15","61.6","4.1","0.0%"
"65","Ahman Green (FA)","77","255","3.3","13","0","0","19","0","147","7.7","0","0","5","59.2","11.8","0.0%"
