"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Carson Palmer (FA)","345","509","67.8","3,836","7.5","32","12","19","34","41","1","0","16","269.7","16.9","5.6%"
"2","Tom Brady (FA)","334","530","63.0","4,110","7.8","26","14","26","27","89","1","0","16","255.4","16.0","2.7%"
"3","Peyton Manning (FA)","305","453","67.3","3,747","8.3","28","10","17","33","45","0","0","16","246.4","15.4","0.0%"
"4","Matt Hasselbeck (FA)","294","449","65.5","3,459","7.7","24","9","24","36","124","1","0","16","234.6","14.7","0.0%"
"5","Eli Manning (FA)","294","557","52.8","3,762","6.8","24","17","28","29","80","1","1","16","226.5","14.2","2.3%"
"6","Michael Vick (FA)","214","387","55.3","2,412","6.2","15","13","33","102","597","6","1","15","225.6","15.0","0.1%"
"7","Jake Plummer (FA)","277","456","60.7","3,366","7.4","18","7","22","46","151","2","0","16","221.7","13.9","0.0%"
"8","Drew Brees (FA)","323","500","64.6","3,576","7.2","24","15","27","21","49","1","0","16","220.1","13.8","35.7%"
"9","Trent Green (FA)","317","507","62.5","4,014","7.9","17","10","32","35","82","0","0","16","218.7","13.7","0.0%"
"10","Drew Bledsoe (FA)","300","499","60.1","3,639","7.3","23","17","49","34","50","2","2","16","218.5","13.7","0.0%"
"11","Kerry Collins (FA)","302","565","53.5","3,759","6.7","20","12","39","17","39","1","0","15","216.1","14.4","0.0%"
"12","Jake Delhomme (FA)","262","435","60.2","3,421","7.9","24","16","28","24","31","1","0","16","209.8","13.1","0.0%"
"13","Mark Brunell (FA)","262","454","57.7","3,050","6.7","23","10","27","42","111","0","0","16","207.0","12.9","0.0%"
"14","Steve McNair (FA)","292","476","61.3","3,161","6.6","16","11","20","32","139","1","0","14","188.4","13.5","0.0%"
"15","Brett Favre (FA)","372","607","61.3","3,881","6.4","20","29","24","18","62","0","1","16","185.6","11.6","0.0%"
"16","Aaron Brooks (FA)","240","431","55.7","2,882","6.7","13","17","33","45","281","2","0","13","173.4","13.3","0.0%"
"17","David Carr (FA)","256","423","60.5","2,488","5.9","14","11","68","56","308","1","0","16","172.3","10.8","0.0%"
"18","Gus Frerotte (FA)","257","494","52.0","2,996","6.1","18","13","26","27","61","0","0","16","171.8","10.7","0.0%"
"19","Ben Roethlisberger (FA)","168","268","62.7","2,385","8.9","17","9","23","31","69","3","0","12","170.2","14.2","13.6%"
"20","Donovan McNabb (FA)","211","357","59.1","2,507","7.0","16","9","19","25","55","1","0","9","159.9","17.8","0.0%"
"21","Byron Leftwich (FA)","175","302","57.9","2,123","7.0","15","5","23","31","67","2","1","11","151.5","13.8","0.0%"
"22","Kurt Warner (FA)","242","375","64.5","2,713","7.2","11","9","23","13","28","0","0","10","140.5","14.1","0.0%"
"23","Marc Bulger (FA)","192","287","66.9","2,297","8.0","14","9","26","9","29","0","0","8","133.9","16.7","0.0%"
"24","Brad Johnson (FA)","184","294","62.6","1,885","6.4","12","4","23","18","53","0","0","11","120.6","11.0","0.0%"
"25","Trent Dilfer (FA)","199","333","59.8","2,321","7.0","11","12","23","20","46","0","0","11","117.4","10.7","0.0%"
"26","Joey Harrington (FA)","188","330","57.0","2,021","6.1","12","12","24","24","80","0","0","12","113.4","9.5","0.0%"
"27","Chris Simms (FA)","191","313","61.0","2,035","6.5","10","7","29","19","31","0","0","11","111.3","10.1","0.0%"
"28","Kyle Boller (FA)","171","293","58.4","1,799","6.1","11","12","23","23","66","1","0","9","104.4","11.6","0.0%"
"29","Josh McCown (FA)","163","270","60.4","1,836","6.8","9","11","18","29","139","0","0","9","101.4","11.3","0.0%"
"30","David Garrard (FA)","98","168","58.3","1,117","6.6","4","1","8","31","172","3","0","7","95.8","13.7","0.0%"
"31","Brooks Bollinger (FA)","150","266","56.4","1,558","5.9","7","6","32","35","135","0","0","11","91.8","8.3","0.0%"
"32","Kelly Holcomb (FA)","155","230","67.4","1,509","6.6","10","8","17","18","11","1","0","10","91.6","9.2","0.0%"
"33","Kyle Orton (FA)","190","368","51.6","1,869","5.1","9","13","30","24","44","0","0","15","89.3","6.0","0.0%"
"34","Daunte Culpepper (FA)","139","216","64.4","1,564","7.2","6","12","31","24","147","1","0","7","85.2","12.2","0.0%"
"35","J.P. Losman (FA)","113","228","49.6","1,340","5.9","8","8","26","31","154","0","0","9","85.0","9.4","0.0%"
"36","Mike McMahon (FA)","94","207","45.4","1,158","5.6","5","8","19","34","118","3","1","9","78.1","8.7","0.0%"
"37","Anthony Wright (FA)","164","266","61.7","1,582","5.9","6","9","19","18","68","0","0","8","76.2","9.5","0.0%"
"38","Brian Griese (FA)","112","174","64.4","1,136","6.5","7","7","12","13","12","0","0","6","60.6","10.1","0.0%"
"39","Jamie Martin (FA)","124","177","70.1","1,277","7.2","5","7","11","9","6","0","0","8","59.7","7.5","0.0%"
"40","Charlie Frye (FA)","98","164","59.8","1,002","6.1","4","5","22","18","60","1","0","7","58.0","8.3","0.0%"
"41","Ryan Fitzpatrick (FA)","76","135","56.3","777","5.8","4","8","9","14","64","2","0","4","49.5","12.4","0.0%"
"42","Matt Schaub (FA)","33","64","51.6","495","7.7","4","0","6","9","76","0","0","13","49.4","3.8","0.0%"
"43","Jeff Garcia (FA)","102","173","59.0","937","5.4","3","6","6","17","51","1","0","6","48.6","8.1","0.0%"
"44","Tim Rattay (FA)","56","97","57.7","667","6.9","5","6","10","7","18","0","0","4","36.5","9.1","0.0%"
"45","Vinny Testaverde (FA)","60","106","56.6","777","7.3","1","6","12","7","4","2","0","6","35.4","5.9","0.0%"
"46","Billy Volek (FA)","50","88","56.8","474","5.4","4","2","9","1","3","0","0","5","31.3","6.3","0.0%"
"47","Sage Rosenfels (FA)","34","61","55.7","462","7.6","4","3","0","6","15","0","0","4","30.1","7.5","0.0%"
"48","Jim Sorgi (FA)","42","61","68.9","444","7.3","3","1","3","12","1","0","0","5","27.9","5.6","0.0%"
"49","Alex Smith (FA)","84","165","50.9","875","5.3","1","11","29","30","103","0","0","9","27.4","3.0","5.0%"
"50","Ken Dorsey (FA)","48","90","53.3","481","5.3","2","2","6","4","11","0","0","3","26.4","8.8","0.0%"
"51","Chad Pennington (FA)","49","83","59.0","530","6.4","2","3","9","6","27","0","0","3","25.9","8.6","0.0%"
"52","Todd Bouman (FA)","68","122","55.7","722","5.9","2","7","8","8","15","0","0","5","24.3","4.9","0.0%"
"53","Taylor Jacobs (FA)","0","0","0","0","0","0","0","0","0","0","0","0","6","21.0","3.5","0.0%"
"54","Charlie Batch (FA)","23","36","63.9","246","6.8","1","1","1","11","30","1","0","3","20.8","6.9","0.0%"
"55","Tommy Maddox (FA)","34","71","47.9","406","5.7","2","4","8","8","26","0","2","3","14.9","5.0","0.0%"
"56","Matt Cassel (FA)","13","24","54.2","183","7.6","2","1","1","6","12","0","0","2","14.5","7.3","0.0%"
"57","Patrick Ramsey (FA)","15","25","60.0","279","11.2","1","1","4","7","3","0","0","4","13.5","3.4","0.0%"
"58","Quinn Gray (FA)","8","14","57.1","100","7.1","2","0","1","3","1","0","0","1","12.1","12.1","0.0%"
"59","Bradlee Van Pelt (FA)","2","8","25.0","7","0.9","0","0","0","11","48","1","0","2","11.1","5.6","0.0%"
"60","Rex Grossman (FA)","20","39","51.3","259","6.6","1","2","1","0","0","0","0","2","10.3","5.2","0.0%"
"61","John Navarre (FA)","14","24","58.3","174","7.3","1","1","4","0","0","0","0","1","9.0","9.0","0.0%"
"62","Seneca Wallace (FA)","13","25","52.0","173","6.9","1","1","3","6","-5","0","0","5","8.4","1.7","0.0%"
"63","Jay Fiedler (FA)","8","13","61.5","107","8.2","1","0","0","1","0","0","0","2","8.3","4.2","0.0%"
"64","Matt Mauck (FA)","15","27","55.6","136","5.0","0","1","1","7","39","0","0","2","7.3","3.7","0.0%"
"65","Marques Tuiasosopo (FA)","14","26","53.8","124","4.8","1","2","6","2","19","0","0","1","6.9","6.9","0.0%"
"66","Tony Banks (FA)","14","25","56.0","173","6.9","1","2","0","2","-2","0","0","1","6.7","6.7","0.0%"
"67","Chris Weinke (FA)","7","13","53.8","64","4.9","1","0","0","8","-5","0","0","3","6.1","2.0","0.0%"
"68","Jeff Blake (FA)","8","9","88.9","55","6.1","1","0","0","1","-1","0","0","2","6.1","3.1","0.0%"
"69","Cody Pickett (FA)","14","35","40.0","140","4.0","0","2","3","13","42","0","0","3","5.8","1.9","0.0%"
"70","Koy Detmer (FA)","32","56","57.1","238","4.3","0","3","3","1","1","0","0","6","3.8","0.6","0.0%"
"71","Philip Rivers (FA)","12","22","54.5","115","5.2","0","1","3","1","-1","0","0","2","2.5","1.3","20.6%"
"72","Dan Orlovsky (FA)","7","17","41.2","63","3.7","0","0","1","0","0","0","0","2","2.5","1.3","0.0%"
"73","Kordell Stewart (FA)","0","0","0","0","0","0","0","0","4","24","0","0","1","2.4","2.4","0.0%"
"74","Jon Kitna (FA)","17","29","58.6","99","3.4","0","2","2","2","14","0","0","3","1.3","0.4","0.0%"
"75","Aaron Rodgers (NYJ)","9","16","56.3","65","4.1","0","1","3","2","7","0","0","3","1.3","0.4","49.2%"
"76","Doug Flutie (FA)","5","10","50.0","29","2.9","0","0","1","5","-1","0","0","5","1.1","0.2","0.0%"
"77","Kliff Kingsbury (FA)","1","2","50.0","17","8.5","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"78","Terrell Buckley (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Shaun Hill (FA)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
"80","Todd Collins (FA)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
"81","Tony Romo (FA)","0","0","0","0","0","0","0","0","2","-2","0","0","15","-0.2","0.0","0.1%"
"82","Tim Hasselbeck (FA)","0","0","0","0","0","0","0","0","2","-3","0","0","1","-0.3","-0.3","0.0%"
""
""
