"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Steve Smith (FA)","103","0","1,563","15.2","80","0","12","4","25","1","0","16","339.8","21.2","0.0%"
"2","Larry Fitzgerald (FA)","103","0","1,409","13.7","47","0","10","8","41","0","0","16","308.0","19.3","0.2%"
"3","Chad Johnson (FA)","97","0","1,432","14.8","70","0","9","5","33","0","0","16","297.5","18.6","0.0%"
"4","Anquan Boldin (FA)","102","0","1,402","13.7","54","0","7","12","45","0","0","14","290.7","20.8","0.1%"
"5","Torry Holt (FA)","102","16","1,331","13.0","44","0","9","1","2","0","0","14","289.3","20.7","0.0%"
"6","Santana Moss (FA)","84","18","1,483","17.7","78","0","9","3","-3","0","0","16","286.0","17.9","0.0%"
"7","Joey Galloway (FA)","83","12","1,287","15.5","80","0","10","2","4","0","0","14","272.1","19.4","0.0%"
"8","Chris Chambers (FA)","82","0","1,118","13.6","77","0","11","12","92","0","0","16","269.0","16.8","0.0%"
"9","Donald Driver (FA)","86","7","1,221","14.2","59","0","5","2","13","0","0","16","239.4","15.0","0.0%"
"10","Plaxico Burress (FA)","76","28","1,214","16.0","78","0","7","0","0","0","1","16","237.4","14.8","0.0%"
"11","Hines Ward (FA)","69","11","975","14.1","85","0","11","3","10","0","0","15","233.5","15.6","0.0%"
"12","Rod Smith (FA)","85","8","1,105","13.0","72","0","6","1","7","0","0","16","232.2","14.5","0.0%"
"13","T.J. Houshmandzadeh (FA)","78","0","956","12.3","43","0","7","8","62","1","0","14","227.8","16.3","0.0%"
"14","Terry Glenn (FA)","62","17","1,136","18.3","71","0","7","2","-4","1","0","16","223.2","14.0","0.0%"
"15","Reggie Wayne (FA)","83","0","1,055","12.7","66","0","5","0","0","0","0","15","218.5","14.6","0.0%"
"16","Keenan McCardell (FA)","70","8","917","13.1","54","0","9","2","6","0","0","16","216.3","13.5","0.0%"
"17","Eddie Kennison (FA)","68","0","1,102","16.2","55","0","5","7","43","0","0","15","212.5","14.2","0.0%"
"18","Derrick Mason (FA)","86","7","1,073","12.5","39","0","3","0","0","0","0","16","211.3","13.2","0.0%"
"19","Randy Moss (FA)","60","0","1,005","16.8","79","0","8","0","0","0","0","15","208.5","13.9","0.0%"
"20","Jimmy Smith (FA)","70","12","1,023","14.6","45","0","6","0","0","0","0","16","208.3","13.0","0.0%"
"21","Deion Branch (FA)","78","0","998","12.8","51","0","5","0","0","0","0","16","207.8","13.0","0.0%"
"22","Donte' Stallworth (FA)","70","0","945","13.5","43","0","7","2","2","0","0","16","206.7","12.9","0.0%"
"23","Antonio Bryant (FA)","69","0","1,009","14.6","54","0","4","1","3","0","0","16","194.2","12.1","0.0%"
"24","Keyshawn Johnson (FA)","71","24","839","11.8","34","0","6","1","3","0","1","16","191.2","12.0","0.0%"
"25","Laveranues Coles (FA)","73","6","845","11.6","43","0","5","0","0","0","0","16","187.5","11.7","0.0%"
"26","Eric Moulds (FA)","81","0","816","10.1","55","0","4","0","0","0","0","14","186.6","13.3","0.0%"
"27","Joe Jerevicius (FA)","55","15","694","12.6","52","0","10","0","0","0","0","15","184.4","12.3","0.0%"
"28","Kevin Curtis (FA)","60","3","801","13.4","83","0","6","1","5","1","0","16","182.6","11.4","0.0%"
"29","Amani Toomer (FA)","60","20","684","11.4","37","0","7","0","0","0","0","15","170.4","11.4","0.0%"
"30","Lee Evans (FA)","48","0","743","15.5","65","0","7","4","38","0","0","16","168.1","10.5","0.0%"
"31","Muhsin Muhammad (FA)","64","9","750","11.7","33","0","4","0","0","0","0","15","163.0","10.9","0.0%"
"32","Roy Williams (FA)","45","7","687","15.3","51","0","8","0","0","0","0","12","161.7","13.5","0.0%"
"33","Bobby Engram (FA)","67","19","778","11.6","56","0","3","0","0","0","1","13","160.8","12.4","0.0%"
"34","Terrell Owens (FA)","47","0","763","16.2","91","0","6","1","2","0","0","7","159.5","22.8","0.0%"
"35","Drew Bennett (FA)","58","0","738","12.7","55","0","4","1","3","0","0","13","156.1","12.0","0.0%"
"36","Eric Parker (FA)","57","10","725","12.7","49","0","3","4","55","0","0","15","153.0","10.2","0.0%"
"37","Brandon Lloyd (FA)","48","7","733","15.3","89","0","5","0","0","0","0","16","151.3","9.5","0.0%"
"38","David Givens (FA)","59","0","738","12.5","40","0","2","2","13","0","0","13","146.1","11.2","0.0%"
"39","Andre Johnson (FA)","63","20","688","10.9","53","0","2","6","10","0","0","12","144.8","12.1","0.0%"
