"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Priest Holmes (FA)","313","1,615","5.2","56","0","21","70","81","672","9.6","3","1","14","440.7","31.5","0.0%"
"2","LaDainian Tomlinson (FA)","372","1,683","4.5","76","0","14","79","101","489","6.2","1","1","16","384.2","24.0","0.0%"
"3","Ricky Williams (FA)","383","1,853","4.8","63","0","16","47","59","363","7.7","1","5","16","360.6","22.5","0.0%"
"4","Charlie Garner (FA)","182","962","5.3","36","0","7","91","111","941","10.3","4","0","16","347.3","21.7","0.0%"
"5","Shaun Alexander (FA)","295","1,175","4.0","58","0","16","59","78","460","7.8","2","1","16","328.5","20.5","0.0%"
"6","Tiki Barber (FA)","304","1,387","4.6","70","0","11","69","95","597","8.7","0","6","16","321.4","20.1","0.0%"
"7","Clinton Portis (FA)","273","1,508","5.5","59","0","15","33","48","364","11.0","2","3","16","316.2","19.8","0.0%"
"8","Deuce McAllister (FA)","325","1,388","4.3","62","0","13","47","74","352","7.5","3","3","15","311.0","20.7","0.0%"
"9","Travis Henry (FA)","325","1,438","4.4","34","0","13","43","59","309","7.2","1","8","16","285.7","17.9","0.0%"
"10","Marshall Faulk (FA)","212","953","4.5","44","0","8","80","102","537","6.7","2","3","14","283.0","20.2","0.0%"
"11","Fred Taylor (FA)","287","1,314","4.6","63","0","8","49","57","408","8.3","0","2","16","269.2","16.8","0.0%"
"12","Ahman Green (FA)","286","1,240","4.3","43","0","7","57","74","393","6.9","2","3","14","268.3","19.2","0.0%"
"13","Eddie George (FA)","343","1,165","3.4","35","0","12","36","46","255","7.1","2","1","16","262.0","16.4","0.0%"
"14","Duce Staley (FA)","269","1,029","3.8","57","0","5","51","69","541","10.6","3","0","16","258.0","16.1","0.0%"
"15","Jamal Lewis (FA)","308","1,327","4.3","75","0","6","47","60","442","9.4","1","7","16","251.9","15.7","0.0%"
"16","Corey Dillon (FA)","314","1,311","4.2","67","0","7","43","61","298","6.9","0","2","16","241.9","15.1","0.0%"
"17","Curtis Martin (FA)","261","1,094","4.2","35","0","7","49","56","362","7.4","0","0","16","238.6","14.9","0.0%"
"18","Michael Bennett (FA)","255","1,296","5.1","85","0","5","37","41","351","9.5","1","3","16","231.7","14.5","0.0%"
"19","Warrick Dunn (FA)","230","927","4.0","59","0","7","50","65","377","7.5","2","3","15","228.4","15.2","0.0%"
