"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Morten Andersen (FA)","22","26","84.6","50","0","0","0","0","0","51","51","14","51.0","3.6","0.0%"
"2","Sebastian Janikowski (FA)","26","33","78.8","51","0","0","0","0","0","50","50","16","50.0","3.1","20.0%"
"3","Ryan Longwell (FA)","28","34","82.4","49","0","0","0","0","0","44","44","16","44.0","2.8","0.0%"
"4","David Akers (FA)","30","34","88.2","51","0","0","0","0","0","43","43","16","44.0","2.8","0.0%"
"5","Jason Elam (FA)","26","36","72.2","55","0","0","0","0","0","42","43","16","42.0","2.6","0.0%"
"6","Olindo Mare (FA)","24","31","77.4","53","0","0","0","0","0","42","42","16","42.0","2.6","0.0%"
"7","Jay Feely (FA)","32","40","80.0","52","0","0","0","0","0","42","42","16","42.0","2.6","0.0%"
"8","Mike Hollis (FA)","25","33","75.8","54","0","0","0","0","0","40","40","16","40.0","2.5","0.0%"
"9","Rian Lindell (FA)","23","29","79.3","52","0","0","0","0","0","38","38","16","38.0","2.4","0.0%"
"10","Jeff Wilkins (FA)","19","25","76.0","47","0","0","0","0","0","37","37","16","37.0","2.3","0.0%"
"11","John Carney (FA)","31","35","88.6","48","0","0","0","0","0","37","37","16","37.0","2.3","0.0%"
"12","Gary Anderson (FA)","18","23","78.3","53","0","0","0","0","0","36","36","14","36.0","2.6","0.0%"
"13","Joe Nedney (FA)","25","31","80.6","53","0","0","0","0","0","36","36","16","36.0","2.3","0.0%"
"14","Adam Vinatieri (FA)","27","30","90.0","57","0","0","0","0","0","36","36","16","36.0","2.3","0.2%"
"15","Steve Christie (FA)","18","26","69.2","53","0","0","0","0","0","35","35","16","35.0","2.2","0.0%"
"16","John Hall (FA)","24","31","77.4","46","0","0","0","0","0","35","35","16","35.0","2.2","0.0%"
"17","Mike Vanderjagt (FA)","23","31","74.2","54","0","0","0","0","0","34","34","16","34.0","2.1","0.0%"
"18","Phil Dawson (FA)","22","28","78.6","52","0","0","0","0","0","34","35","16","34.0","2.1","0.1%"
"19","Jose Cortez (FA)","23","32","71.9","45","0","0","0","0","0","34","34","14","34.0","2.4","0.0%"
"20","Matt Stover (FA)","21","25","84.0","51","0","0","0","0","0","33","33","15","33.0","2.2","0.0%"
"21","Martin Gramatica (FA)","32","39","82.1","53","0","0","0","0","0","32","32","16","32.0","2.0","0.0%"
"22","Jason Hanson (FA)","23","28","82.1","49","0","0","0","0","0","31","31","16","31.0","1.9","0.0%"
"23","Neil Rackers (FA)","15","18","83.3","54","0","0","0","0","0","30","31","16","30.0","1.9","0.0%"
"24","Matt Bryant (FA)","26","32","81.3","47","0","0","0","0","0","30","32","16","30.0","1.9","1.1%"
"25","Paul Edinger (FA)","22","28","78.6","53","0","0","0","0","0","29","29","16","29.0","1.8","0.0%"
"26","Bill Gramatica (FA)","15","21","71.4","50","0","0","0","0","0","29","29","16","29.0","1.8","0.0%"
"27","Todd Peterson (FA)","12","21","57.1","46","0","0","0","0","0","25","25","10","25.0","2.5","0.0%"
"28","Billy Cundiff (FA)","12","19","63.2","48","0","0","0","0","0","25","25","16","25.0","1.6","0.0%"
"29","Shayne Graham (FA)","13","18","72.2","50","0","0","0","0","0","21","21","11","21.0","1.9","0.0%"
"30","Kris Brown (FA)","17","24","70.8","51","0","0","0","0","0","20","20","16","20.0","1.3","0.0%"
"31","James Tuthill (FA)","10","16","62.5","53","0","0","0","0","0","20","21","12","20.0","1.7","0.0%"
"32","Jeff Chandler (FA)","8","12","66.7","47","0","0","0","0","0","14","14","6","14.0","2.3","0.0%"
"33","Hayden Epstein (FA)","5","9","55.6","34","0","0","0","0","0","13","13","15","13.0","0.9","0.0%"
"34","Tim Seder (FA)","8","12","66.7","43","0","0","0","0","0","11","11","5","11.0","2.2","0.0%"
"35","Jeff Reed (FA)","17","19","89.5","50","0","0","0","0","0","10","11","6","10.0","1.7","0.0%"
"36","Danny Boyd (FA)","5","5","100.0","33","0","0","0","0","0","7","7","4","7.0","1.8","0.0%"
"37","Doug Brien (FA)","5","6","83.3","42","0","0","0","0","0","5","7","6","5.0","0.8","0.0%"
"38","John Kasay (FA)","2","5","40.0","27","0","0","0","0","0","5","5","2","5.0","2.5","0.0%"
"39","Brett Conway (FA)","1","1","100.0","35","0","0","0","0","0","4","4","1","4.0","4.0","0.0%"
"40","Michael Husted (FA)","1","1","100.0","38","0","0","0","0","0","3","3","6","3.0","0.5","0.0%"
"41","Jon Hilbert (FA)","0","2","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.0%"
"42","Richie Cunningham (FA)","1","1","100.0","23","0","0","0","0","0","2","2","1","2.0","2.0","0.0%"
"43","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"44","Wade Richey (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"45","J.R. Jenkins (FA)","0","1","0.0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"46","Charlie Rogers (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"47","Reginald Swinton (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"48","Travis Dorsch (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"49","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
""
""
