"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Hines Ward (FA)","112","161","1,329","11.9","72","0","12","12","142","0","1","16","335.1","20.9","0.0%"
"2","Terrell Owens (FA)","100","159","1,300","13.0","76","0","13","7","79","1","0","14","321.9","23.0","0.0%"
"3","Randy Moss (FA)","106","184","1,347","12.7","60","0","7","6","51","0","1","16","290.3","18.1","0.0%"
"4","Eric Moulds (FA)","100","180","1,292","12.9","70","0","10","1","7","0","0","16","289.9","18.1","0.0%"
"5","Peerless Price (FA)","94","148","1,252","13.3","73","0","9","3","-13","0","1","16","269.9","16.9","0.0%"
"6","Amani Toomer (FA)","82","134","1,343","16.4","82","0","8","1","2","0","0","16","264.5","16.5","0.0%"
"7","Joe Horn (FA)","88","149","1,312","14.9","63","0","7","1","2","0","0","16","263.4","16.5","0.0%"
"8","Marty Booker (FA)","97","167","1,189","12.3","54","0","6","0","0","0","0","16","257.7","16.1","0.0%"
"9","Jerry Rice (FA)","92","150","1,211","13.2","75","0","7","3","20","0","1","16","255.1","15.9","0.0%"
"10","Plaxico Burress (FA)","78","144","1,325","17.0","62","0","7","0","0","0","1","16","252.5","15.8","0.0%"
"11","Laveranues Coles (FA)","89","134","1,264","14.2","43","0","5","6","39","0","0","16","251.3","15.7","0.0%"
"12","Torry Holt (FA)","91","160","1,302","14.3","58","0","4","2","18","0","1","16","245.0","15.3","0.0%"
"13","Koren Robinson (FA)","78","141","1,240","15.9","83","0","5","8","56","0","0","16","237.6","14.9","0.0%"
"14","Donald Driver (FA)","70","113","1,064","15.2","85","0","9","8","70","0","1","16","235.4","14.7","0.0%"
"15","Jimmy Smith (FA)","80","137","1,027","12.8","47","0","7","1","2","0","0","16","226.9","14.2","0.0%"
"16","Isaac Bruce (FA)","79","130","1,075","13.6","34","0","7","3","18","0","2","16","226.3","14.1","0.0%"
"17","Rod Smith (FA)","89","147","1,027","11.5","46","0","5","6","9","0","1","16","220.6","13.8","0.0%"
"18","Rod Gardner (FA)","71","141","1,006","14.2","43","0","8","1","1","0","0","16","219.7","13.7","0.0%"
"19","Keyshawn Johnson (FA)","76","142","1,088","14.3","76","0","5","0","0","0","0","16","218.8","13.7","0.0%"
"20","Chad Johnson (FA)","69","137","1,166","16.9","72","0","5","0","0","0","0","16","215.6","13.5","0.0%"
"21","Derrick Mason (FA)","79","125","1,012","12.8","40","0","5","0","0","0","1","14","208.2","14.9","0.0%"
"22","Troy Brown (FA)","97","141","890","9.2","38","0","3","3","14","0","2","14","203.4","14.5","0.0%"
"23","Travis Taylor (FA)","61","118","869","14.2","64","0","6","11","105","0","0","16","194.4","12.2","0.0%"
"24","Quincy Morgan (FA)","56","97","964","17.2","78","0","7","3","7","0","2","16","193.1","12.1","0.0%"
"25","Joey Galloway (FA)","61","120","908","14.9","80","0","6","4","31","0","1","16","188.9","11.8","0.0%"
"26","Tim Brown (FA)","81","127","930","11.5","45","0","2","6","19","0","1","16","185.9","11.6","0.0%"
"27","Curtis Conway (FA)","57","94","852","14.9","52","0","5","7","53","2","2","12","185.5","15.5","0.0%"
"28","Todd Pinkston (FA)","60","113","798","13.3","42","0","7","1","-15","0","0","15","180.3","12.0","0.0%"
"29","Tai Streets (FA)","72","109","756","10.5","47","0","5","0","0","0","0","15","177.6","11.8","0.0%"
"30","James Thrash (FA)","52","107","635","12.2","39","0","6","18","126","2","1","16","174.1","10.9","0.0%"
"31","David Patten (FA)","61","120","824","13.5","39","0","5","2","6","0","0","16","174.0","10.9","0.0%"
"32","Brian Finneran (FA)","56","101","838","15.0","47","0","6","0","0","0","1","16","173.8","10.9","0.0%"
"33","Ed McCaffrey (FA)","69","103","903","13.1","69","0","2","2","22","0","1","16","171.5","10.7","0.0%"
"34","Wayne Chrebet (FA)","51","80","691","13.5","37","0","9","0","0","0","2","15","170.1","11.3","0.0%"
"35","Darrell Jackson (FA)","62","112","877","14.1","48","0","4","3","3","0","2","13","170.0","13.1","0.0%"
"36","Muhsin Muhammad (FA)","63","108","823","13.1","42","0","3","3","40","0","0","14","167.3","12.0","0.0%"
"37","Kevin Johnson (FA)","67","120","703","10.5","30","0","4","0","0","0","0","16","166.6","10.4","0.0%"
"38","Keenan McCardell (FA)","61","101","670","11.0","65","0","6","1","3","0","1","14","162.3","11.6","0.0%"
"39","Eddie Kennison (FA)","53","92","906","17.1","64","0","2","7","58","0","0","16","161.4","10.1","0.0%"
"40","Derrius Thompson (FA)","53","93","773","14.6","47","0","4","10","77","0","2","16","158.0","9.9","0.0%"
"41","Steve Smith (FA)","54","97","872","16.1","69","0","3","1","-4","0","2","15","154.8","10.3","0.0%"
"42","Antonio Bryant (FA)","44","93","733","16.7","78","0","6","6","40","0","2","16","153.3","9.6","0.0%"
"43","Chris Chambers (FA)","52","100","734","14.1","59","0","3","6","78","0","0","15","151.2","10.1","0.0%"
"44","Peter Warrick (FA)","53","81","606","11.4","37","0","6","8","22","0","1","15","149.8","10.0","0.0%"
"45","Corey Bradford (FA)","45","106","697","15.5","81","0","6","2","-11","0","0","16","149.6","9.4","0.0%"
"46","Donte' Stallworth (FA)","42","69","594","14.1","57","0","8","2","2","0","0","13","149.6","11.5","0.0%"
"47","Terry Glenn (FA)","56","106","817","14.6","49","0","2","0","0","0","1","15","147.7","9.8","0.0%"
"48","Reggie Wayne (FA)","49","72","716","14.6","49","0","4","0","0","0","1","15","142.6","9.5","0.0%"
"49","Dennis Northcutt (FA)","38","49","601","15.8","43","0","5","8","104","1","2","13","142.5","11.0","0.0%"
"50","Tim Dwight (FA)","50","93","623","12.5","42","0","2","12","108","1","0","16","141.1","8.8","0.0%"
"51","Dez White (FA)","51","94","656","12.9","76","0","4","3","11","0","1","16","139.7","8.7","0.0%"
"52","Antonio Freeman (FA)","46","80","600","13.0","59","0","4","0","0","0","0","15","130.0","8.7","0.0%"
"53","Bill Schroeder (FA)","36","77","595","16.5","46","0","5","0","0","0","0","14","127.5","9.1","0.0%"
"54","Jerome Pathon (FA)","43","80","523","12.2","64","0","4","0","0","0","0","14","119.3","8.5","0.0%"
"55","Antwaan Randle El (FA)","47","65","489","10.4","36","0","2","19","134","0","3","16","119.0","7.4","0.0%"
"56","Andre Davis (FA)","37","72","420","11.4","31","0","6","3","7","0","0","16","115.7","7.2","0.0%"
"57","Ricky Proehl (FA)","43","70","466","10.8","33","0","4","0","0","0","0","15","113.6","7.6","0.0%"
"58","Marc Boerigter (FA)","20","38","420","21.0","99","0","8","0","0","0","0","15","110.0","7.3","0.0%"
"59","Bobby Engram (FA)","50","72","619","12.4","38","0","0","0","0","0","1","15","109.9","7.3","0.0%"
"60","Az-Zahir Hakim (FA)","37","82","541","14.6","64","0","3","4","3","0","0","10","109.4","10.9","0.0%"
"61","Kevin Dyson (FA)","41","69","460","11.2","40","0","4","2","-4","0","1","11","108.6","9.9","0.0%"
"62","Qadry Ismail (FA)","44","84","462","10.5","42","0","3","0","0","0","0","14","108.2","7.7","0.0%"
"63","Deion Branch (FA)","43","68","489","11.4","49","0","2","2","0","0","0","13","103.9","8.0","0.0%"
"64","Ashley Lelie (FA)","35","53","525","15.0","48","0","2","4","40","0","0","15","103.5","6.9","0.0%"
"65","Joe Jerevicius (FA)","37","52","423","11.4","26","0","4","0","0","0","0","13","103.3","7.9","0.0%"
"66","Bobby Shaw (FA)","44","74","525","11.9","48","0","1","0","0","0","0","16","102.5","6.4","0.0%"
"67","Santana Moss (FA)","30","52","433","14.4","47","0","4","7","48","0","0","15","102.1","6.8","0.0%"
"68","Jabar Gaffney (FA)","41","81","483","11.8","27","0","1","0","0","0","1","16","100.9","6.3","0.0%"
"69","Josh Reed (FA)","37","59","509","13.8","42","0","2","0","0","0","1","16","97.9","6.1","0.0%"
"70","James McKnight (FA)","29","46","528","18.2","77","0","2","7","58","0","2","14","95.6","6.8","0.0%"
"71","Drew Bennett (FA)","33","64","478","14.5","53","0","2","0","0","0","0","16","92.8","5.8","0.0%"
"72","T.J. Houshmandzadeh (FA)","41","69","492","12.0","31","0","1","0","0","0","2","15","92.2","6.1","0.0%"
"73","David Boston (FA)","32","75","512","16.0","34","0","1","2","29","0","0","8","92.1","11.5","0.0%"
"74","Ron Dugans (FA)","47","73","421","9.0","31","0","0","0","0","0","0","16","89.1","5.6","0.0%"
"75","Frank Sanders (FA)","34","58","400","11.8","37","0","2","3","2","0","0","11","88.2","8.0","0.0%"
"76","Johnnie Morton (FA)","29","64","397","13.7","30","0","1","10","124","0","0","14","87.1","6.2","0.0%"
"77","Trevor Gaylor (FA)","25","54","385","15.4","74","0","3","0","0","0","0","11","81.5","7.4","0.0%"
"78","Ike Hilliard (FA)","27","47","386","14.3","38","0","2","1","7","0","0","7","78.3","11.2","0.0%"
"79","Jake Reed (FA)","21","47","360","17.1","54","0","3","0","0","0","1","12","73.0","6.1","0.0%"
"80","Brandon Stokley (FA)","24","52","357","14.9","35","0","2","6","31","0","1","8","72.8","9.1","0.0%"
"81","Shawn Jefferson (FA)","27","49","394","14.6","63","0","1","0","0","0","0","13","72.4","5.6","0.0%"
"82","J.J. Stokes (FA)","32","55","332","10.4","51","0","1","0","0","0","0","12","71.2","5.9","0.0%"
