"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Tampa Bay Buccaneers (TB)","43","31","7","15","5","2","1","16","219.0","13.7","20.7%"
"2","Philadelphia Eagles (PHI)","56","15","22","26","3","0","1","16","191.0","11.9","50.9%"
"3","Green Bay Packers (GB)","43","24","21","22","4","0","0","16","176.0","11.0","26.0%"
"4","Atlanta Falcons (ATL)","47","24","15","19","2","0","1","16","166.0","10.4","16.6%"
"5","Carolina Panthers (CAR)","52","17","16","20","2","1","2","16","159.0","9.9","2.9%"
"6","Pittsburgh Steelers (PIT)","50","19","17","11","1","0","1","16","150.0","9.4","76.5%"
"7","Miami Dolphins (MIA)","47","21","9","13","2","0","0","16","149.0","9.3","69.2%"
"8","Las Vegas Raiders (LV)","43","21","10","11","3","0","3","16","147.0","9.2","22.3%"
"9","Tennessee Titans (TEN)","40","18","11","10","4","0","0","16","144.0","9.0","3.5%"
"10","New Orleans Saints (NO)","39","20","18","20","3","0","3","16","141.0","8.8","63.8%"
"11","Baltimore Ravens (BAL)","33","25","6","12","3","0","3","16","138.0","8.6","87.4%"
"12","Los Angeles Chargers (LAC)","39","17","10","13","4","1","0","16","133.0","8.3","16.1%"
"13","New England Patriots (NE)","34","18","11","15","4","0","2","16","129.0","8.1","13.3%"
"14","New York Giants (NYG)","37","11","14","13","2","0","0","16","125.0","7.8","3.0%"
"15","Indianapolis Colts (IND)","36","10","17","24","1","0","0","16","123.0","7.7","24.8%"
"16","Dallas Cowboys (DAL)","24","19","10","14","3","0","2","16","122.0","7.6","93.1%"
"17","Houston Texans (HOU)","35","10","11","9","3","3","1","16","121.0","7.6","30.1%"
"18","Denver Broncos (DEN)","40","9","13","10","3","1","0","16","120.0","7.5","34.5%"
"19","Washington Commanders (WAS)","40","14","12","17","2","1","1","16","119.0","7.4","8.1%"
"20","Los Angeles Rams (LAR)","38","12","14","23","1","0","1","16","118.0","7.4","21.1%"
"21","Jacksonville Jaguars (JAC)","36","14","13","14","0","2","1","16","112.0","7.0","47.6%"
"22","Seattle Seahawks (SEA)","28","19","11","13","3","0","2","16","108.0","6.8","26.2%"
"23","Chicago Bears (CHI)","35","9","19","20","1","0","0","16","106.0","6.6","31.5%"
"24","Cleveland Browns (CLE)","28","17","12","16","0","0","3","16","105.0","6.6","94.2%"
"25","San Francisco 49ers (SF)","32","19","8","14","1","0","1","16","104.0","6.5","98.1%"
"26","Kansas City Chiefs (KC)","34","18","13","12","1","0","3","16","103.0","6.4","77.1%"
"27","Detroit Lions (DET)","33","10","14","18","3","0","3","16","103.0","6.4","43.3%"
"28","New York Jets (NYJ)","30","15","8","8","0","0","4","16","97.0","6.1","82.8%"
"29","Cincinnati Bengals (CIN)","24","9","11","12","3","0","1","16","83.0","5.2","49.0%"
"30","Arizona Cardinals (ARI)","21","17","8","7","2","0","1","16","83.0","5.2","0.8%"
"31","Buffalo Bills (BUF)","31","10","9","10","2","0","1","16","82.0","5.1","62.7%"
"32","Minnesota Vikings (MIN)","27","16","7","5","1","1","0","16","76.0","4.8","11.5%"
""
""
