Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
125,Kolby Smith (FA),0,0,0,0,0,0,2,0,21,10.5,0,0,3,4.1,1.4,0.00%
126,Aveion Cason (FA),2,8,4,5,0,0,2,0,5,2.5,0,0,3,3.3,1.1,0.00%
127,Reagan Maui'a (FA),2,5,2.5,3,0,0,2,0,5,2.5,0,0,4,3,0.8,0.00%
128,John Kuhn (FA),0,0,0,0,0,0,2,0,7,3.5,0,0,16,2.7,0.2,0.00%
129,Naufahu Tahi (FA),2,5,2.5,3,0,0,1,0,7,7,0,0,3,2.2,0.7,0.00%
130,Reno Mahe (FA),0,0,0,0,0,0,1,0,11,11,0,0,7,2.1,0.3,0.00%
131,Mike Bell (FA),5,3,0.6,3,0,0,1,0,7,7,0,0,2,2,1,0.00%
132,Antonio Pittman (FA),9,19,2.1,7,0,0,0,0,0,0,0,0,3,1.9,0.6,0.00%
133,Justin Green (FA),0,0,0,0,0,0,1,0,6,6,0,0,5,1.6,0.3,0.00%
134,Mike Anderson (FA),4,2,0.5,2,0,0,1,0,2,2,0,0,2,1.4,0.7,0.00%
135,Luke Lawton (FA),5,13,2.6,4,0,0,0,0,0,0,0,0,6,1.3,0.2,0.00%
136,Oren O'Neal (FA),0,0,0,0,0,0,1,0,1,1,0,0,2,1.1,0.6,0.00%
137,Alvin Pearman (FA),0,0,0,0,0,0,1,0,1,1,0,0,3,1.1,0.4,0.00%
138,Andre Hall (FA),3,10,3.3,6,0,0,0,0,0,0,0,0,2,1,0.5,0.00%
139,Garrett Wolfe (FA),5,6,1.2,2,0,0,0,0,0,0,0,0,3,0.6,0.2,0.00%
140,Dan Kreider (FA),1,2,2,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.00%
141,Josh Scobey (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
142,Zack Crockett (FA),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
143,Byron Storer (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
144,Stacy Tutt (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
145,Cory Ross (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
146,Keith Smith (FA),0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
147,Paul Smith (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
148,Montell Owens (FA),0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
149,Rock Cartwright (FA),2,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0.00%
150,Corey McIntyre (FA),0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
151,Chris Massey (FA),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
152,Nick Goings (FA),0,0,0,0,0,0,0,0,0,0,0,1,4,-2,-0.5,0.00%
