Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
106,Malcom Floyd (FA),7,0,97,13.9,25,0,0,0,0,0,0,6,16.7,2.8,0.00%
107,Devin Aromashodu (FA),7,0,96,13.7,28,0,0,0,0,0,0,6,16.6,2.8,0.00%
108,Mike Williams (FA),7,0,90,12.9,24,0,0,0,0,0,0,5,16,3.2,0.00%
109,Justin McCareins (FA),7,3,81,11.6,20,0,0,0,0,0,0,6,15.1,2.5,0.00%
110,Antonio Chatman (FA),7,0,68,9.7,15,0,0,0,0,0,0,4,13.8,3.5,0.00%
111,Peerless Price (FA),7,0,68,9.7,22,0,0,0,0,0,0,4,13.8,3.5,0.00%
112,Josh Cribbs (FA),3,0,37,12.3,18,0,0,9,61,0,0,16,12.8,0.8,0.00%
113,Bryan Gilmore (FA),5,0,85,17,42,0,0,1,-8,0,0,3,12.7,4.2,0.00%
114,Miles Austin (FA),5,0,76,15.2,35,0,0,0,0,0,0,16,12.6,0.8,0.00%
115,Ashley Lelie (FA),5,0,72,14.4,47,0,0,0,0,0,0,2,12.2,6.1,0.00%
116,Sinorice Moss (FA),6,0,46,7.7,17,0,0,1,4,0,0,5,11,2.2,0.00%
117,Keenan McCardell (FA),4,0,69,17.3,21,0,0,0,0,0,0,2,10.9,5.5,0.00%
118,Chris Davis (TEN),5,0,38,7.6,13,0,0,2,19,0,0,8,10.7,1.3,0.00%
119,Tim Dwight (FA),1,0,28,28,28,0,1,0,0,0,0,1,9.8,9.8,0.00%
120,Greg Lewis (FA),3,3,65,21.7,50,0,0,0,0,0,0,4,9.5,2.4,0.00%
121,Willie Reid (FA),3,0,48,16,25,0,0,0,0,0,0,2,7.8,3.9,0.00%
122,Anthony Mix (FA),3,0,39,13,21,0,0,0,0,0,0,1,6.9,6.9,0.00%
123,Aaron Moorehead (FA),4,0,26,6.5,8,0,0,0,0,0,0,3,6.6,2.2,0.00%
124,Steve Smith (NYG),4,0,26,6.5,10,0,0,0,0,0,0,2,6.6,3.3,0.00%
125,Skyler Green (FA),3,0,33,11,18,0,0,1,1,0,0,7,6.4,0.9,0.00%
126,Brian Clark (FA),4,0,23,5.8,7,0,0,0,0,0,0,3,6.3,2.1,0.00%
127,Courtney Taylor (FA),3,0,25,8.3,12,0,0,0,0,0,0,3,5.5,1.8,0.00%
128,Dane Looker (FA),3,0,19,6.3,10,0,0,0,0,0,0,3,4.9,1.6,0.00%
129,Koren Robinson (FA),3,0,18,6,11,0,0,0,0,0,0,1,4.8,4.8,0.00%
130,Mark Bradley (FA),2,0,26,13,17,0,0,0,0,0,0,4,4.6,1.2,0.00%
131,James Thrash (FA),3,0,16,5.3,7,0,0,0,0,0,0,6,4.6,0.8,0.00%
132,Sean Morey (FA),2,0,23,11.5,14,0,0,0,0,0,0,5,4.3,0.9,0.00%
133,Kassim Osgood (FA),2,2,23,11.5,15,0,0,0,0,0,0,16,4.3,0.3,0.00%
134,Johnnie Lee Higgins (FA),2,0,14,7,16,0,0,1,8,0,0,7,4.2,0.6,0.00%
135,Brandon Lloyd (FA),2,0,14,7,9,0,0,0,0,0,0,8,3.4,0.4,0.00%
136,Aundrae Allison (FA),1,3,20,20,11,0,0,0,0,0,0,4,3,0.8,0.00%
137,Tab Perry (FA),1,0,7,7,7,0,0,1,9,0,0,2,2.6,1.3,0.00%
138,Jerome Mathis (FA),1,0,15,15,15,0,0,0,0,0,0,3,2.5,0.8,0.00%
139,Matt Willis (FA),1,0,11,11,11,0,0,0,0,0,0,5,2.1,0.4,0.00%
