"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jason Witten (FA)","96","0","1,145","11.9","53","0","7","0","0","0","0","16","252.5","15.8","0.0%"
"2","Tony Gonzalez (FA)","99","13","1,172","11.8","31","0","5","0","0","0","0","16","246.2","15.4","0.0%"
"3","Antonio Gates (FA)","75","11","984","13.1","49","0","9","0","0","0","0","16","227.4","14.2","0.2%"
"4","Kellen Winslow (FA)","82","16","1,106","13.5","49","0","5","0","0","0","0","16","222.6","13.9","0.0%"
"5","Dallas Clark (FA)","58","0","616","10.6","39","0","11","2","29","0","0","15","188.5","12.6","0.0%"
"6","Owen Daniels (FA)","63","13","768","12.2","29","0","3","0","0","0","1","16","155.8","9.7","0.0%"
"7","Heath Miller (FA)","47","0","566","12.0","29","0","7","0","0","0","0","16","145.6","9.1","0.0%"
"8","Tony Scheffler (FA)","49","0","549","11.2","41","0","5","0","0","0","0","16","133.9","8.4","0.0%"
"9","Vernon Davis (FA)","52","2","509","9.8","31","0","4","0","0","0","0","14","126.9","9.1","1.6%"
"10","Benjamin Watson (FA)","36","0","389","10.8","35","0","6","1","11","0","0","12","112.0","9.3","2.8%"
"11","Zach Miller (FA)","44","0","444","10.1","28","0","3","0","0","0","0","16","106.4","6.7","0.0%"
"12","Jeff King (FA)","46","19","406","8.8","29","0","2","0","0","0","0","16","98.6","6.2","0.0%"
"13","Greg Olsen (FA)","39","0","391","10.0","31","0","2","0","0","0","0","14","90.1","6.4","7.0%"
"14","Alex Smith (FA)","32","5","385","12.0","33","0","3","0","0","0","0","14","88.5","6.3","0.0%"
"15","Marcedes Lewis (CHI)","37","0","391","10.6","25","0","2","0","0","0","0","16","88.1","5.5","0.1%"
"16","Chris Cooley (FA)","27","0","277","10.3","28","0","5","0","0","0","0","8","86.7","10.8","0.0%"
"17","Jeremy Shockey (FA)","31","0","358","11.5","27","0","2","1","6","0","0","8","79.4","9.9","0.0%"
"18","Donald Lee (FA)","29","0","382","13.2","60","0","1","0","0","0","0","8","73.2","9.2","0.0%"
"19","Desmond Clark (FA)","28","0","322","11.5","52","0","2","0","0","0","0","8","72.2","9.0","0.0%"
"20","Jerry Porter (FA)","19","0","332","17.5","59","0","3","0","0","0","0","8","70.2","8.8","0.0%"
"21","Eric Johnson (FA)","34","5","250","7.4","22","0","1","0","0","0","0","8","65.0","8.1","0.0%"
"22","Bobby Wade (FA)","24","12","284","11.8","40","0","0","1","-9","0","0","8","51.5","6.4","0.0%"
"23","Randy McMichael (FA)","19","0","248","13.1","29","0","1","0","0","0","0","8","49.8","6.2","0.0%"
"24","Bo Scaife (FA)","24","0","196","8.2","21","0","1","0","0","0","0","8","49.6","6.2","0.0%"
"25","Chris Baker (FA)","17","3","177","10.4","18","0","2","0","0","0","0","8","46.7","5.8","0.0%"
"26","Alge Crumpler (FA)","19","5","203","10.7","35","0","1","0","0","0","0","6","45.3","7.6","0.0%"
"27","Todd Heap (FA)","19","0","201","10.6","37","0","1","0","0","0","0","4","45.1","11.3","0.0%"
"28","Delanie Walker (FA)","21","1","174","8.3","26","0","1","0","0","0","0","16","44.4","2.8","0.1%"
"29","Justin Peelle (FA)","17","0","149","8.8","35","0","2","0","0","0","0","7","43.9","6.3","0.0%"
"30","Quinn Sypniewski (FA)","22","0","148","6.7","13","0","1","0","0","0","0","6","42.8","7.1","0.0%"
"31","Mike Sellers (FA)","13","0","82","6.3","24","0","1","21","74","1","0","8","40.6","5.1","0.0%"
"32","Brent Celek (FA)","16","4","178","11.1","29","0","1","0","0","0","0","16","39.8","2.5","0.0%"
"33","Will Heller (FA)","13","6","82","6.3","25","0","3","0","0","0","0","16","39.2","2.5","0.0%"
"34","Visanthe Shiancoe (FA)","16","12","171","10.7","25","0","1","0","0","0","0","6","39.1","6.5","0.0%"
"35","David Martin (FA)","15","0","111","7.4","14","0","2","0","0","0","0","7","38.1","5.4","0.0%"
"36","Ernest Wilford (FA)","17","0","191","11.2","33","0","0","0","0","0","0","8","36.1","4.5","0.0%"
"37","Bubba Franks (FA)","14","0","90","6.4","12","0","2","0","0","0","0","5","35.0","7.0","0.0%"
"38","Anthony Fasano (FA)","14","0","143","10.2","26","0","1","0","0","0","0","16","34.3","2.1","0.1%"
"39","Robert Royal (FA)","13","4","136","10.5","27","0","1","0","0","0","0","6","32.6","5.4","0.0%"
"40","Daniel Graham (FA)","16","0","149","9.3","21","0","0","0","0","0","0","8","30.9","3.9","0.0%"
"41","Leonard Pope (FA)","9","2","95","10.6","30","0","2","0","0","0","0","7","30.5","4.4","0.0%"
"42","Marcus Pollard (FA)","12","0","123","10.3","22","0","1","0","0","0","0","5","30.3","6.1","0.0%"
"43","Dante Rosario (FA)","6","3","108","18.0","54","0","2","0","0","0","0","16","28.8","1.8","0.0%"
"44","Michael Gaines (FA)","13","2","85","6.5","14","0","1","0","0","0","0","7","27.5","3.9","0.0%"
"45","Matt Spaeth (FA)","5","0","34","6.8","13","0","3","0","0","0","0","14","26.4","1.9","0.0%"
"46","Ben Hartsock (FA)","12","0","138","11.5","27","0","0","0","0","0","0","16","25.8","1.6","0.0%"
"47","Kyle Brady (FA)","7","0","57","8.1","20","0","2","0","0","0","0","6","24.7","4.1","0.0%"
"48","Kris Wilson (FA)","13","0","111","8.5","31","0","0","1","5","0","0","7","24.6","3.5","0.0%"
"49","Sean McHugh (FA)","9","0","155","17.2","46","0","0","0","0","0","0","6","24.5","4.1","0.0%"
"50","Reggie Kelly (FA)","11","0","131","11.9","23","0","0","0","0","0","0","7","24.1","3.4","0.0%"
"51","Ben Utecht (FA)","11","0","127","11.5","30","0","0","0","0","0","0","6","23.7","4.0","0.0%"
"52","Joel Dreessen (FA)","4","1","55","13.8","28","0","2","0","0","0","0","13","21.5","1.7","0.0%"
"53","Billy Miller (FA)","8","0","125","15.6","57","0","0","0","0","0","0","5","20.5","4.1","0.0%"
"54","Matt Schobel (FA)","7","3","69","9.9","13","0","1","0","0","0","0","7","19.9","2.8","0.0%"
"55","Maurice Stovall (FA)","7","0","60","8.6","13","0","1","0","0","0","0","6","19.0","3.2","0.0%"
"56","Greg Estandia (FA)","7","0","119","17.0","30","0","0","0","0","0","0","5","18.9","3.8","0.0%"
"57","George Wrighster (FA)","7","0","51","7.3","18","0","1","0","0","0","0","7","18.1","2.6","0.0%"
"58","Jeb Putzier (FA)","6","3","39","6.5","11","0","1","0","0","0","0","5","15.9","3.2","0.0%"
"59","Jerramy Stevens (FA)","8","0","78","9.8","23","0","0","0","0","0","0","5","15.8","3.2","0.0%"
"60","Tony Curtis (FA)","2","0","3","1.5","2","0","2","0","0","0","0","4","14.3","3.6","0.0%"
"61","L.J. Smith (FA)","7","1","68","9.7","23","0","0","0","0","0","0","5","13.8","2.8","0.0%"
"62","Martrez Milner (FA)","8","0","49","6.1","15","0","0","0","0","0","0","5","12.9","2.6","0.0%"
"63","Steve Heiden (FA)","7","0","55","7.9","27","0","0","0","0","0","0","6","12.5","2.1","0.0%"
"64","Nate Jackson (FA)","3","0","34","11.3","24","0","1","0","0","0","0","5","12.4","2.5","0.0%"
"65","John Madsen (FA)","5","0","71","14.2","39","0","0","0","0","0","0","2","12.1","6.1","0.0%"
"66","Daniel Coats (FA)","6","0","47","7.8","10","0","0","0","0","0","0","5","10.7","2.1","0.0%"
"67","Bryan Fletcher (FA)","4","0","58","14.5","21","0","0","0","0","0","0","2","9.8","4.9","0.0%"
"68","Brandon Manumaleuna (FA)","6","3","37","6.2","12","0","0","0","0","0","0","6","9.7","1.6","0.0%"
"69","Todd Yoder (FA)","5","0","46","9.2","18","0","0","0","0","0","0","5","9.6","1.9","0.0%"
"70","Madison Hedgecock (FA)","5","0","38","7.6","9","0","0","0","0","0","0","7","8.8","1.3","0.0%"
"71","Dominique Byrd (FA)","4","0","44","11.0","14","0","0","0","0","0","0","1","8.4","8.4","0.0%"
"72","Dwayne Blakley (FA)","5","2","32","6.4","10","0","0","0","0","0","0","4","8.2","2.1","0.0%"
"73","Joe Kowalewski (FA)","2","0","2","1.0","1","0","1","0","0","0","0","2","8.2","4.1","0.0%"
"74","Jerame Tuman (FA)","1","0","9","9.0","9","0","1","0","0","0","0","2","7.9","4.0","0.0%"
"75","Sean Ryan (FA)","3","0","46","15.3","22","0","0","0","0","0","0","2","7.6","3.8","0.0%"
"76","Casey Fitzsimmons (FA)","4","0","36","9.0","12","0","0","0","0","0","0","7","7.6","1.1","0.0%"
"77","Troy Bienemann (FA)","3","0","19","6.3","7","0","0","0","0","0","0","3","4.9","1.6","0.0%"
"78","Derek Schouman (FA)","3","1","19","6.3","10","0","0","0","0","0","0","2","4.9","2.5","0.0%"
"79","Jeff Dugan (FA)","2","0","24","12.0","13","0","0","1","3","0","0","4","4.7","1.2","0.0%"
"80","Michael Matthews (FA)","3","0","16","5.3","6","0","0","0","0","0","0","4","4.6","1.2","0.0%"
"81","Ben Troupe (FA)","2","0","22","11.0","13","0","0","0","0","0","0","2","4.2","2.1","0.0%"
"82","Christian Fauria (FA)","2","0","19","9.5","11","0","0","0","0","0","0","2","3.9","2.0","0.0%"
"83","Ryan Neufeld (FA)","2","0","14","7.0","8","0","0","0","0","0","0","5","3.4","0.7","0.0%"
"84","Aaron Walker (FA)","2","0","13","6.5","8","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"85","Ryan Krause (FA)","2","0","11","5.5","6","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"86","David Thomas (FA)","1","0","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"87","Richard Owens (FA)","1","0","9","9.0","9","0","0","0","0","0","0","4","1.9","0.5","0.0%"
"88","John Gilmore (FA)","1","0","7","7.0","7","0","0","0","0","0","0","5","1.7","0.3","0.0%"
"89","Aaron Halterman (FA)","1","0","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"90","Jimmy Kleinsasser (FA)","1","2","4","4.0","4","0","0","0","0","0","0","3","1.4","0.5","0.0%"
"91","John Owens (FA)","1","1","4","4.0","4","0","0","0","0","0","0","3","1.4","0.5","0.0%"
"92","Kevin Everett (FA)","1","0","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"93","Daniel Wilcox (FA)","1","0","2","2.0","2","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"94","Dan Campbell (FA)","1","0","1","1.0","1","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"95","Keith Heinrich (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"96","Jason Dunn (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","Mark Bruener (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"98","Casey Cramer (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"99","Nate Lawrie (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Bennie Joppru (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"101","Courtney Anderson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"102","Tim Euhus (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"103","Mike Leach (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"104","Tony Stewart (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Anthony Becht (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"106","Billy Bajema (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"107","Brian Jennings (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"108","Isaiah Stanback (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"109","Scott Chandler (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
