"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"55","Isaiah McKenzie (NYG)","42","66","423","10.1","30","4","4","9","55","1","0","16","119.8","7.5","0.1%"
"56","Marvin Jones Jr. (FA)","46","81","529","11.5","37","6","3","0","0","0","0","16","116.9","7.3","0.1%"
"57","Kalif Raymond (DET)","47","64","616","13.1","56","10","0","7","36","0","1","17","116.2","6.8","1.3%"
"58","Devin Duvernay (JAC)","37","49","407","11.0","31","6","3","12","84","1","0","14","116.1","8.3","0.2%"
"59","Robert Woods (HOU)","53","91","527","9.9","41","3","2","0","0","0","1","17","115.7","6.8","2.7%"
"60","Chris Moore (ARI)","48","74","548","11.4","52","9","2","3","3","0","0","15","115.1","7.7","0.1%"
"61","Noah Brown (HOU)","43","74","555","12.9","51","6","3","0","0","0","1","16","114.5","7.2","23.4%"
"62","Greg Dortch (ARI)","52","64","467","9.0","47","5","2","7","44","0","1","16","113.1","7.1","4.3%"
"63","DeAndre Carter (CHI)","46","65","538","11.7","35","10","3","2","-15","0","2","17","112.3","6.6","0.0%"
"64","Alec Pierce (IND)","41","78","593","14.5","47","8","2","0","0","0","0","16","112.3","7.0","2.3%"
"65","Olamide Zaccheaus (WAS)","40","61","533","13.3","45","9","3","2","7","0","1","17","110.0","6.5","0.1%"
"66","Michael Gallup (FA)","39","74","424","10.9","27","4","4","0","0","0","0","14","105.4","7.5","6.3%"
"67","Chase Claypool (BUF)","46","79","451","9.8","31","7","1","9","59","0","1","15","105.0","7.0","0.8%"
"68","Josh Reynolds (DEN)","38","59","479","12.6","31","8","3","0","0","0","0","12","103.9","8.7","7.3%"
"69","Demarcus Robinson (LAR)","48","75","458","9.5","31","4","2","0","0","0","1","16","103.8","6.5","15.2%"
"70","DeVante Parker (FA)","31","47","539","17.4","43","10","3","0","0","0","0","13","102.9","7.9","1.7%"
"71","Romeo Doubs (GB)","42","67","425","10.1","26","7","3","1","11","0","1","13","101.6","7.8","43.9%"
"72","Darnell Mooney (ATL)","40","61","493","12.3","56","7","2","1","2","0","0","11","101.5","9.2","38.0%"
"73","Rashid Shaheed (NO)","28","34","488","17.4","68","6","2","4","57","1","0","12","100.5","8.4","49.6%"
"74","Isaiah Hodgins (NYG)","37","48","392","10.6","29","4","4","0","0","0","1","9","100.2","11.1","0.6%"
"75","DJ Chark Jr. (LAC)","30","52","502","16.7","51","9","3","0","0","0","0","11","98.2","8.9","4.7%"
"76","Corey Davis (FA)","32","64","536","16.8","66","7","2","0","0","0","0","13","97.6","7.5","0.0%"
"77","Nico Collins (HOU)","37","66","481","13.0","58","8","2","0","0","0","0","10","97.1","9.7","95.6%"
"78","Mecole Hardman Jr. (KC)","25","34","297","11.9","36","5","4","4","31","2","0","8","93.8","11.7","1.2%"
"79","Marquise Goodwin (FA)","27","42","387","14.3","38","9","4","2","5","0","0","13","90.2","6.9","0.0%"
"80","Kendrick Bourne (NE)","35","48","434","12.4","41","6","1","6","39","0","0","16","88.3","5.5","4.3%"
"81","Treylon Burks (TEN)","33","54","444","13.5","51","8","1","4","47","0","0","11","88.1","8.0","6.0%"
"82","Elijah Moore (CLE)","37","65","446","12.1","42","8","1","5","5","0","0","16","88.1","5.5","23.1%"
"83","Rondale Moore (ATL)","41","56","414","10.1","38","6","1","6","-5","0","0","8","87.9","11.0","5.2%"
"84","Allen Robinson II (NYG)","33","52","339","10.3","29","3","3","0","0","0","0","10","84.9","8.5","0.6%"
