"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","41","29","12","18","6","1","1","16","221.0","13.8","13.3%"
"2","Baltimore Ravens (BAL)","47","24","17","21","5","0","2","16","212.0","13.3","87.4%"
"3","Los Angeles Rams (LAR)","42","24","22","22","5","1","0","16","190.0","11.9","21.1%"
"4","Miami Dolphins (MIA)","44","22","14","15","4","1","0","16","180.0","11.3","69.2%"
"5","Tampa Bay Buccaneers (TB)","36","20","13","21","4","1","0","16","179.0","11.2","20.7%"
"6","Tennessee Titans (TEN)","38","21","13","13","6","1","1","16","164.0","10.3","3.5%"
"7","Minnesota Vikings (MIN)","37","28","7","16","4","2","0","16","153.0","9.6","11.5%"
"8","Dallas Cowboys (DAL)","32","13","12","17","2","2","1","16","149.0","9.3","93.1%"
"9","Green Bay Packers (GB)","34","21","11","16","3","0","0","16","148.0","9.3","26.0%"
"10","Kansas City Chiefs (KC)","36","25","12","11","3","0","4","16","148.0","9.3","77.1%"
"11","Carolina Panthers (CAR)","40","16","10","12","3","1","2","16","143.0","8.9","2.9%"
"12","San Francisco 49ers (SF)","42","23","13","10","2","1","1","16","132.0","8.3","98.1%"
"13","Seattle Seahawks (SEA)","40","16","12","11","3","1","1","16","132.0","8.3","26.2%"
"14","Buffalo Bills (BUF)","38","10","8","14","3","3","0","16","130.0","8.1","62.7%"
"15","New Orleans Saints (NO)","32","14","13","13","2","1","1","16","128.0","8.0","63.8%"
"16","Philadelphia Eagles (PHI)","38","13","13","16","1","1","2","16","125.0","7.8","50.9%"
"17","Indianapolis Colts (IND)","31","15","15","18","3","0","0","16","125.0","7.8","24.8%"
"18","New York Giants (NYG)","45","10","12","19","4","0","0","16","122.0","7.6","3.0%"
"19","Pittsburgh Steelers (PIT)","35","14","11","11","2","0","2","16","121.0","7.6","76.5%"
"20","Cleveland Browns (CLE)","35","15","7","14","1","0","1","16","120.0","7.5","94.2%"
"21","Detroit Lions (DET)","28","15","13","16","4","0","3","16","118.0","7.4","43.3%"
"22","Denver Broncos (DEN)","36","9","11","16","1","1","2","16","112.0","7.0","34.5%"
"23","Atlanta Falcons (ATL)","36","15","16","21","3","0","1","16","110.0","6.9","16.6%"
"24","Jacksonville Jaguars (JAC)","24","15","12","15","1","0","0","16","103.0","6.4","47.6%"
"25","New York Jets (NYJ)","35","11","9","11","0","1","1","16","100.0","6.3","82.8%"
"26","Washington Commanders (WAS)","27","17","13","15","0","1","1","16","97.0","6.1","8.1%"
"27","Las Vegas Raiders (LV)","25","14","11","11","2","1","3","16","96.0","6.0","22.3%"
"28","Cincinnati Bengals (CIN)","30","14","10","15","1","0","1","16","86.0","5.4","49.0%"
"29","Houston Texans (HOU)","19","14","8","9","1","0","0","16","82.0","5.1","30.1%"
"30","Chicago Bears (CHI)","18","15","5","7","1","0","3","16","80.0","5.0","31.5%"
"31","Los Angeles Chargers (LAC)","30","13","7","14","1","0","0","16","66.0","4.1","16.1%"
"32","Arizona Cardinals (ARI)","21","13","10","14","1","0","1","16","66.0","4.1","0.8%"
""
""
