"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Randy Moss (FA)","111","172","1,632","14.7","72","0","17","6","18","0","1","16","376.0","23.5","0.0%"
"2","Torry Holt (FA)","117","183","1,696","14.5","48","0","12","1","5","0","0","16","359.1","22.4","0.0%"
"3","Chad Johnson (FA)","90","154","1,355","15.1","82","0","10","0","0","0","0","16","285.5","17.8","0.0%"
"4","Anquan Boldin (FA)","101","165","1,377","13.6","71","0","8","5","40","0","3","16","282.7","17.7","0.1%"
"5","Hines Ward (FA)","95","156","1,163","12.2","50","0","10","11","61","0","0","16","277.4","17.3","0.0%"
"6","Derrick Mason (FA)","95","133","1,303","13.7","50","0","8","3","11","0","0","16","274.4","17.2","0.0%"
"7","Keenan McCardell (FA)","84","138","1,174","14.0","76","0","8","0","0","0","1","16","247.4","15.5","0.0%"
"8","Santana Moss (FA)","74","117","1,105","14.9","65","0","10","10","67","0","2","16","247.2","15.5","0.0%"
"9","Steve Smith (FA)","88","141","1,110","12.6","67","0","7","11","42","0","0","16","245.2","15.3","0.0%"
"10","Terrell Owens (FA)","80","146","1,102","13.8","75","0","9","3","-2","0","0","15","244.0","16.3","0.0%"
"11","Laveranues Coles (FA)","82","158","1,204","14.7","64","0","6","10","39","0","0","16","242.3","15.1","0.0%"
"12","Joe Horn (FA)","78","130","973","12.5","50","0","10","2","15","0","0","15","237.4","15.8","0.0%"
"13","Darrell Jackson (FA)","68","130","1,137","16.7","80","0","9","0","0","0","1","16","233.7","14.6","0.0%"
"14","Chris Chambers (FA)","64","130","963","15.0","57","0","11","4","30","0","1","16","227.3","14.2","0.0%"
"15","Peter Warrick (FA)","79","122","819","10.4","77","0","7","18","157","0","1","15","216.6","14.4","0.0%"
"16","Isaac Bruce (FA)","69","119","981","14.2","41","0","5","2","17","0","0","15","201.4","13.4","0.0%"
"17","David Boston (FA)","70","115","880","12.6","46","0","7","3","18","0","2","14","199.8","14.3","0.0%"
"18","Amani Toomer (FA)","63","152","1,057","16.8","77","0","5","1","5","0","0","16","199.2","12.5","0.0%"
