"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Priest Holmes (FA)","320","1,420","4.4","31","0","27","74","90","690","9.3","0","1","16","445.0","27.8","0.0%"
"2","LaDainian Tomlinson (FA)","313","1,645","5.3","73","0","13","100","137","725","7.3","4","0","16","443.8","27.7","0.0%"
"3","Ahman Green (FA)","355","1,883","5.3","98","0","15","50","60","367","7.3","5","5","16","385.0","24.1","0.0%"
"4","Jamal Lewis (FA)","387","2,066","5.3","82","0","14","26","38","205","7.9","0","6","16","325.1","20.3","0.0%"
"5","Deuce McAllister (FA)","351","1,641","4.7","76","0","8","69","86","516","7.5","0","4","16","324.7","20.3","0.0%"
"6","Clinton Portis (FA)","290","1,591","5.5","65","0","14","38","51","314","8.3","0","1","13","312.5","24.0","0.0%"
"7","Shaun Alexander (FA)","326","1,435","4.4","55","0","14","42","59","295","7.0","2","3","16","305.0","19.1","0.0%"
"8","Fred Taylor (FA)","345","1,572","4.6","62","0","6","48","74","370","7.7","1","4","16","276.2","17.3","0.0%"
"9","Ricky Williams (FA)","392","1,372","3.5","45","0","9","50","62","351","7.0","1","5","16","272.3","17.0","0.0%"
"10","Edgerrin James (FA)","310","1,259","4.1","43","0","11","51","71","292","5.7","0","3","13","266.1","20.5","0.0%"
"11","Moe Williams (FA)","174","745","4.3","61","0","5","65","85","644","9.9","3","1","16","249.9","15.6","0.0%"
"12","Tiki Barber (FA)","278","1,216","4.4","27","0","2","69","98","461","6.7","1","6","16","244.7","15.3","0.0%"
"13","Travis Henry (FA)","331","1,356","4.1","64","0","10","28","40","158","5.6","1","3","15","237.4","15.8","0.0%"
"14","Domanick Williams (FA)","238","1,031","4.3","51","0","8","47","68","351","7.5","0","3","14","227.2","16.2","0.0%"
"15","Marshall Faulk (FA)","209","818","3.9","52","0","10","45","61","290","6.4","1","0","11","221.8","20.2","0.0%"
"16","Michael Pittman (FA)","187","751","4.0","17","0","0","75","120","597","8.0","2","1","16","219.8","13.7","0.0%"
"17","Stephen Davis (FA)","318","1,444","4.5","40","0","8","14","17","159","11.4","0","3","14","216.3","15.5","0.0%"
"18","Curtis Martin (FA)","323","1,308","4.0","56","0","2","42","53","262","6.2","0","2","16","207.0","12.9","0.0%"
"19","Kevan Barlow (FA)","201","1,024","5.1","78","0","6","35","44","307","8.8","1","4","16","202.1","12.6","0.0%"
"20","Brian Westbrook (FA)","117","613","5.2","62","0","7","37","48","332","9.0","4","2","15","193.5","12.9","0.0%"
"21","Rudi Johnson (FA)","215","957","4.5","54","0","9","21","23","146","7.0","0","0","13","185.3","14.3","0.0%"
"22","Richie Anderson (FA)","70","306","4.4","19","0","1","69","87","493","7.1","4","0","15","178.9","11.9","0.0%"
"23","Eddie George (FA)","312","1,031","3.3","27","0","5","22","31","163","7.4","0","0","16","171.4","10.7","0.0%"
"24","Shawn Bryson (FA)","158","606","3.8","39","0","3","54","72","340","6.3","0","0","16","166.6","10.4","0.0%"
"25","Charlie Garner (FA)","120","553","4.6","33","0","3","48","70","386","8.0","1","0","14","165.9","11.9","0.0%"
