"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Morten Andersen (FA)","16","20","80.0","49","0","0","0","0","0","58","59","16","58.0","3.6","0.0%"
"2","Ryan Longwell (FA)","23","26","88.5","50","0","0","0","0","0","51","51","16","51.0","3.2","0.0%"
"3","Aaron Elling (FA)","18","25","72.0","51","0","0","0","0","0","48","48","16","48.0","3.0","0.0%"
"4","Josh Brown (FA)","22","30","73.3","58","0","0","0","0","0","48","48","16","48.0","3.0","0.0%"
"5","Jeff Wilkins (FA)","39","42","92.9","53","0","0","0","0","0","46","46","16","46.7","2.9","0.0%"
"6","Mike Vanderjagt (FA)","37","37","100.0","50","0","0","0","0","0","46","46","16","46.0","2.9","0.0%"
"7","Gary Anderson (FA)","27","31","87.1","43","0","0","0","0","0","42","42","15","42.0","2.8","0.0%"
"8","David Akers (FA)","24","29","82.8","57","0","0","0","0","0","42","42","16","42.0","2.6","0.0%"
"9","Shayne Graham (FA)","22","25","88.0","48","0","0","0","0","0","40","40","16","40.0","2.5","0.0%"
"10","Jason Elam (FA)","27","31","87.1","51","0","0","0","0","0","39","39","16","39.0","2.4","0.0%"
"11","Adam Vinatieri (FA)","25","34","73.5","48","0","0","0","0","0","37","37","16","37.0","2.3","0.2%"
"12","John Carney (FA)","22","30","73.3","50","0","0","0","0","0","36","37","16","36.3","2.3","0.0%"
"13","Steve Christie (FA)","15","20","75.0","51","0","0","0","0","0","36","36","16","36.0","2.3","0.0%"
"14","Matt Stover (FA)","33","38","86.8","49","0","0","0","0","0","35","35","16","35.0","2.2","0.0%"
"15","Martin Gramatica (FA)","16","26","61.5","50","0","0","0","0","0","33","33","16","33.0","2.1","0.0%"
"16","Olindo Mare (FA)","22","29","75.9","52","0","0","0","0","0","33","33","16","33.0","2.1","0.0%"
"17","Jay Feely (FA)","19","27","70.4","46","0","0","0","0","0","32","32","16","32.0","2.0","0.0%"
"18","Jeff Reed (FA)","23","32","71.9","51","0","0","0","0","0","31","32","16","31.0","1.9","0.0%"
"19","Billy Cundiff (FA)","23","29","79.3","52","0","0","0","0","0","30","30","15","30.0","2.0","0.0%"
"20","Seth Marler (FA)","20","33","60.6","53","0","0","0","0","0","30","30","16","30.0","1.9","0.0%"
"21","John Kasay (FA)","32","38","84.2","53","0","0","0","0","0","29","30","16","29.0","1.8","0.0%"
"22","Sebastian Janikowski (FA)","22","25","88.0","55","0","0","0","0","0","28","29","16","28.0","1.8","20.0%"
"23","Kris Brown (FA)","18","22","81.8","50","0","0","0","0","0","27","27","16","27.0","1.7","0.0%"
"24","Paul Edinger (FA)","26","36","72.2","54","0","0","0","0","0","27","27","16","27.0","1.7","0.0%"
"25","John Hall (FA)","25","33","75.8","54","0","0","0","0","0","26","26","16","26.0","1.6","0.0%"
"26","Jason Hanson (FA)","22","23","95.7","54","0","0","0","0","0","26","27","16","26.0","1.6","0.0%"
"27","Doug Brien (FA)","27","32","84.4","48","0","0","0","0","0","24","24","16","24.0","1.5","0.0%"
"28","Rian Lindell (FA)","17","24","70.8","44","0","0","0","0","0","24","24","16","24.0","1.5","0.0%"
"29","Todd Peterson (FA)","12","15","80.0","48","0","0","0","0","0","22","22","8","22.0","2.8","0.0%"
"30","Phil Dawson (FA)","18","21","85.7","52","0","0","0","0","0","20","20","13","21.4","1.6","0.1%"
"31","Matt Bryant (FA)","11","14","78.6","47","0","0","0","0","0","17","17","11","17.0","1.5","1.1%"
"32","Brett Conway (FA)","14","19","73.7","48","0","0","0","0","0","9","9","8","9.0","1.1","0.0%"
"33","Owen Pochman (FA)","8","15","53.3","48","0","0","0","0","0","9","10","6","9.0","1.5","0.0%"
"34","Neil Rackers (FA)","9","12","75.0","49","0","0","0","0","0","8","8","7","8.0","1.1","0.0%"
"35","Jeff Chandler (FA)","6","7","85.7","35","0","0","0","0","0","7","8","2","7.0","3.5","0.0%"
"36","Bill Gramatica (FA)","3","4","75.0","38","0","0","0","0","0","6","6","4","6.0","1.5","0.0%"
"37","Tim Duncan (FA)","6","10","60.0","53","0","0","0","0","0","5","6","5","5.0","1.0","0.0%"
"38","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"39","Charlie Rogers (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"40","Wade Richey (FA)","1","2","50.0","56","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"41","Reginald Swinton (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"42","David Allen (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"43","Jose Cortez (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"44","Joe Nedney (FA)","1","1","100.0","50","0","0","0","0","0","0","1","1","0.0","0.0","0.0%"
"45","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
""
""
