"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"21","Jeff Blake (FA)","208","367","56.7","2,247","6.1","13","15","19","30","177","2","4","13","135.5","10.4","0.0%"
"22","Patrick Ramsey (FA)","179","337","53.1","2,166","6.4","14","9","30","15","62","1","5","11","130.8","11.9","0.0%"
"23","Drew Bledsoe (FA)","274","471","58.2","2,860","6.1","11","12","49","24","29","2","10","16","129.4","8.1","0.0%"
"24","Chad Pennington (FA)","189","297","63.6","2,139","7.2","13","12","25","21","42","2","2","10","127.8","12.8","0.0%"
"25","Jay Fiedler (FA)","179","314","57.0","2,138","6.8","11","13","19","34","88","3","4","12","122.4","10.2","0.0%"
"26","David Carr (FA)","167","295","56.6","2,013","6.8","9","13","15","27","151","2","0","12","117.6","9.8","0.0%"
"27","Drew Brees (FA)","205","356","57.6","2,108","5.9","11","15","21","21","84","0","3","11","111.9","10.2","35.7%"
"28","Kordell Stewart (FA)","126","251","50.2","1,418","5.6","7","12","25","59","290","3","3","9","103.7","11.5","0.0%"
"29","Doug Flutie (FA)","91","167","54.5","1,097","6.6","9","4","8","33","168","2","5","7","92.7","13.2","0.0%"
"30","Kelly Holcomb (FA)","193","302","63.9","1,797","6.0","10","12","21","8","7","0","2","10","84.7","8.5","0.0%"
"31","Doug Johnson (FA)","136","243","56.0","1,655","6.8","8","12","19","14","21","1","0","10","82.3","8.2","0.0%"
"32","Vinny Testaverde (FA)","123","198","62.1","1,385","7.0","7","2","6","6","17","0","0","7","81.2","11.6","0.0%"
"33","Tim Couch (FA)","120","203","59.1","1,319","6.5","7","6","19","11","39","1","3","10","73.3","7.3","0.0%"
"34","Anthony Wright (FA)","94","178","52.8","1,199","6.7","9","8","19","28","73","0","3","7","69.3","9.9","0.0%"
"35","Rich Gannon (FA)","125","225","55.6","1,274","5.7","6","4","17","6","18","0","0","7","68.8","9.8","0.0%"
"36","Josh McCown (FA)","95","166","57.2","1,018","6.1","5","6","25","28","158","1","2","8","66.6","8.3","0.0%"
"37","Kyle Boller (FA)","116","224","51.8","1,260","5.6","7","9","17","30","62","0","5","11","64.6","5.9","0.0%"
"38","Michael Vick (FA)","50","100","50.0","585","5.9","4","3","9","40","255","1","1","5","63.0","12.6","0.1%"
"39","Rick Mirer (FA)","116","221","52.5","1,267","5.7","3","5","22","20","83","1","2","9","62.9","7.0","0.0%"
"40","Tim Rattay (FA)","73","118","61.9","856","7.3","7","2","7","8","0","0","0","8","58.2","7.3","0.0%"
"41","Gus Frerotte (FA)","38","65","58.5","690","10.6","7","2","5","12","-2","0","0","5","53.5","10.7","0.0%"
"42","Tim Hasselbeck (FA)","95","177","53.7","1,012","5.7","5","7","9","15","41","0","2","7","46.6","6.7","0.0%"
"43","Chris Chandler (FA)","107","192","55.7","1,050","5.5","3","7","14","14","35","0","0","8","45.6","5.7","0.0%"
"44","Tony Banks (FA)","61","102","59.8","693","6.8","5","3","13","6","27","0","0","6","44.4","7.4","0.0%"
"45","Billy Volek (FA)","44","69","63.8","545","7.9","4","1","6","11","4","1","1","6","40.2","6.7","0.0%"
"46","Mark Brunell (FA)","54","82","65.9","484","5.9","2","0","9","8","19","1","0","3","35.3","11.8","0.0%"
"47","Brian Griese (FA)","74","130","56.9","813","6.3","5","6","12","5","15","0","4","5","33.9","6.8","0.0%"
"48","Jesse Palmer (FA)","60","116","51.7","532","4.6","3","4","16","4","23","0","1","5","25.6","5.1","0.0%"
"49","Rex Grossman (FA)","38","72","52.8","437","6.1","2","1","4","3","-1","0","0","3","23.4","7.8","0.0%"
"50","Danny Kanell (FA)","53","103","51.5","442","4.3","2","5","2","6","5","0","0","5","16.2","3.2","0.0%"
"51","Neil O'Donnell (FA)","18","27","66.7","232","8.6","2","1","0","1","-1","0","0","1","15.2","15.2","0.0%"
"52","Steve Beuerlein (FA)","33","63","52.4","389","6.2","2","5","9","5","13","0","0","4","14.9","3.7","0.0%"
"53","Kurt Kittner (FA)","44","114","38.6","391","3.4","2","6","5","8","13","0","0","6","12.9","2.2","0.0%"
"54","Taylor Jacobs (FA)","0","0","0","0","0","0","0","0","0","0","0","0","6","12.7","2.1","0.0%"
"55","Kurt Warner (FA)","38","65","58.5","365","5.6","1","1","6","1","0","0","3","2","10.6","5.3","0.0%"
"56","Shaun King (FA)","15","22","68.2","130","5.9","1","1","3","4","20","0","0","3","9.2","3.1","0.0%"
"57","Marques Tuiasosopo (FA)","25","45","55.6","324","7.2","0","3","2","6","22","0","0","4","9.2","2.3","0.0%"
"58","Todd Bouman (FA)","7","13","53.8","81","6.2","1","0","2","3","1","0","1","3","7.4","2.5","0.0%"
"59","David Garrard (FA)","9","12","75.0","86","7.2","1","0","0","0","0","0","0","1","7.4","7.4","0.0%"
"60","Dave Ragone (FA)","20","40","50.0","135","3.4","0","1","8","6","51","0","1","2","7.0","3.5","0.0%"
"61","Sage Rosenfels (FA)","4","6","66.7","50","8.3","1","0","0","1","-1","0","0","2","5.9","3.0","0.0%"
"62","Travis Brown (FA)","14","18","77.8","160","8.9","0","1","1","1","5","0","0","2","4.9","2.5","0.0%"
"63","Rob Johnson (FA)","11","20","55.0","93","4.7","0","1","4","3","21","0","0","3","3.9","1.3","0.0%"
"64","Todd Collins (FA)","9","12","75.0","74","6.2","0","0","0","8","-7","0","0","5","2.2","0.4","0.0%"
"65","Terrence Edwards (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","2.0","0.5","0.0%"
"66","Brock Huard (FA)","2","3","66.7","22","7.3","0","0","1","3","8","0","0","2","1.7","0.9","0.0%"
"67","Tee Martin (FA)","6","16","37.5","69","4.3","0","1","1","5","28","0","1","2","1.6","0.8","0.0%"
"68","Koy Detmer (FA)","3","5","60.0","32","6.4","0","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"69","Rohan Davey (FA)","3","7","42.9","31","4.4","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"70","Trent Dilfer (FA)","4","8","50.0","31","3.9","1","1","1","2","-1","0","1","5","1.1","0.2","0.0%"
"71","Charlie Batch (FA)","4","8","50.0","47","5.9","0","0","1","1","11","0","1","2","1.0","0.5","0.0%"
"72","Rodney Peete (FA)","4","10","40.0","19","1.9","0","0","3","0","0","0","0","1","0.8","0.8","0.0%"
"73","Mike McMahon (FA)","9","31","29.0","87","2.8","0","2","2","5","32","0","1","3","0.6","0.2","0.0%"
"74","Jarious Jackson (FA)","4","9","44.4","41","4.6","0","1","0","1","9","0","0","1","0.5","0.5","0.0%"
"75","Gibran Hamdan (FA)","1","2","50.0","7","3.5","0","0","1","0","0","0","0","1","0.3","0.3","0.0%"
"76","Doug Pederson (FA)","2","2","100.0","16","8.0","0","0","0","6","-5","0","0","3","0.2","0.1","0.0%"
"77","Chad Hutchinson (FA)","1","2","50.0","8","4.0","0","0","0","2","-3","0","0","1","0.0","0.0","0.0%"
"78","D'Wayne Bates (FA)","0","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"79","Terrell Buckley (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"80","Damon Huard (FA)","0","1","0.0","0","0.0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"81","Craig Nall (FA)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
"82","Alex Van Pelt (FA)","5","12","41.7","49","4.1","0","3","1","4","-6","0","0","5","-4.6","-0.9","0.0%"
"83","Chris Redman (FA)","7","13","53.8","58","4.5","0","2","6","2","4","0","2","2","-5.3","-2.7","0.0%"
""
""
