"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Daunte Culpepper (FA)","295","454","65.0","3,479","7.7","25","11","37","73","422","4","6","14","273.4","19.5","0.0%"
"2","Peyton Manning (FA)","379","566","67.0","4,267","7.5","29","10","18","28","26","0","1","16","269.9","16.9","0.0%"
"3","Trent Green (FA)","330","523","63.1","4,039","7.7","24","12","20","26","83","2","1","16","252.0","15.8","0.0%"
"4","Matt Hasselbeck (FA)","313","513","61.0","3,841","7.5","26","15","42","36","125","2","1","16","250.1","15.6","0.0%"
"5","Steve McNair (FA)","250","400","62.5","3,215","8.0","24","7","19","38","138","4","6","14","241.7","17.3","0.0%"
"6","Aaron Brooks (FA)","306","518","59.1","3,546","6.8","24","8","34","54","175","2","11","16","229.3","14.3","0.0%"
"7","Jeff Garcia (FA)","225","392","57.4","2,704","6.9","18","13","21","56","319","7","3","13","225.7","17.4","0.0%"
"8","Brett Favre (FA)","308","471","65.4","3,361","7.1","32","21","19","18","15","0","2","16","222.0","13.9","0.0%"
"9","Jon Kitna (FA)","324","520","62.3","3,591","6.9","26","15","37","38","113","0","4","16","221.0","13.8","0.0%"
"10","Donovan McNabb (FA)","275","478","57.5","3,216","6.7","16","11","43","71","355","3","3","16","218.4","13.7","0.0%"
"11","Marc Bulger (FA)","336","532","63.2","3,845","7.2","22","22","37","29","75","4","6","15","217.3","14.5","0.0%"
"12","Brad Johnson (FA)","354","570","62.1","3,811","6.7","26","21","20","25","33","0","2","16","215.4","13.5","0.0%"
"13","Tom Brady (FA)","317","527","60.2","3,620","6.9","23","12","32","42","63","1","5","16","215.1","13.4","2.7%"
"14","Quincy Carter (FA)","292","505","57.8","3,302","6.5","17","21","37","68","257","2","3","16","189.6","11.9","0.0%"
"15","Tommy Maddox (FA)","298","519","57.4","3,414","6.6","18","17","41","13","12","0","2","16","171.7","10.7","0.0%"
"16","Jake Delhomme (FA)","266","449","59.2","3,219","7.2","19","16","23","42","39","1","6","16","170.5","10.7","0.0%"
"17","Jake Plummer (FA)","189","302","62.6","2,182","7.2","15","7","14","37","205","3","2","11","167.8","15.3","0.0%"
"18","Joey Harrington (FA)","309","554","55.8","2,880","5.2","17","22","9","30","86","0","0","16","153.6","9.6","0.0%"
"19","Byron Leftwich (FA)","239","418","57.2","2,819","6.7","14","16","19","25","108","2","6","15","147.5","9.8","0.0%"
"20","Kerry Collins (FA)","284","500","56.8","3,110","6.2","13","16","28","17","49","0","5","13","141.3","10.9","0.0%"
