"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Calvin Johnson (FA)","96","158","1,681","17.5","73","0","16","1","11","0","1","16","359.2","22.5","0.1%"
"2","Wes Welker (FA)","122","173","1,569","12.9","99","0","9","4","30","0","0","16","335.9","21.0","0.0%"
"3","Victor Cruz (FA)","82","131","1,536","18.7","99","0","9","1","3","0","1","16","287.9","18.0","0.1%"
"4","Jordy Nelson (FA)","68","96","1,263","18.6","93","0","15","0","0","0","0","16","284.3","17.8","0.1%"
"5","Roddy White (FA)","100","180","1,296","13.0","43","0","8","0","0","0","0","16","277.6","17.4","0.0%"
"6","Larry Fitzgerald (FA)","80","154","1,411","17.6","73","0","8","0","0","0","0","16","269.1","16.8","0.2%"
"7","Steve Smith (FA)","79","129","1,394","17.6","77","0","7","6","56","0","2","16","264.0","16.5","0.0%"
"8","Percy Harvin (FA)","87","122","967","11.1","52","0","6","52","345","2","2","16","262.2","16.4","0.1%"
"9","Mike Wallace (FA)","72","113","1,193","16.6","95","2","8","5","57","0","1","16","243.0","15.2","0.0%"
"10","Marques Colston (FA)","80","107","1,143","14.3","50","0","8","0","0","0","1","14","240.3","17.2","0.0%"
"11","Brandon Marshall (FA)","81","142","1,214","15.0","65","1","6","1","13","0","1","16","237.7","14.9","2.6%"
"12","Hakeem Nicks (FA)","76","133","1,192","15.7","68","0","7","0","0","0","0","15","237.2","15.8","0.0%"
"13","Vincent Jackson (FA)","60","115","1,106","18.4","58","0","9","3","51","0","0","16","229.7","14.4","0.0%"
"14","Dwayne Bowe (FA)","81","141","1,159","14.3","52","0","5","1","12","0","0","16","228.1","14.3","0.0%"
"15","Nate Washington (FA)","74","121","1,023","13.8","57","0","7","2","5","1","0","16","224.8","14.1","0.0%"
"16","Steve Johnson (FA)","76","134","1,004","13.2","55","0","7","0","0","0","0","16","218.4","13.7","0.0%"
"17","A.J. Green (FA)","65","115","1,057","16.3","58","0","7","5","53","0","0","15","218.0","14.5","0.6%"
"18","Greg Jennings (FA)","67","101","949","14.2","79","0","9","0","0","0","0","13","215.9","16.6","0.0%"
"19","Dez Bryant (FA)","63","103","928","14.7","50","0","9","1","5","0","1","15","208.3","13.9","2.6%"
"20","Laurent Robinson (FA)","54","81","858","15.9","74","0","11","0","0","0","0","14","205.8","14.7","0.0%"
"21","Julio Jones (FA)","54","95","959","17.8","80","0","8","6","56","0","1","13","201.5","15.5","0.6%"
"22","Pierre Garcon (FA)","70","134","947","13.5","87","0","6","4","28","0","2","16","199.5","12.5","0.0%"
"23","Brandon Lloyd (FA)","70","148","966","13.8","44","0","5","0","0","0","0","15","196.6","13.1","0.0%"
"24","Antonio Brown (FA)","69","124","1,108","16.1","79","0","2","7","41","0","0","16","195.9","12.2","0.8%"
"25","Reggie Wayne (FA)","75","131","960","12.8","56","0","4","0","0","0","0","16","195.0","12.2","0.0%"
"26","Jabar Gaffney (FA)","68","115","947","13.9","45","0","5","0","0","0","1","16","190.7","11.9","0.0%"
"27","Michael Crabtree (FA)","72","114","874","12.1","52","1","4","1","6","0","0","15","186.0","12.4","0.0%"
"28","Darrius Heyward-Bey (FA)","64","115","975","15.2","58","0","4","0","0","0","1","15","183.5","12.2","0.0%"
"29","DeSean Jackson (FA)","58","104","961","16.6","62","0","4","7","41","0","1","15","180.2","12.0","0.6%"
"30","Torrey Smith (FA)","50","96","841","16.8","74","0","7","4","39","0","0","16","180.0","11.3","0.0%"
"31","Jeremy Maclin (FA)","63","97","859","13.6","59","0","5","1","1","0","1","13","177.0","13.6","0.0%"
"32","Nate Burleson (FA)","73","110","757","10.4","47","0","3","11","85","0","1","16","173.2","10.8","0.0%"
"33","Lance Moore (FA)","52","73","627","12.1","47","0","8","0","0","0","0","14","166.7","11.9","0.0%"
"34","Santonio Holmes (FA)","51","101","654","12.8","38","0","8","3","27","0","1","16","165.1","10.3","0.0%"
"35","Anquan Boldin (FA)","57","106","887","15.6","56","0","3","0","0","0","0","14","163.7","11.7","0.1%"
"36","Malcom Floyd (FA)","43","70","856","19.9","52","0","5","0","0","0","0","12","158.6","13.2","0.0%"
"37","David Nelson (FA)","61","98","658","10.8","35","0","5","0","0","0","0","16","156.8","9.8","0.0%"
"38","Mike Williams (FA)","65","124","771","11.9","42","0","3","1","3","0","2","16","156.4","9.8","0.0%"
"39","Plaxico Burress (FA)","45","96","612","13.6","30","0","8","0","0","0","0","16","154.2","9.6","0.0%"
"40","Steve Breaston (FA)","61","98","785","12.9","43","0","2","1","25","0","0","16","154.0","9.6","0.0%"
"41","Doug Baldwin (FA)","51","87","788","15.5","55","0","4","1","-2","0","0","16","153.6","9.6","0.0%"
"42","Early Doucet (FA)","54","98","689","12.8","70","0","5","0","0","0","0","16","152.9","9.6","0.0%"
"43","Eric Decker (FA)","44","97","612","13.9","56","0","8","1","1","0","1","16","151.3","9.5","0.6%"
"44","Deion Branch (FA)","51","90","702","13.8","63","0","5","0","0","0","0","14","151.2","10.8","0.0%"
"45","Titus Young (FA)","48","85","607","12.6","57","0","6","2","15","0","0","16","148.2","9.3","0.0%"
"46","Jerome Simpson (FA)","50","105","725","14.5","84","0","4","0","0","0","0","16","146.5","9.2","0.0%"
"47","Greg Little (FA)","61","121","709","11.6","76","0","2","3","15","0","0","16","145.4","9.1","0.0%"
"48","James Jones (FA)","38","55","635","16.7","70","0","7","0","0","0","0","16","143.5","9.0","0.0%"
"49","Miles Austin (FA)","43","73","579","13.5","53","0","7","2","3","0","0","10","143.2","14.3","0.0%"
"50","Robert Meachem (FA)","40","60","620","15.5","67","0","6","4","18","0","0","16","139.8","8.7","0.0%"
"51","Denarius Moore (FA)","33","76","618","18.7","78","0","5","5","61","1","0","13","136.9","10.5","0.0%"
"52","Damian Williams (FA)","45","94","592","13.2","54","0","5","0","0","0","0","15","134.2","8.9","0.0%"
"53","Santana Moss (FA)","46","96","584","12.7","49","0","4","0","0","0","0","12","128.4","10.7","0.0%"
"54","Andre Roberts (FA)","51","98","586","11.5","45","0","2","3","27","0","0","16","124.3","7.8","0.0%"
"55","Jason Avant (FA)","52","81","679","13.1","35","0","1","0","0","0","2","16","121.9","7.6","0.0%"
"56","Johnny Knox (FA)","37","69","727","19.6","81","1","2","0","0","0","1","14","119.7","8.6","0.0%"
"57","Davone Bess (FA)","51","86","537","10.5","41","0","3","2","9","0","2","16","119.6","7.5","0.0%"
"58","Donald Driver (FA)","37","56","445","12.0","35","0","6","0","0","0","0","16","117.5","7.3","0.0%"
"59","Josh Cribbs (FA)","41","67","518","12.6","45","0","4","7","25","0","1","16","117.3","7.3","0.0%"
"60","Brandon LaFell (FA)","36","56","613","17.0","91","0","3","0","0","0","0","16","115.3","7.2","0.0%"
"61","Mario Manningham (FA)","39","77","523","13.4","47","0","4","0","0","0","0","12","115.3","9.6","0.0%"
"62","Demaryius Thomas (FA)","32","70","551","17.2","47","0","4","1","5","0","0","11","111.6","10.1","0.1%"
"63","Austin Collie (FA)","54","97","514","9.5","27","0","1","0","0","0","0","16","111.4","7.0","0.0%"
"64","Dezmon Briscoe (FA)","35","51","387","11.1","46","0","6","0","0","0","0","16","109.7","6.9","0.0%"
"65","Preston Parker (FA)","40","64","554","13.9","51","0","3","1","-3","0","3","16","107.1","6.7","0.0%"
"66","Kevin Walter (FA)","39","59","474","12.2","41","0","3","0","0","0","0","15","104.4","7.0","0.0%"
"67","Lavelle Hawkins (FA)","47","77","470","10.0","32","0","1","0","0","0","0","16","100.0","6.3","0.0%"
"68","Roy Williams (FA)","37","63","507","13.7","25","0","2","0","0","0","0","15","99.7","6.6","0.0%"
"69","Michael Jenkins (FA)","38","55","466","12.3","72","0","3","0","0","0","2","11","98.6","9.0","0.0%"
"70","Brian Hartline (FA)","35","66","549","15.7","41","0","1","1","9","0","0","16","96.8","6.1","0.0%"
"71","Jacoby Jones (FA)","31","65","512","16.5","80","0","2","4","17","0","0","16","95.9","6.0","0.0%"
"72","Devery Henderson (FA)","32","50","503","15.7","79","0","2","1","9","0","0","16","95.2","6.0","0.0%"
"73","Harry Douglas (FA)","39","62","498","12.8","49","0","1","1","3","0","0","16","95.1","5.9","0.0%"
"74","Andre Johnson (FA)","33","51","492","14.9","50","0","2","1","8","0","0","7","95.0","13.6","0.0%"
"75","Sidney Rice (FA)","32","57","484","15.1","52","0","2","2","3","0","0","9","94.9","10.5","0.0%"
"76","Hines Ward (FA)","46","63","381","8.3","31","0","2","0","0","0","1","14","94.1","6.7","0.0%"
