"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ray Rice (FA)","291","1,364","4.7","70","0","12","76","104","704","9.3","3","2","16","372.8","23.3","0.0%"
"2","LeSean McCoy (FA)","273","1,309","4.8","60","0","17","48","69","315","6.6","3","1","15","328.4","21.9","2.0%"
"3","Maurice Jones-Drew (FA)","343","1,606","4.7","56","0","8","43","63","374","8.7","3","1","16","305.0","19.1","0.0%"
"4","Arian Foster (FA)","278","1,224","4.4","43","0","10","53","72","617","11.6","2","3","13","303.1","23.3","0.0%"
"5","Darren Sproles (FA)","87","603","6.9","36","0","2","86","112","710","8.3","7","0","16","271.3","17.0","0.1%"
"6","Marshawn Lynch (FA)","285","1,204","4.2","47","0","12","28","41","212","7.6","1","2","15","243.6","16.2","0.3%"
"7","Ryan Mathews (FA)","222","1,091","4.9","39","0","6","50","59","455","9.1","0","2","14","236.6","16.9","0.0%"
"8","Michael Turner (FA)","301","1,340","4.5","81","0","11","17","26","168","9.9","0","2","16","229.8","14.4","0.0%"
"9","Chris Johnson (FA)","262","1,047","4.0","48","0","4","57","79","418","7.3","0","1","16","225.5","14.1","0.6%"
"10","Steven Jackson (FA)","260","1,145","4.4","47","0","5","42","58","333","7.9","1","1","15","223.8","14.9","0.0%"
"11","Michael Bush (FA)","256","977","3.8","44","0","7","37","47","418","11.3","1","1","16","222.5","13.9","0.0%"
"12","Matt Forte (FA)","203","997","4.9","46","0","3","52","76","490","9.4","1","2","12","220.7","18.4","19.1%"
"13","Reggie Bush (FA)","216","1,086","5.0","76","0","6","43","52","296","6.9","1","2","15","219.2","14.6","0.0%"
"14","Fred Jackson (FA)","170","934","5.5","80","0","6","39","50","442","11.3","0","2","10","208.6","20.9","0.0%"
"15","Adrian Peterson (FA)","208","970","4.7","54","0","12","18","23","139","7.7","1","0","12","206.9","17.2","2.4%"
"16","Mike Tolbert (FA)","121","490","4.0","40","0","8","54","79","433","8.0","2","1","15","204.3","13.6","0.0%"
"17","Jonathan Stewart (FA)","142","761","5.4","32","0","4","47","61","413","8.8","1","0","16","194.4","12.2","0.0%"
"18","Frank Gore (FA)","282","1,211","4.3","55","0","8","17","31","114","6.7","0","2","16","193.5","12.1","12.1%"
"19","Ahmad Bradshaw (FA)","171","659","3.9","37","0","9","34","44","267","7.9","2","1","12","192.6","16.1","0.0%"
"20","Shonn Greene (FA)","253","1,054","4.2","31","0","6","30","41","211","7.0","0","0","16","192.5","12.0","0.0%"
"21","Pierre Thomas (FA)","110","562","5.1","33","0","5","50","59","425","8.5","1","1","16","182.7","11.4","0.0%"
"22","Rashard Mendenhall (FA)","228","928","4.1","68","0","9","18","28","154","8.6","0","1","15","178.2","11.9","0.0%"
"23","Beanie Wells (FA)","245","1,047","4.3","71","0","10","10","16","52","5.2","0","2","14","175.9","12.6","0.0%"
"24","Roy Helu (FA)","151","640","4.2","28","0","2","49","59","379","7.7","1","2","15","164.9","11.0","0.0%"
"25","Willis McGahee (FA)","249","1,199","4.8","60","0","4","12","20","51","4.3","1","3","15","163.0","10.9","0.0%"
"26","Cedric Benson (FA)","273","1,067","3.9","42","0","6","15","22","82","5.5","0","2","15","161.9","10.8","0.0%"
"27","C.J. Spiller (FA)","107","561","5.2","38","0","4","39","53","269","6.9","2","0","16","158.0","9.9","0.1%"
"28","BenJarvus Green-Ellis (FA)","181","667","3.7","18","0","11","9","13","159","17.7","0","0","16","157.6","9.9","0.0%"
"29","DeAngelo Williams (FA)","155","836","5.4","74","0","7","16","25","135","8.4","0","0","16","155.1","9.7","0.1%"
"30","DeMarco Murray (FA)","164","897","5.5","91","0","2","26","35","183","7.0","0","0","13","146.0","11.2","0.1%"
"31","Dexter McCluster (FA)","114","516","4.5","32","0","1","46","64","328","7.1","1","3","16","136.4","8.5","0.0%"
"32","Ben Tate (FA)","175","942","5.4","56","0","4","13","19","98","7.5","0","3","15","135.0","9.0","0.0%"
"33","Brandon Jacobs (FA)","152","571","3.8","28","0","7","15","23","128","8.5","1","0","14","134.9","9.6","0.0%"
"34","LaDainian Tomlinson (FA)","75","280","3.7","20","0","1","42","61","449","10.7","2","0","14","132.9","9.5","0.0%"
"35","LeGarrette Blount (FA)","184","781","4.2","54","0","5","15","25","148","9.9","0","3","14","131.9","9.4","0.1%"
