"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","David Akers (FA)","44","52","84.6","55","2","16","13","6","7","34","34","16","190.6","11.9","0.0%"
"2","Stephen Gostkowski (FA)","28","33","84.8","50","1","12","5","9","1","59","59","16","154.0","9.6","0.1%"
"3","Sebastian Janikowski (FA)","31","35","88.6","63","1","8","5","10","7","36","36","15","153.0","10.2","20.0%"
"4","Dan Bailey (FA)","32","37","86.5","51","1","8","11","10","2","39","39","16","149.0","9.3","0.0%"
"5","Mason Crosby (FA)","24","28","85.7","58","1","4","14","3","2","68","68","16","147.0","9.2","0.1%"
"6","Mike Nugent (FA)","33","38","86.8","49","0","14","5","14","0","33","34","16","146.0","9.1","1.0%"
"7","Rob Bironas (FA)","29","32","90.6","53","0","5","9","9","6","34","34","16","142.0","8.9","0.0%"
"8","Nick Novak (FA)","27","34","79.4","53","0","11","4","8","4","41","41","15","138.0","9.2","0.1%"
"9","Robbie Gould (FA)","28","32","87.5","57","0","10","6","7","5","37","37","16","138.0","8.6","0.1%"
"10","Matt Bryant (FA)","27","29","93.1","51","2","9","9","5","2","45","45","16","135.0","8.4","1.1%"
"11","Graham Gano (NYG)","31","41","75.6","59","0","14","5","8","4","25","25","16","134.0","8.4","1.3%"
"12","Billy Cundiff (FA)","28","37","75.7","51","1","9","10","7","1","38","38","15","131.0","8.7","0.0%"
"13","Dan Carpenter (FA)","29","34","85.3","58","0","10","6","11","2","26","26","14","128.0","9.1","0.2%"
"14","Alex Henery (FA)","24","27","88.9","51","1","9","9","4","1","46","46","16","124.0","7.8","0.0%"
"15","Connor Barth (FA)","26","28","92.9","55","0","6","5","13","2","23","23","16","118.0","7.4","0.0%"
"16","Stephen Hauschka (FA)","25","30","83.3","52","2","5","10","7","1","34","34","16","118.0","7.4","0.0%"
"17","Phil Dawson (FA)","24","29","82.8","54","0","7","3","6","8","20","20","16","114.0","7.1","0.1%"
"18","Shaun Suisham (FA)","23","31","74.2","51","2","8","7","5","1","36","36","16","112.0","7.0","0.0%"
"19","Nick Folk (TEN)","19","25","76.0","51","0","5","6","5","3","44","44","16","112.0","7.0","9.4%"
"20","Josh Scobee (FA)","23","25","92.0","55","1","5","5","7","5","24","24","16","110.0","6.9","0.0%"
"21","Adam Vinatieri (FA)","23","27","85.2","53","0","7","6","8","2","24","24","16","105.0","6.6","0.2%"
"22","Lawrence Tynes (FA)","19","24","79.2","50","1","11","3","3","1","43","43","16","105.0","6.6","0.0%"
"23","Ryan Succop (FA)","24","30","80.0","54","1","7","6","7","3","20","20","16","105.0","6.6","0.0%"
"24","Jay Feely (FA)","19","24","79.2","51","0","9","4","5","1","33","33","16","97.0","6.1","0.0%"
"25","Matt Prater (ARI)","19","25","76.0","59","0","5","8","3","3","30","30","16","96.0","6.0","1.7%"
"26","Josh Brown (FA)","21","28","75.0","49","0","7","6","8","0","18","18","16","89.0","5.6","0.0%"
"27","John Kasay (FA)","28","34","82.4","53","0","0","0","0","0","63","63","16","63.0","3.9","0.0%"
"28","Rian Lindell (FA)","13","15","86.7","49","0","5","2","4","0","25","25","8","62.0","7.8","0.0%"
"29","Jason Hanson (FA)","24","29","82.8","51","0","0","0","0","0","54","54","16","54.0","3.4","0.0%"
"30","Olindo Mare (FA)","22","28","78.6","45","0","0","0","0","0","44","44","16","44.0","2.8","0.0%"
"31","Neil Rackers (FA)","32","38","84.2","54","0","0","0","0","0","39","39","16","39.0","2.4","0.0%"
"32","Ryan Longwell (FA)","22","28","78.6","53","0","0","0","0","0","38","39","16","38.0","2.4","0.0%"
"33","Shayne Graham (FA)","6","7","85.7","48","0","4","0","2","0","8","8","3","28.0","9.3","0.0%"
"34","Dave Rayner (FA)","10","15","66.7","56","0","0","0","0","0","13","13","8","13.0","1.6","0.0%"
"35","Brandon Coutu (FA)","0","1","0.0","0","0","0","0","0","0","3","3","1","3.0","3.0","0.0%"
"36","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"37","David Buehler (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"38","Nate Kaeding (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
