Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Jimmy Graham (FA),85,135,982,11.6,46,11,9,0,0,0,0,15,237.2,15.8,0.00%
2,Tony Gonzalez (FA),93,124,930,10,25,3,8,0,0,0,0,16,234,14.6,0.00%
3,Jason Witten (FA),110,149,"1,039",9.4,36,6,3,0,0,0,0,16,231.9,14.5,0.00%
4,Heath Miller (FA),71,101,816,11.5,43,8,8,0,0,0,0,15,202.6,13.5,0.00%
5,Rob Gronkowski (FA),55,80,790,14.4,41,9,11,0,0,0,1,11,198,18,1.50%
6,Brandon Myers (FA),79,105,806,10.2,29,9,4,0,0,0,0,16,183.6,11.5,0.00%
7,Greg Olsen (FA),69,104,843,12.2,47,8,5,0,0,0,0,16,183.3,11.5,7.00%
8,Dennis Pitta (FA),61,94,669,11,61,5,7,0,0,0,0,16,169.9,10.6,0.00%
9,Owen Daniels (FA),62,104,716,11.5,39,5,6,0,0,0,0,15,169.6,11.3,0.00%
10,Jermaine Gresham (FA),64,94,737,11.5,55,6,5,0,0,0,1,16,165.7,10.4,0.00%
11,Kyle Rudolph (FA),53,94,493,9.3,29,5,9,0,0,0,0,16,158.3,9.9,0.00%
12,Martellus Bennett (FA),55,90,626,11.4,33,4,5,0,0,0,0,16,147.6,9.2,23.00%
13,Antonio Gates (FA),49,80,538,11,34,2,7,0,0,0,0,15,144.8,9.7,0.20%
14,Jermichael Finley (FA),61,87,667,10.9,40,7,2,0,0,0,1,16,137.7,8.6,0.00%
15,Scott Chandler (FA),43,74,571,13.3,43,9,6,0,0,0,1,15,134.1,8.9,0.00%
16,Marcedes Lewis (CHI),52,77,540,10.4,26,9,4,0,0,0,0,16,130,8.1,0.10%
17,Aaron Hernandez (FA),51,83,483,9.5,31,4,5,1,5,0,0,10,129.8,13,0.00%
18,Brandon Pettigrew (FA),59,102,567,9.6,24,3,3,0,0,0,2,14,129.7,9.3,0.00%
19,Brent Celek (FA),57,88,684,12,34,9,1,0,0,0,1,15,129.4,8.6,0.00%
20,Vernon Davis (FA),41,61,548,13.4,53,10,5,0,0,0,0,16,125.8,7.9,1.60%
21,Lance Kendricks (FA),42,64,519,12.4,80,4,4,0,0,0,0,16,119.9,7.5,0.00%
22,Jacob Tamme (FA),52,84,555,10.7,36,3,2,0,0,0,0,16,119.5,7.5,0.00%
23,Jared Cook (FA),44,72,523,11.9,61,6,4,0,0,0,1,13,118.3,9.1,0.00%
