"Player","Team","REC","YDS","TDS","FL","FPTS"
"Payne Durham","TB","11.1","111.4","0.6","0.3","14.7"
"Geoff Swaim","ARI","13.2","101.2","0.8","0.0","14.6"
"Davis Allen","LAR","17.9","114.1","0.6","0.4","14.3"
"Ross Dwelley","SF","5.9","95.9","0.7","0.0","13.9"
"Will Mallory","IND","8.7","96.0","0.7","0.0","13.8"
"Tyler Kroft","MIA","9.3","86.5","0.8","0.0","13.6"
"Stephen Sullivan","CAR","8.7","100.8","0.6","0.1","13.6"
"Eric Saubert","MIA","12.5","98.2","0.6","0.0","13.3"
"Marcedes Lewis","CHI","6.6","72.5","1.0","0.1","12.9"
"Jack Stoll","PHI","9.4","99.9","0.4","0.0","12.7"
"Jeremy Ruckert","NYJ","6.9","91.7","0.6","0.0","12.5"
"Drew Sample","CIN","9.8","87.4","0.6","0.1","12.1"
"Julian Hill","MIA","0.0","102.8","0.3","0.1","11.9"
"Stone Smartt","LAC","9.1","78.2","0.6","0.0","11.5"
"Tanner Hudson","CIN","11.8","84.4","0.5","0.0","11.4"
"Cole Turner","WAS","5.9","96.0","0.3","0.1","11.3"
"Quintin Morris","BUF","7.3","85.0","0.6","0.4","11.3"
"Mitchell Wilcox","CIN","8.3","92.6","0.3","0.0","11.2"
"Johnny Mundt","MIN","7.7","78.6","0.5","0.0","11.0"
"Jody Fortson","KC","6.1","92.1","0.4","0.5","10.8"
"Zack Kuntz","NYJ","0.0","91.0","0.3","0.1","10.7"
"Luke Farrell","JAC","6.5","81.2","0.4","0.0","10.7"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","10.6"
"Chris Manhertz","DEN","6.7","74.9","0.5","0.0","10.5"
"Giovanni Ricci","CAR","6.4","84.8","0.2","0.0","9.9"
"Jesper Horsted","LV","5.9","69.4","0.5","0.0","9.9"
"Nate Adkins","DEN","0.0","79.8","0.3","0.1","9.6"
"Andrew Beck","HOU","7.8","60.5","0.3","0.0","9.4"
"John FitzPatrick","ATL","6.6","53.3","0.6","0.0","9.1"
"Kaden Smith","WAS","6.3","57.8","0.5","0.0","8.5"
"MyCole Pruitt","ATL","3.2","55.1","0.5","0.0","8.4"
"Charlie Woerner","SF","5.4","63.1","0.4","0.1","8.4"
"Curtis Hodges","WAS","6.3","51.8","0.5","0.0","8.2"
