PickOrder,DraftPos,DraftScore,MinVal,MaxVal,StdDev,count
"('RB', 'TE', 'WR', 'RB', 'QB', 'WR', 'WR', 'FLEX')",1,0.9367446100948827,0.8782824763520919,0.9868271513631309,0.03253253320616226,662
"('WR', 'WR', 'QB', 'TE', 'RB', 'RB', 'WR', 'FLEX')",5,0.9538822323884744,0.8630681559077654,0.9863192662696041,0.026971054067756354,902
"('TE', 'WR', 'WR', 'QB', 'WR', 'RB', 'RB', 'FLEX')",3,0.9471531200198358,0.8806427129108079,0.9860052447472981,0.027840105227554212,642
"('WR', 'TE', 'QB', 'WR', 'WR', 'RB', 'RB', 'FLEX')",1,0.9362790363769319,0.8671472728184909,0.9837996985603847,0.030504964835772655,703
"('TE', 'WR', 'RB', 'WR', 'WR', 'QB', 'RB', 'FLEX')",3,0.9217091305775436,0.8750326326337303,0.9830826681475492,0.016833013160239864,397
"('TE', 'WR', 'WR', 'WR', 'QB', 'RB', 'RB', 'FLEX')",1,0.9386003828511671,0.88215067328454,0.9825460707874571,0.027181937246065185,484
"('WR', 'WR', 'TE', 'RB', 'RB', 'QB', 'WR', 'FLEX')",3,0.9239546417377078,0.8896984244713757,0.9822201584166175,0.014758576796006272,413
"('TE', 'WR', 'QB', 'WR', 'RB', 'RB', 'WR', 'FLEX')",5,0.9336339556856155,0.8679976565227302,0.9821198007683172,0.01890326130355579,382
"('WR', 'QB', 'TE', 'WR', 'WR', 'RB', 'RB', 'FLEX')",3,0.9348376218978108,0.8832009474128456,0.9819647609313013,0.03200532398184032,583
"('TE', 'WR', 'WR', 'RB', 'RB', 'WR', 'QB', 'FLEX')",3,0.9494372397244023,0.8853980869359269,0.9816692930010837,0.023163413874590713,630
"('RB', 'WR', 'TE', 'QB', 'RB', 'WR', 'WR', 'FLEX')",3,0.9386164444753518,0.8814109040630266,0.9802590610972833,0.026410246367911262,645
"('RB', 'TE', 'WR', 'QB', 'RB', 'WR', 'WR', 'FLEX')",5,0.9245041748889715,0.8836860223073989,0.9802013294944502,0.01680157511778207,394
"('WR', 'TE', 'WR', 'QB', 'RB', 'RB', 'WR', 'FLEX')",5,0.9340508692861684,0.8758813541416081,0.9800222941273957,0.01835371107317583,367
"('QB', 'TE', 'WR', 'WR', 'WR', 'RB', 'RB', 'FLEX')",3,0.9149263123028931,0.8686001844373306,0.9799510803553447,0.018606529580499395,411
"('WR', 'WR', 'TE', 'QB', 'WR', 'RB', 'RB', 'FLEX')",1,0.9394547031497358,0.8652477184539744,0.9797244975843117,0.03389369122494687,605
"('TE', 'WR', 'WR', 'QB', 'WR', 'RB', 'RB', 'FLEX')",1,0.9295556701243677,0.8769720797508515,0.9796870818951822,0.01980000268630514,446
"('TE', 'WR', 'RB', 'RB', 'WR', 'WR', 'QB', 'FLEX')",3,0.9324889925186606,0.8845672183429657,0.9791922203963901,0.014416400049279585,405
"('TE', 'RB', 'WR', 'QB', 'RB', 'WR', 'WR', 'FLEX')",1,0.9279174546693549,0.8940624983707814,0.9791031731712374,0.011777296774851068,413
"('WR', 'WR', 'RB', 'TE', 'WR', 'RB', 'QB', 'FLEX')",3,0.9173902188509536,0.8859081596527626,0.9787060577296751,0.014806891221522362,399
"('WR', 'WR', 'TE', 'WR', 'QB', 'RB', 'RB', 'FLEX')",3,0.9172989761291378,0.8733464191525598,0.9786402285257807,0.016686293290087365,395
"('WR', 'WR', 'TE', 'WR', 'QB', 'RB', 'RB', 'FLEX')",1,0.9186957920951461,0.8682485145013003,0.9785890772407643,0.022494489724934227,430
"('TE', 'WR', 'WR', 'RB', 'RB', 'QB', 'WR', 'FLEX')",1,0.9333933625108185,0.8884092395346904,0.978501014435751,0.010887858311185805,393
"('WR', 'QB', 'RB', 'TE', 'RB', 'WR', 'WR', 'FLEX')",5,0.917180629447373,0.8777479071579268,0.978483468636032,0.014482384063644608,420
"('RB', 'WR', 'TE', 'WR', 'RB', 'WR', 'QB', 'FLEX')",3,0.9203960777613935,0.8846295667482392,0.9783024217022286,0.015892356137244327,402
"('WR', 'WR', 'RB', 'TE', 'RB', 'WR', 'QB', 'FLEX')",5,0.9183463473971807,0.8805423233075587,0.9782911100232156,0.014656371919419478,403
"('WR', 'TE', 'WR', 'RB', 'WR', 'QB', 'RB', 'FLEX')",1,0.9164979229375341,0.8830328375505047,0.9780613926371151,0.017669012233218626,397
"('WR', 'TE', 'WR', 'WR', 'RB', 'RB', 'QB', 'FLEX')",5,0.93268124503143,0.8587709233724171,0.9778261220616222,0.019794138237003243,410
"('TE', 'WR', 'RB', 'QB', 'RB', 'WR', 'WR', 'FLEX')",5,0.9300064390200137,0.882427132810422,0.9778159337025184,0.01798269155459362,387
"('WR', 'TE', 'QB', 'RB', 'WR', 'RB', 'WR', 'FLEX')",5,0.9309622136669582,0.8768494401141448,0.9778159337025184,0.01759423648337072,395
