Player,Team,POS,ADP,FPTS,PosRank,Rank
Lance McCutcheon,HOU,WR,401.0,5.2,166,450.0
Kenyan Drake,,RB,360.5,,105,376.0
Deon Jackson,IND,RB,185.3,60.3,58,178.0
Jalen Hurts,PHI,QB,22.5,378.7,2,23.0
Kenneth Gainwell,PHI,RB,136.5,85.9,47,135.0
Craig Reynolds,DET,RB,367.0,33.5,114,419.0
La'Mical Perine,KC,RB,360.0,0.0,111,410.0
Alex Erickson,LAC,WR,,0.0,,
Greg Joseph,MIN,K,,120.8,,
Hayden Hurst,CAR,TE,196.5,59.7,26,196.0
Sam LaPorta,DET,TE,139.8,69.4,14,139.0
Salvon Ahmed,MIA,RB,292.7,25.3,83,272.0
Chuba Hubbard,CAR,RB,175.0,88.9,54,173.0
Tyler Allgeier,ATL,RB,137.3,101.0,48,138.0
Las Vegas Raiders,DST,DST,331.0,88.4,31,378.0
Malik Willis,TEN,QB,377.0,36.7,57,429.0
Jalen Guyton,LAC,WR,430.0,8.9,175,474.0
Henry Pearson,GB,RB,,4.9,,
Darrynton Evans,MIA,RB,,2.3,,
Tyler Mabry,SEA,TE,,1.3,,
Justin Fields,CHI,QB,43.3,330.9,6,41.0
Scott Miller,ATL,WR,336.5,12.9,129,349.0
Zack Moss,IND,RB,205.0,75.0,65,202.0
Kyle Allen,BUF,QB,438.0,13.8,64,480.0
Marquise Goodwin,CLE,WR,372.0,29.8,154,424.0
Detroit Lions,DST,DST,248.0,103.6,22,317.0
Robert Tonyan,CHI,TE,323.0,28.7,47,327.0
Donald Parham Jr.,LAC,TE,357.5,31.0,62,386.0
Tua Tagovailoa,MIA,QB,93.3,282.1,10,91.0
Justin Shorter,BUF,WR,415.0,10.6,171,462.0
Luke Musgrave,GB,TE,168.8,55.1,20,166.0
Odell Beckham Jr.,BAL,WR,115.3,96.9,52,116.0
James Mitchell,DET,TE,,14.8,,
Chicago Bears,DST,DST,296.0,92.5,30,347.0
Cedrick Wilson Jr.,MIA,WR,300.0,38.0,131,352.0
Brandon Johnson,DEN,WR,373.0,16.6,155,426.0
Juwan Johnson,NO,TE,143.5,74.7,15,142.0
Denzel Mims,,WR,327.0,,137,372.0
Jeremy Ruckert,NYJ,TE,402.5,12.5,66,412.0
Cade York,TEN,K,,0.0,,
Alvin Kamara,NO,RB,79.3,138.5,29,81.0
Roschon Johnson,CHI,RB,147.8,56.7,50,149.0
Keith Smith,ATL,RB,399.0,3.2,119,448.0
Brandon Allen,SF,QB,,9.8,,
Khari Blasingame,CHI,RB,,2.7,,
Jayden Reed,GB,WR,173.3,81.4,72,171.0
Dare Ogunbowale,HOU,RB,,21.3,,
Pharaoh Brown,NE,TE,,3.1,,
Alec Ingold,MIA,RB,,12.2,,
Lil'Jordan Humphrey,DEN,WR,331.0,2.3,138,379.0
Jameson Williams,DET,WR,140.3,77.4,58,140.0
Chase Claypool,CHI,WR,218.0,69.1,86,215.0
Jonnu Smith,ATL,TE,329.5,28.5,48,336.0
Jhamon Ausbon,,WR,357.0,,147,406.0
J'Mon Moore,,WR,358.0,,148,407.0
Jake Moody,SF,K,,117.0,,
Michael Woods II,CLE,WR,,4.9,,
Zach Evans,LAR,RB,280.0,37.7,81,261.0
Tommy Tremble,CAR,TE,429.0,22.6,82,473.0
Jaden Walley,,WR,352.0,,143,399.0
Eddy Pineiro,CAR,K,,109.1,,
J.K. Dobbins,BAL,RB,58.3,161.6,19,59.0
Terry McLaurin,WAS,WR,56.5,132.3,27,56.0
Tyrion Davis-Price,SF,RB,338.5,23.2,97,353.0
Joshua Palmer,LAC,WR,195.8,63.1,78,193.0
Andre Baccellia,ARI,WR,,3.5,,
Parker Hesse,ATL,TE,,4.0,,
Jahmyr Gibbs,DET,RB,32.5,163.7,10,31.0
Kalif Raymond,DET,WR,294.3,36.5,114,273.0
DeWayne McBride,MIN,RB,303.5,20.2,90,312.0
Dameon Pierce,HOU,RB,50.3,168.4,17,50.0
Gus Edwards,BAL,RB,189.3,82.1,59,184.0
David Wells,TB,TE,,8.0,,
Treylon Burks,TEN,WR,103.8,108.2,46,103.0
Tanner Taula,TB,TE,,4.2,,
Michael Thomas,NO,WR,102.5,104.1,45,101.0
Damien Harris,BUF,RB,134.5,89.0,46,133.0
Charlie Kolar,BAL,TE,,15.9,,
Matt Sokol,NE,TE,,7.1,,
Jake Browning,CIN,QB,436.0,11.1,63,479.0
Chase Edmonds,TB,RB,247.5,62.4,74,231.0
Kadarius Toney,KC,WR,109.0,88.5,48,109.0
Trayveon Williams,CIN,RB,302.5,35.3,89,309.0
Mitch Trubisky,PIT,QB,,23.0,,
Jake Hausmann,,TE,456.0,,86,495.0
Darius Slayton,NYG,WR,205.5,70.2,81,203.0
Kyler Murray,ARI,QB,186.3,206.3,26,180.0
Jesper Horsted,LV,TE,335.0,9.9,60,382.0
Drew Sample,CIN,TE,,12.1,,
Master Teague,,RB,362.0,,112,413.0
DeAndre Hopkins,TEN,WR,47.3,128.1,22,46.0
Jason Myers,SEA,K,,120.8,,
Nico Collins,HOU,WR,127.8,99.0,53,125.0
Cedric Tillman,CLE,WR,250.0,36.4,99,241.0
Chase Brown,CIN,RB,231.3,45.4,71,228.0
D.J. Montgomery,IND,WR,396.0,3.5,164,446.0
James Conner,ARI,RB,77.5,167.2,26,75.0
Taylor Heinicke,ATL,QB,334.5,43.4,44,345.0
Josh Jacobs,LV,RB,22.5,216.1,8,22.0
Trey Palmer,TB,WR,272.3,44.8,106,257.0
Tampa Bay Buccaneers,DST,DST,243.0,101.0,21,316.0
Diontae Johnson,PIT,WR,58.0,120.0,28,57.0
Cincinnati Bengals,DST,DST,217.0,98.4,15,300.0
David Bell,CLE,WR,423.0,18.7,173,468.0
Hunter Renfrow,LV,WR,204.5,79.4,80,201.0
Xavier Gipson,NYJ,WR,451.0,3.6,180,491.0
Van Jefferson,LAR,WR,154.3,85.3,63,153.0
Matthew Slater,NE,WR,,7.5,,
Lujuan Winningham,,WR,402.0,,167,451.0
Josh Whyle,TEN,TE,,17.3,,
Jamaal Williams,NO,RB,115.3,121.7,39,115.0
Daniel Carlson,LV,K,,124.7,,
Hunter Henry,NE,TE,191.5,67.5,24,187.0
Jake Ferguson,DAL,TE,169.8,56.9,21,168.0
Nick Mullens,MIN,QB,435.0,18.7,62,478.0
Bo Melton,GB,WR,,3.2,,
Tanner McKee,PHI,QB,,5.2,,
John Wolford,TB,QB,,1.8,,
Tony Pollard,DAL,RB,15.5,218.3,6,16.0
Jordan Akins,CLE,TE,304.0,25.6,52,355.0
David Blough,DET,QB,,7.3,,
Calvin Austin III,PIT,WR,252.0,25.1,100,242.0
Christian McCaffrey,SF,RB,2.8,235.9,1,3.0
Carolina Panthers,DST,DST,259.0,98.0,24,320.0
Nate Adkins,DEN,TE,,9.6,,
Wil Lutz,DEN,K,,111.0,,
Pat Freiermuth,PIT,TE,101.0,88.3,9,100.0
Racey McMath,IND,WR,,2.4,,
Andy Dalton,CAR,QB,,22.6,,
Jacoby Brissett,WAS,QB,333.0,61.4,43,342.0
Jaren Hall,MIN,QB,,3.5,,
Chris Conley,SF,WR,,3.7,,
Charlie Woerner,SF,TE,,8.4,,
Mike Gesicki,NE,TE,211.8,58.9,28,209.0
Harrison Bryant,CLE,TE,431.0,24.6,83,475.0
Drake London,ATL,WR,50.5,123.1,24,51.0
Zay Flowers,BAL,WR,90.3,104.8,42,90.0
Ameer Abdullah,LV,RB,410.0,29.1,121,457.0
Cairo Santos,CHI,K,,115.0,,
Temarrick Hemingway,,TE,328.0,,57,375.0
Curtis Samuel,WAS,WR,187.5,85.9,75,181.0
Dallas Goedert,PHI,TE,77.5,97.4,7,76.0
Eric Saubert,MIA,TE,,13.3,,
Luke Farrell,JAC,TE,458.0,10.7,87,496.0
DeAndre Carter,LV,WR,308.0,18.0,133,357.0
Robert Woods,HOU,WR,220.5,69.9,87,219.0
Jalen Brooks,DAL,WR,,3.1,,
Zach Charbonnet,SEA,RB,107.0,96.0,36,106.0
Sam Howell,WAS,QB,157.0,224.9,23,155.0
Andrew Beck,HOU,TE,,9.4,,
Tank Bigsby,JAC,RB,123.0,77.2,42,122.0
Devin Duvernay,BAL,WR,323.0,22.1,124,328.0
Puka Nacua,LAR,WR,228.0,35.7,92,234.0
Laquon Treadwell,BAL,WR,,0.6,,
Austin Watkins Jr.,CLE,WR,449.0,0.0,179,489.0
Nakia Griffin-Stewart,,TE,464.0,,88,501.0
Kenny Yeboah,NYJ,TE,,7.5,,
DeeJay Dallas,SEA,RB,413.0,26.4,124,460.0
D'Onta Foreman,CHI,RB,177.5,86.3,55,174.0
Tevin Jones,,WR,314.0,,134,361.0
Kene Nwangwu,MIN,RB,425.0,12.5,125,470.0
Christian Kirk,JAC,WR,56.3,129.6,26,55.0
Washington Commanders,DST,DST,216.0,105.2,14,299.0
Damarea Crockett,,RB,459.0,,131,497.0
Joey Slye,WAS,K,,103.3,,
Tyree Jackson,NYG,TE,,3.1,,
Jake Funk,IND,RB,,1.0,,
Richie James Jr.,KC,WR,210.3,37.4,83,207.0
Elijah Mitchell,SF,RB,129.8,99.1,45,128.0
Mecole Hardman Jr.,NYJ,WR,220.8,79.1,88,220.0
Equanimeous St. Brown,CHI,WR,,16.8,,
Philadelphia Eagles,DST,DST,168.0,114.4,3,279.0
Raheem Mostert,MIA,RB,123.3,126.1,44,124.0
Zach Pascal,ARI,WR,419.0,27.9,172,466.0
Clayton Tune,ARI,QB,301.0,26.0,37,308.0
Malik Heath,GB,WR,,14.7,,
MyCole Pruitt,ATL,TE,,8.4,,
Derek Carr,NO,QB,137.3,256.0,20,137.0
Snoop Conner,JAC,RB,,12.9,,
Tim Jones,JAC,WR,,6.7,,
Marquise Brown,ARI,WR,81.5,119.1,38,83.0
Riley Patterson,DET,K,,115.0,,
Jerome Ford,CLE,RB,190.8,61.1,60,186.0
Tyreek Hill,MIA,WR,4.5,196.6,3,4.0
Mac Jones,NE,QB,201.0,234.2,30,199.0
Michael Mayer,LV,TE,208.3,53.0,27,206.0
Demario Douglas,NE,WR,284.7,37.4,111,266.0
Brian Hoyer,LV,QB,,44.9,,
C.J. Uzomah,NYJ,TE,298.0,28.8,51,350.0
Dax Milne,WAS,WR,,8.5,,
David Njoku,CLE,TE,108.8,84.4,10,108.0
Will Dissly,SEA,TE,418.0,29.0,80,465.0
Adam Trautman,DEN,TE,270.0,30.5,38,255.0
Desmond Ridder,ATL,QB,203.8,199.8,31,200.0
Ronnie Bell,SF,WR,379.0,14.1,158,431.0
Joshua Dobbs,ARI,QB,292.0,87.4,36,294.0
Feleipe Franks,ATL,QB,,4.2,,
Cade Brewer,,TE,386.0,,71,437.0
Raheem Blackshear,CAR,RB,319.0,30.7,102,366.0
Harrison Butker,KC,K,,125.6,,
Curtis Hodges,WAS,TE,,8.2,,
Skyy Moore,KC,WR,93.5,96.6,43,92.0
Cole Beasley,NYG,WR,,6.2,,
Saquon Barkley,NYG,RB,12.3,211.1,5,12.0
Matthew Stafford,LAR,QB,159.3,247.1,24,159.0
Jody Fortson,KC,TE,,10.8,,
Mitchell Wilcox,CIN,TE,,11.2,,
Kareem Hunt,,RB,183.5,,57,177.0
Brandon Aubrey,DAL,K,,112.5,,
A.T. Perry,NO,WR,281.0,15.8,108,262.0
Daniel Bellinger,NYG,TE,275.3,20.0,40,259.0
Davis Mills,HOU,QB,352.0,26.4,53,398.0
De'Von Achane,MIA,RB,123.3,82.8,43,123.0
Matt Breida,NYG,RB,289.0,41.3,85,289.0
Justice Hill,BAL,RB,272.0,21.1,80,256.0
Rondale Moore,ARI,WR,158.3,86.6,64,156.0
Chad Ryland,NE,K,,104.6,,
Deuce Vaughn,DAL,RB,194.0,54.4,61,191.0
Kyren Williams,LAR,RB,208.3,65.3,66,205.0
John Kelly Jr.,,RB,332.0,,106,381.0
N'Keal Harry,MIN,WR,,3.7,,
Zay Jones,JAC,WR,136.8,92.0,57,136.0
Maurice Alexander,DET,WR,,8.9,,
Nick Muse,MIN,TE,453.0,4.2,85,493.0
Cooper Rush,DAL,QB,439.0,16.5,65,481.0
Breece Hall,NYJ,RB,46.5,158.4,14,44.0
Alec Pierce,IND,WR,170.5,76.4,71,169.0
Trenton Irwin,CIN,WR,332.0,25.0,126,339.0
Tre Tucker,LV,WR,363.0,16.0,150,415.0
Nelson Agholor,BAL,WR,304.0,15.1,120,313.0
Chris Godwin,TB,WR,59.8,122.6,29,62.0
Elijah Higgins,ARI,TE,,16.7,,
Carson Wentz,,QB,450.0,,67,490.0
Foster Moreau,NO,TE,396.0,29.7,68,425.0
Hendon Hooker,DET,QB,,9.5,,
Xavier Hutchinson,HOU,WR,307.0,28.9,132,356.0
Green Bay Packers,DST,DST,222.0,104.2,17,302.0
Dallas Cowboys,DST,DST,167.0,114.5,2,278.0
Sean Tucker,TB,RB,216.3,37.6,75,233.0
DJ Chark Jr.,CAR,WR,182.3,94.9,73,176.0
Rashod Bateman,BAL,WR,112.8,79.1,49,112.0
Russell Wilson,DEN,QB,128.3,282.5,18,126.0
C.J. Beathard,JAC,QB,,18.2,,
Todd Gurley II,,RB,313.0,,100,360.0
Trent Taylor,CHI,WR,,3.4,,
Kylen Granson,IND,TE,290.0,30.3,49,341.0
Bryce Young,CAR,QB,174.5,237.7,25,172.0
Deneric Prince,KC,RB,371.0,15.2,93,337.0
Chris Olave,NO,WR,21.3,150.3,12,21.0
Malik Davis,DAL,RB,320.5,22.5,92,325.0
Amon-Ra St. Brown,DET,WR,13.8,161.3,8,14.0
Ty Johnson,BUF,RB,,13.0,,
Payne Durham,TB,TE,,14.7,,
Kenneth Walker III,SEA,RB,47.5,174.3,16,47.0
Parris Campbell,NYG,WR,193.0,60.8,77,189.0
Irvin Charles,NYJ,WR,,3.6,,
Peyton Hendershot,DAL,TE,389.5,18.1,67,423.0
Corey Clement,ARI,RB,447.0,20.6,128,487.0
Mo Alie-Cox,IND,TE,373.5,28.1,56,371.0
Danny Gray,SF,WR,,5.5,,
Tanner Conner,MIA,WR,,3.6,,
Quentin Johnston,LAC,WR,105.3,88.9,47,105.0
PJ Walker,CLE,QB,,4.8,,
Cam Sims,NYG,WR,,10.4,,
Josiah Deguara,GB,TE,,23.4,,
Dalvin Cook,NYJ,RB,81.5,132.0,30,82.0
Cameron Latu,SF,TE,,7.8,,
DK Metcalf,SEA,WR,30.5,145.6,16,29.0
Deshaun Watson,CLE,QB,85.0,311.8,9,86.0
Britain Covey,PHI,WR,,18.7,,
Shane Zylstra,DET,TE,,7.8,,
Leonard Fournette,,RB,221.5,,70,221.0
Gabe Davis,BUF,WR,78.8,121.1,36,79.0
Jauan Jennings,SF,WR,265.0,34.9,123,324.0
New Orleans Saints,DST,DST,198.0,106.3,9,287.0
AJ Dillon,GB,RB,97.8,133.0,35,98.0
Kyle Pitts,ATL,TE,75.5,102.6,6,74.0
Michael Gallup,DAL,WR,160.5,93.5,67,161.0
Erik Ezukanma,MIA,WR,465.0,12.1,183,502.0
Will Mallory,IND,TE,342.0,13.8,63,390.0
Jason Sanders,MIA,K,,114.8,,
C.J. Stroud,HOU,QB,193.5,227.4,29,190.0
Jaelon Darden,CLE,WR,,2.5,,
Trent Sherfield,BUF,WR,290.7,31.5,113,271.0
Geoff Swaim,ARI,TE,,14.6,,
Cole Kmet,CHI,TE,147.3,77.0,17,148.0
Tennessee Titans,DST,DST,261.0,98.9,25,321.0
Lawrence Cager,NYG,WR,,20.1,,
Los Angeles Rams,DST,DST,282.0,98.0,29,335.0
Stone Smartt,LAC,TE,,11.5,,
Jimmy Garoppolo,LV,QB,189.5,234.6,27,185.0
Melvin Gordon III,BAL,RB,333.0,26.7,95,343.0
Jerry Jeudy,DEN,WR,66.3,124.5,32,68.0
Brayden Lenius,,TE,390.0,,74,441.0
Tyler Badie,DEN,RB,,19.2,,
Johnny Mundt,MIN,TE,,11.0,,
Jake Haener,NO,QB,,3.8,,
Javonte Williams,DEN,RB,59.5,144.2,21,61.0
Mitchell Tinsley,WAS,WR,,3.6,,
Tank Dell,HOU,WR,196.8,52.2,79,197.0
Chase McLaughlin,TB,K,,103.6,,
Ryan Tannehill,TEN,QB,192.8,223.1,28,188.0
Tanner Hudson,CIN,TE,,11.4,,
Tee Higgins,CIN,WR,28.5,148.6,15,27.0
Courtland Sutton,DEN,WR,86.3,110.5,40,87.0
Jason Cabinda,DET,LB,,8.2,,
Amari Cooper,CLE,WR,36.3,146.4,19,37.0
Davante Adams,LV,WR,16.3,179.8,10,17.0
Isaiah Hodgins,NYG,WR,185.8,74.3,74,179.0
Logan Thomas,WAS,TE,254.8,52.7,35,232.0
Josh Reynolds,DET,WR,247.7,55.2,97,239.0
K.J. Osborn,MIN,WR,152.0,83.3,62,150.0
Will Grier,CIN,QB,462.0,,68,499.0
Randall Cobb,NYJ,WR,268.3,46.1,105,253.0
Zach Ertz,ARI,TE,218.8,57.3,31,217.0
Donovan Peoples-Jones,CLE,WR,158.8,81.3,65,157.0
San Francisco 49ers,DST,DST,156.0,108.2,1,275.0
Tucker Kraft,GB,TE,353.5,22.6,59,380.0
Hunter Long,LAR,TE,,16.6,,
Kirk Cousins,MIN,QB,103.0,300.9,13,102.0
Andy Isabella,BUF,WR,,4.7,,
Teagan Quitoriano,HOU,TE,,22.1,,
Keith Kirkwood,NO,WR,,11.7,,
Darnell Mooney,CHI,WR,144.3,92.0,61,145.0
Elijah Dotson,LAC,RB,362.0,11.3,113,414.0
Quez Watkins,PHI,WR,281.3,36.9,109,263.0
Jack Stoll,PHI,TE,,12.7,,
Jakobi Meyers,LV,WR,130.3,97.4,54,129.0
Jarrett Stidham,DEN,QB,433.0,21.0,60,476.0
Le'Veon Bell,,RB,394.0,,118,444.0
Kyle Philips,TEN,WR,409.0,26.8,169,456.0
Drew Lock,SEA,QB,348.0,17.5,51,393.0
Patrick Taylor Jr.,GB,RB,452.0,6.6,129,492.0
Jake Elliott,PHI,K,,118.5,,
Aidan O'Connell,LV,QB,302.5,14.8,38,310.0
Michael Badgley,DET,K,,108.4,,
Keaontay Ingram,ARI,RB,240.0,56.2,72,229.0
Israel Abanikanda,NYJ,RB,295.0,19.3,88,298.0
New York Giants,DST,DST,250.0,99.0,23,318.0
Colby Parkinson,SEA,TE,416.0,23.0,78,463.0
Parker Washington,JAC,WR,,16.3,,
Dorian Thompson-Robinson,CLE,QB,327.0,16.8,46,373.0
Justin Watson,KC,WR,276.0,22.5,116,281.0
Logan Woodside,ATL,QB,,5.9,,
Bailey Zappe,NE,QB,344.0,32.4,50,392.0
Derrick Henry,TEN,RB,20.5,226.2,7,20.0
Terrace Marshall Jr.,CAR,WR,245.0,48.5,96,238.0
Darnell Washington,PIT,TE,290.5,22.1,43,291.0
Garrett Wilson,NYJ,WR,14.8,157.5,9,15.0
Ja'Marr Chase,CIN,WR,2.3,202.1,2,2.0
Josh Allen,BUF,QB,23.8,381.6,3,25.0
Jalen Reagor,NE,WR,,8.4,,
Derius Davis,LAC,WR,318.0,16.0,136,365.0
Chris Moore,TEN,WR,374.0,26.6,156,427.0
Jared Goff,DET,QB,117.0,279.5,16,117.0
Samaje Perine,DEN,RB,112.3,120.6,38,111.0
Godwin Igwebuike,ATL,RB,,7.4,,
Josh Doctson,,WR,360.0,,149,409.0
Adam Thielen,CAR,WR,141.0,88.9,59,141.0
Tutu Atwell,LAR,WR,257.0,48.0,103,249.0
Travis Vokolek,BAL,TE,350.0,,64,395.0
Jerick McKinnon,KC,RB,120.8,83.3,40,119.0
Gerald Everett,LAC,TE,153.3,74.2,18,152.0
Ashton Dulin,IND,WR,,8.7,,
Alexander Mattison,MIN,RB,58.3,172.5,20,60.0
Alex Bachman,HOU,WR,,4.8,,
Zonovan Knight,DET,RB,,26.7,,
Nick Vannett,LAC,TE,,6.5,,
Rhamondre Stevenson,NE,RB,31.5,176.1,9,30.0
Easton Stick,LAC,QB,,18.7,,
Christian Watson,GB,WR,45.0,147.4,21,42.0
Kyle Trask,TB,QB,326.5,63.1,42,332.0
Jeff Wilson Jr.,MIA,RB,180.3,76.0,56,175.0
Reggie Gilliam,BUF,RB,,10.6,,
Jonathan Taylor,IND,RB,51.3,150.8,18,52.0
Arizona Cardinals,DST,DST,340.0,95.2,32,387.0
Colt McCoy,,QB,268.0,,40,326.0
Colton Dowell,TEN,WR,,3.1,,
Stefon Diggs,BUF,WR,8.5,178.9,4,8.0
Adam Prentice,NO,RB,,4.5,,
Baltimore Ravens,DST,DST,190.0,101.9,8,285.0
Jalen Tolbert,DAL,WR,285.0,18.9,117,286.0
Ty Chandler,MIN,RB,196.0,61.0,63,194.0
Mike Strachan,IND,WR,,3.5,,
Jordan Mason,SF,RB,291.5,32.8,86,292.0
Skylar Thompson,MIA,QB,354.0,5.9,54,401.0
Jalen Nailor,MIN,WR,383.0,15.0,160,434.0
Tony Jones Jr.,NO,RB,,5.0,,
Boston Scott,PHI,RB,319.5,23.7,91,322.0
Kenny McIntosh,SEA,RB,348.5,16.2,101,364.0
Zamir White,LV,RB,195.3,36.9,62,192.0
Chris Boswell,PIT,K,,113.3,,
Kenny Pickett,PIT,QB,135.5,253.3,19,134.0
Marcus Mariota,PHI,QB,356.5,24.0,48,383.0
Aaron Rodgers,NYJ,QB,117.0,282.7,17,118.0
Ian Thomas,CAR,TE,,20.9,,
Keaton Mitchell,BAL,RB,428.0,13.0,126,472.0
