"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DeAngelo Williams (FA)","273","1,515","5.5","69","0","18","22","3","121","5.5","2","0","16","307.6","19.2","0.1%"
"2","Matt Forte (FA)","316","1,238","3.9","50","0","8","63","16","477","7.6","4","0","16","306.5","19.2","19.1%"
"3","Maurice Jones-Drew (FA)","197","824","4.2","46","0","12","62","10","565","9.1","2","1","16","282.9","17.7","0.0%"
"4","Adrian Peterson (FA)","363","1,760","4.8","67","0","10","21","4","125","6.0","0","0","16","269.5","16.8","2.4%"
"5","Chris Johnson (FA)","251","1,228","4.9","66","0","9","43","2","260","6.0","1","0","15","251.8","16.8","0.6%"
"6","Marshawn Lynch (FA)","250","1,036","4.1","50","0","8","47","6","300","6.4","1","0","15","234.6","15.6","0.3%"
"7","Thomas Jones (FA)","223","1,058","4.7","59","0","12","27","4","160","5.9","2","0","12","232.8","19.4","0.0%"
"8","Frank Gore (FA)","240","1,036","4.3","41","0","6","43","9","373","8.7","2","0","14","231.9","16.6","12.1%"
"9","Steven Jackson (FA)","253","1,042","4.1","56","0","7","40","8","379","9.5","1","0","12","230.1","19.2","0.0%"
"10","Steve Slaton (FA)","227","1,090","4.8","71","0","8","35","9","280","8.0","0","0","13","220.0","16.9","0.0%"
"11","Ronnie Brown (FA)","214","916","4.3","62","0","10","33","5","254","7.7","0","0","16","215.7","13.5","0.0%"
"12","Kevin Smith (FA)","238","976","4.1","50","0","8","39","0","286","7.3","0","0","16","213.2","13.3","0.0%"
"13","Brian Westbrook (FA)","191","775","4.1","39","0","6","46","14","356","7.7","3","0","11","213.1","19.4","0.0%"
"14","Brandon Jacobs (FA)","219","1,089","5.0","44","0","15","6","0","36","6.0","0","0","13","208.5","16.0","0.0%"
"15","LaDainian Tomlinson (FA)","215","814","3.8","45","0","7","42","0","368","8.8","1","0","12","208.2","17.4","0.0%"
"16","Michael Turner (FA)","299","1,277","4.3","70","0","12","3","0","30","10.0","0","0","12","205.7","17.1","0.0%"
"17","Pierre Thomas (FA)","129","625","4.8","42","0","9","31","9","284","9.2","3","0","15","193.9","12.9","0.0%"
"18","Clinton Portis (FA)","256","1,118","4.4","31","0","6","22","2","182","8.3","0","0","12","188.0","15.7","0.0%"
"19","Le'Ron McClain (FA)","232","902","3.9","82","0","10","19","4","123","6.5","1","0","16","187.5","11.7","0.0%"
"20","Ryan Grant (FA)","312","1,203","3.9","57","0","4","18","0","116","6.4","1","0","16","179.9","11.2","0.0%"
"21","Kevin Faulk (FA)","79","485","6.1","41","0","3","52","13","430","8.3","3","0","13","179.4","13.8","0.0%"
"22","Leon Washington (FA)","76","448","5.9","61","0","6","47","11","355","7.6","2","0","16","175.3","11.0","0.0%"
"23","Reggie Bush (FA)","106","404","3.8","43","0","2","52","2","440","8.5","4","0","10","172.4","17.2","0.0%"
"24","Dominic Rhodes (FA)","146","507","3.5","38","0","6","39","0","264","6.8","3","0","12","170.1","14.2","0.0%"
"25","Derrick Ward (FA)","156","848","5.4","51","0","2","35","0","329","9.4","0","0","13","164.7","12.7","0.0%"
"26","Mewelde Moore (FA)","131","569","4.3","32","0","5","37","3","283","7.6","1","0","12","158.2","13.2","0.0%"
"27","Tim Hightower (FA)","143","399","2.8","30","0","10","34","3","237","7.0","0","0","16","157.6","9.9","0.0%"
"28","Jonathan Stewart (FA)","184","836","4.5","41","0","10","8","1","47","5.9","0","0","16","156.3","9.8","0.0%"
"29","Marion Barber (FA)","168","574","3.4","35","0","3","40","0","319","8.0","1","0","11","153.3","13.9","0.0%"
"30","Willis McGahee (FA)","170","671","3.9","77","0","7","24","3","173","7.2","0","1","13","148.4","11.4","0.0%"
"31","Chester Taylor (FA)","80","318","4.0","21","0","4","38","0","358","9.4","2","0","12","145.8","12.2","0.0%"
"32","Fred Jackson (FA)","130","571","4.4","32","0","3","37","6","317","8.6","0","0","16","143.8","9.0","0.0%"
"33","Darren Sproles (FA)","61","330","5.4","37","0","1","29","0","342","11.8","5","0","16","132.2","8.3","0.1%"
"34","Darren McFadden (FA)","113","499","4.4","50","0","4","29","0","285","9.8","0","0","13","131.4","10.1","7.0%"
"35","LenDale White (FA)","140","612","4.4","80","0","10","5","0","16","3.2","0","0","12","127.8","10.7","0.0%"
"36","Warrick Dunn (FA)","144","589","4.1","40","0","1","37","0","248","6.7","0","0","11","126.7","11.5","0.0%"
"37","Cedric Benson (FA)","214","747","3.5","46","0","2","20","0","185","9.3","0","0","12","125.2","10.4","0.0%"
"38","Ricky Williams (FA)","123","509","4.1","51","0","4","22","2","182","8.3","1","0","13","121.1","9.3","0.0%"
"39","Jamal Lewis (FA)","210","767","3.7","29","0","3","14","5","100","7.1","0","0","12","118.7","9.9","0.0%"
"40","Sammy Morris (FA)","129","647","5.0","35","0","5","9","2","120","13.3","0","0","10","115.7","11.6","0.0%"
"41","Jerious Norwood (FA)","61","252","4.1","45","0","3","28","0","293","10.5","2","0","12","112.5","9.4","0.0%"
"42","Ray Rice (FA)","107","454","4.2","60","0","0","33","9","273","8.3","0","0","13","105.7","8.1","0.0%"
"43","Joseph Addai (FA)","112","402","3.6","23","0","2","21","0","180","8.6","2","0","9","103.2","11.5","0.0%"
"44","Peyton Hillis (FA)","68","343","5.0","19","0","5","14","0","179","12.8","1","0","12","102.2","8.5","0.0%"
"45","Tashard Choice (FA)","92","472","5.1","38","0","2","21","0","185","8.8","0","0","16","98.7","6.2","0.0%"
"46","Maurice Morris (FA)","126","543","4.3","45","0","0","19","5","136","7.2","2","1","12","96.9","8.1","0.0%"
"47","Michael Bush (FA)","95","421","4.4","67","0","3","19","2","162","8.5","0","0","15","95.6","6.4","0.0%"
"48","Jamaal Charles (FA)","67","357","5.3","30","0","0","27","0","272","10.1","1","1","16","93.9","5.9","0.1%"
"49","Deuce McAllister (FA)","85","335","3.9","19","0","4","17","0","118","6.9","1","0","11","92.3","8.4","0.0%"
"50","Justin Fargas (FA)","191","713","3.7","21","0","1","8","0","40","5.0","0","0","12","89.3","7.4","0.0%"
"51","J.J. Arrington (FA)","31","187","6.0","30","0","1","29","7","255","8.8","1","0","11","85.2","7.7","0.0%"
"52","Brandon Jackson (FA)","45","248","5.5","32","0","1","30","0","185","6.2","0","0","13","79.3","6.1","0.0%"
"53","Correll Buckhalter (FA)","48","255","5.3","33","0","1","16","10","241","15.1","1","0","10","77.6","7.8","0.0%"
"54","Larry Johnson (FA)","107","459","4.3","63","0","2","6","0","62","10.3","0","0","8","74.3","9.3","0.0%"
"55","Patrick Cobbs (FA)","9","83","9.2","44","0","1","17","2","261","15.4","2","0","10","69.4","6.9","0.0%"
"56","Willie Parker (FA)","144","528","3.7","34","0","2","3","1","13","4.3","0","0","8","69.1","8.6","0.0%"
"57","Earnest Graham (FA)","75","229","3.1","14","0","2","18","6","132","7.3","0","2","6","66.2","11.0","0.0%"
"58","BenJarvus Green-Ellis (FA)","74","275","3.7","15","0","5","3","1","37","12.3","0","0","9","64.2","7.1","0.0%"
"59","Jerome Harrison (FA)","34","246","7.2","72","0","1","12","0","116","9.7","1","0","15","60.2","4.0","0.0%"
"60","Leonard Weaver (FA)","21","89","4.2","15","0","0","18","5","205","11.4","2","0","11","59.4","5.4","0.0%"
"61","Antonio Pittman (FA)","78","290","3.7","24","0","0","17","0","134","7.9","0","0","8","59.4","7.4","0.0%"
"62","DeShaun Foster (FA)","69","213","3.1","18","0","1","14","3","119","8.5","1","0","8","59.2","7.4","0.0%"
"63","Cadillac Williams (FA)","63","233","3.7","28","0","4","7","0","43","6.1","0","0","6","58.6","9.8","0.0%"
"64","Ahmad Bradshaw (FA)","67","355","5.3","77","0","1","5","0","42","8.4","1","0","15","56.7","3.8","0.0%"
"65","Ladell Betts (FA)","39","126","3.2","14","0","1","19","1","181","9.5","0","0","9","55.7","6.2","0.0%"
"66","Fred Taylor (FA)","84","343","4.1","24","0","1","9","1","54","6.0","0","0","9","54.7","6.1","0.0%"
"67","Ahman Green (FA)","69","266","3.9","14","0","3","7","0","29","4.1","0","0","7","54.5","7.8","0.0%"
