Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Andre Johnson (FA),115,26,"1,575",13.7,65,0,8,0,0,0,0,16,322.5,20.2,0.00%
2,Larry Fitzgerald (FA),96,19,"1,431",14.9,78,0,12,0,0,0,0,16,311.1,19.4,0.20%
3,Calvin Johnson (FA),78,0,"1,331",17.1,96,0,12,3,-1,0,0,16,285,17.8,0.10%
4,Roddy White (FA),88,0,"1,382",15.7,70,0,7,2,4,0,0,16,268.6,16.8,0.00%
5,Brandon Marshall (FA),104,0,"1,265",12.2,47,0,6,2,-4,0,0,15,266.1,17.7,2.60%
6,Anquan Boldin (FA),89,12,"1,038",11.7,79,0,11,9,67,0,0,12,265.5,22.1,0.10%
7,Greg Jennings (FA),80,0,"1,292",16.2,63,0,9,0,0,0,0,16,265.2,16.6,0.00%
8,Steve Smith (CAR),78,8,"1,421",18.2,65,0,6,5,40,0,0,14,260.1,18.6,0.00%
9,Wes Welker (FA),111,18,"1,165",10.5,64,0,3,3,26,0,0,16,250.1,15.6,0.00%
10,Reggie Wayne (FA),82,7,"1,145",14,65,0,6,0,0,0,0,16,234.5,14.7,0.00%
11,Dwayne Bowe (FA),86,6,"1,022",11.9,36,0,7,0,0,0,0,16,230.2,14.4,0.00%
12,Eddie Royal (FA),91,0,980,10.8,93,0,5,11,109,0,0,15,229.9,15.3,0.00%
13,Lance Moore (FA),79,8,928,11.7,70,0,10,0,0,0,0,16,229.8,14.4,0.00%
14,Santana Moss (FA),79,1,"1,044",13.2,67,0,6,1,27,0,0,16,222.1,13.9,0.00%
15,Vincent Jackson (FA),59,4,"1,098",18.6,60,0,7,4,69,0,0,16,217.7,13.6,0.00%
16,Antonio Bryant (FA),66,10,"1,028",15.6,71,0,7,2,22,0,0,12,213,17.8,0.00%
17,Donald Driver (FA),74,0,"1,012",13.7,71,0,5,2,4,0,0,16,205.6,12.9,0.00%
18,Randy Moss (FA),57,18,845,14.8,76,0,10,2,0,0,0,13,201.5,15.5,0.00%
