"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Pittsburgh Steelers (PIT)","51","20","9","12","3","1","0","16","212.0","13.3","76.5%"
"2","Baltimore Ravens (BAL)","34","26","8","13","6","3","0","16","207.0","12.9","87.4%"
"3","Philadelphia Eagles (PHI)","48","15","14","20","5","1","2","16","207.0","12.9","50.9%"
"4","Tennessee Titans (TEN)","44","20","11","23","3","0","0","16","195.0","12.2","3.5%"
"5","New York Jets (NYJ)","41","14","16","26","5","0","1","16","193.0","12.1","82.8%"
"6","Tampa Bay Buccaneers (TB)","29","22","8","8","4","0","3","16","175.0","10.9","20.7%"
"7","Minnesota Vikings (MIN)","45","12","13","20","2","3","2","16","175.0","10.9","11.5%"
"8","Chicago Bears (CHI)","28","22","10","7","4","1","3","16","174.0","10.9","31.5%"
"9","Miami Dolphins (MIA)","40","18","12","14","2","1","0","16","166.0","10.4","69.2%"
"10","New York Giants (NYG)","42","17","5","13","2","3","1","16","166.0","10.4","3.0%"
"11","Green Bay Packers (GB)","27","22","6","13","7","0","2","16","166.0","10.4","26.0%"
"12","Indianapolis Colts (IND)","30","15","11","21","5","0","0","16","163.0","10.2","24.8%"
"13","Dallas Cowboys (DAL)","59","8","14","15","1","1","1","16","159.0","9.9","93.1%"
"14","Arizona Cardinals (ARI)","31","13","17","20","3","0","3","16","154.0","9.6","0.8%"
"15","Carolina Panthers (CAR)","37","12","13","15","2","0","0","16","152.0","9.5","2.9%"
"16","Atlanta Falcons (ATL)","34","10","8","10","3","1","1","16","145.0","9.1","16.6%"
"17","Cleveland Browns (CLE)","17","23","8","9","2","0","1","16","142.0","8.9","94.2%"
"18","Cincinnati Bengals (CIN)","17","12","12","12","3","0","0","16","138.0","8.6","49.0%"
"19","Buffalo Bills (BUF)","24","10","12","12","3","0","2","16","133.0","8.3","62.7%"
"20","Las Vegas Raiders (LV)","32","16","8","12","0","2","5","16","130.0","8.1","22.3%"
"21","Seattle Seahawks (SEA)","35","9","11","19","4","0","0","16","130.0","8.1","26.2%"
"22","San Francisco 49ers (SF)","30","12","6","9","2","0","3","16","129.0","8.1","98.1%"
"23","Jacksonville Jaguars (JAC)","29","13","4","8","3","1","0","16","126.0","7.9","47.6%"
"24","New England Patriots (NE)","31","14","8","11","0","0","1","16","126.0","7.9","13.3%"
"25","Washington Commanders (WAS)","24","13","5","9","0","0","1","16","121.0","7.6","8.1%"
"26","Kansas City Chiefs (KC)","10","13","16","19","3","0","0","16","116.0","7.3","77.1%"
"27","New Orleans Saints (NO)","28","15","7","8","0","1","3","16","116.0","7.3","63.8%"
"28","Houston Texans (HOU)","25","12","10","14","1","0","2","16","114.0","7.1","30.1%"
"29","Denver Broncos (DEN)","26","6","7","8","2","0","0","16","103.0","6.4","34.5%"
"30","Detroit Lions (DET)","30","4","16","17","1","1","0","16","93.0","5.8","43.3%"
"31","Los Angeles Chargers (LAC)","28","15","9","11","3","1","1","16","87.0","5.4","16.1%"
"32","Los Angeles Rams (LAR)","30","12","14","16","1","0","0","16","86.0","5.4","21.1%"
""
""
