"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tony Gonzalez (FA)","96","10","1,058","11.0","35","0","10","0","0","0","0","16","261.8","16.4","0.0%"
"2","Jason Witten (FA)","81","0","952","11.8","42","0","4","0","0","0","0","16","201.9","12.6","0.0%"
"3","Dallas Clark (FA)","77","0","848","11.0","33","0","6","0","0","0","0","15","197.8","13.2","0.0%"
"4","Antonio Gates (FA)","60","6","704","11.7","34","0","8","0","0","0","1","16","176.4","11.0","0.2%"
"5","Owen Daniels (FA)","70","11","862","12.3","35","0","2","0","0","0","0","16","168.2","10.5","0.0%"
"6","John Carlson (FA)","55","5","627","11.4","33","0","5","0","0","0","0","16","147.7","9.2","0.0%"
"7","Greg Olsen (FA)","54","13","574","10.6","52","0","5","0","0","0","0","16","141.4","8.8","7.0%"
"8","Zach Miller (FA)","56","5","778","13.9","63","0","1","0","0","0","0","16","139.8","8.7","0.0%"
"9","Chris Cooley (FA)","66","10","670","10.2","28","0","1","0","0","0","0","12","139.0","11.6","0.0%"
"10","Tony Scheffler (FA)","40","0","645","16.1","72","0","3","1","-1","0","0","13","122.4","9.4","0.0%"
"11","Anthony Fasano (FA)","34","3","454","13.4","24","0","7","0","0","0","0","16","121.4","7.6","0.1%"
"12","Dustin Keller (FA)","48","13","535","11.1","54","0","3","0","0","0","0","16","119.5","7.5","0.0%"
"13","Heath Miller (FA)","48","7","514","10.7","22","0","3","0","0","0","0","14","117.4","8.4","0.0%"
"14","Visanthe Shiancoe (FA)","32","0","467","14.6","40","0","6","0","0","0","0","12","114.7","9.6","0.0%"
"15","Kellen Winslow (FA)","43","0","428","10.0","30","0","3","0","0","0","0","10","103.8","10.4","0.0%"
"16","Marcedes Lewis (CHI)","41","8","489","11.9","30","0","2","0","0","0","0","16","101.9","6.4","0.1%"
"17","Bobby Wade (FA)","40","0","493","12.3","59","0","2","0","0","0","0","12","101.3","8.4","0.0%"
