"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Adam Vinatieri (FA)","20","25","80.0","52","0","0","0","0","0","38","38","16","38.0","2.4","0.2%"
"2","John Kasay (FA)","20","23","87.0","50","0","0","0","0","0","38","38","12","38.0","3.2","0.0%"
"3","Stephen Gostkowski (FA)","36","40","90.0","50","0","0","0","0","0","36","36","16","36.0","2.3","0.1%"
"4","Ryan Longwell (FA)","19","22","86.4","54","0","0","0","0","0","35","35","12","35.0","2.9","0.0%"
"5","Jason Elam (FA)","20","22","90.9","48","0","0","0","0","0","33","33","12","33.0","2.8","0.0%"
"6","Neil Rackers (FA)","20","21","95.2","54","0","0","0","0","0","33","33","12","33.0","2.8","0.0%"
"7","Mason Crosby (FA)","27","34","79.4","53","0","0","0","0","0","33","33","16","33.0","2.1","0.1%"
"8","Matt Stover (FA)","24","28","85.7","47","0","0","0","0","0","33","33","13","33.0","2.5","0.0%"
"9","David Akers (FA)","33","40","82.5","51","0","0","0","0","0","33","33","16","33.0","2.1","0.0%"
"10","Nate Kaeding (FA)","27","32","84.4","57","0","0","0","0","0","32","32","16","32.0","2.0","0.0%"
"11","Dan Carpenter (FA)","21","25","84.0","50","0","0","0","0","0","32","32","16","32.0","2.0","0.2%"
"12","Kris Brown (FA)","24","28","85.7","53","0","0","0","0","0","32","32","13","32.0","2.5","0.0%"
"13","Robbie Gould (FA)","26","29","89.7","48","0","0","0","0","0","32","32","16","32.0","2.0","0.1%"
"14","Jay Feely (FA)","24","28","85.7","55","0","0","0","0","0","30","30","15","30.0","2.0","0.0%"
"15","John Carney (FA)","26","29","89.7","51","0","0","0","0","0","30","30","12","30.0","2.5","0.0%"
"16","Rob Bironas (FA)","29","33","87.9","51","0","0","0","0","0","28","28","16","28.0","1.8","0.0%"
"17","Garrett Hartley (FA)","13","13","100.0","47","0","0","0","0","0","28","28","8","28.0","3.5","0.0%"
"18","Jeff Reed (FA)","20","24","83.3","45","0","0","0","0","0","28","29","12","28.0","2.3","0.0%"
"19","Nick Folk (TEN)","20","22","90.9","52","0","0","0","0","0","27","27","16","27.0","1.7","9.4%"
"20","Joe Nedney (FA)","19","21","90.5","53","0","0","0","0","0","26","26","12","26.0","2.2","0.0%"
"21","Josh Scobee (FA)","19","25","76.0","53","0","0","0","0","0","26","26","16","26.0","1.6","0.0%"
"22","Matt Prater (ARI)","25","34","73.5","56","0","0","0","0","0","25","26","16","25.0","1.6","1.7%"
"23","Matt Bryant (FA)","32","38","84.2","49","0","0","0","0","0","24","24","16","24.0","1.5","1.1%"
"24","Connor Barth (FA)","10","12","83.3","45","0","0","0","0","0","24","24","10","24.0","2.4","0.0%"
"25","Rian Lindell (FA)","30","38","78.9","53","0","0","0","0","0","23","23","16","23.0","1.4","0.0%"
"26","Olindo Mare (FA)","17","20","85.0","50","0","0","0","0","0","22","22","13","22.0","1.7","0.0%"
"27","Jason Hanson (FA)","16","17","94.1","56","0","0","0","0","0","19","19","13","19.0","1.5","0.0%"
"28","Sebastian Janikowski (FA)","24","30","80.0","57","0","0","0","0","0","18","18","16","18.0","1.1","20.0%"
"29","Shaun Suisham (FA)","26","36","72.2","50","0","0","0","0","0","17","17","16","17.0","1.1","0.0%"
"30","Josh Brown (FA)","31","36","86.1","54","0","0","0","0","0","15","15","16","15.0","0.9","0.0%"
"31","Phil Dawson (FA)","30","36","83.3","56","0","0","0","0","0","14","14","16","14.0","0.9","0.1%"
"32","Shayne Graham (FA)","21","24","87.5","45","0","0","0","0","0","11","11","14","11.0","0.8","0.0%"
"33","Taylor Mehlhaff (FA)","3","4","75.0","44","0","0","0","0","0","9","10","3","9.0","3.0","0.0%"
"34","Dave Rayner (FA)","1","1","100.0","26","0","0","0","0","0","3","3","2","3.0","1.5","0.0%"
"35","Martin Gramatica (FA)","2","4","50.0","53","0","0","0","0","0","3","3","1","3.0","3.0","0.0%"
"36","Lawrence Tynes (FA)","1","1","100.0","19","0","0","0","0","0","3","3","2","3.0","1.5","0.0%"
"37","Nick Novak (FA)","6","10","60.0","43","0","0","0","0","0","1","1","6","1.0","0.2","0.1%"
"38","Derrick Frost (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"39","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"40","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"41","Mike Nugent (FA)","0","1","0.0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"42","Stephen Hauschka (FA)","1","2","50.0","54","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"43","Rhys Lloyd (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
""
""
