Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Andre Johnson (FA),101,171,"1,569",15.5,72,0,9,2,10,0,0,16,314.9,19.7,0.00%
2,Randy Moss (FA),83,137,"1,264",15.2,71,0,13,0,0,0,1,16,287.4,18,0.00%
3,Wes Welker (FA),123,162,"1,348",11,58,0,4,5,36,0,0,14,285.4,20.4,0.00%
4,Reggie Wayne (FA),100,149,"1,264",12.6,65,0,10,0,0,0,0,16,284.4,17.8,0.00%
5,Larry Fitzgerald (FA),97,153,"1,092",11.3,34,0,13,0,0,0,0,16,284.2,17.8,0.20%
6,Miles Austin (FA),81,124,"1,320",16.3,60,0,11,2,-2,0,0,16,278.8,17.4,0.00%
7,Brandon Marshall (FA),101,154,"1,120",11.1,75,0,10,7,39,0,0,15,276.9,18.5,2.60%
8,Steve Smith (CAR),107,157,"1,220",11.4,51,0,7,0,0,0,0,16,271,16.9,0.00%
9,Roddy White (FA),85,165,"1,153",13.6,90,0,11,1,2,0,0,16,266.5,16.7,0.00%
10,Sidney Rice (FA),83,121,"1,312",15.8,63,0,8,0,0,0,1,16,260.2,16.3,0.00%
11,DeSean Jackson (FA),62,116,"1,156",18.6,71,0,9,11,137,1,1,15,249.3,16.6,0.60%
12,Hines Ward (FA),95,137,"1,167",12.3,54,0,6,0,0,0,1,16,245.7,15.4,0.00%
13,Vincent Jackson (FA),68,108,"1,167",17.2,55,0,9,3,11,0,0,15,239.8,16,0.00%
14,Santonio Holmes (FA),79,138,"1,248",15.8,57,0,5,3,6,0,0,16,232.4,14.5,0.00%
15,Chad Johnson (FA),72,128,"1,047",14.5,50,0,9,3,32,0,2,16,229.9,14.4,0.00%
16,Marques Colston (FA),70,107,"1,074",15.3,68,0,9,1,6,0,2,16,228,14.3,0.00%
17,Derrick Mason (FA),73,134,"1,028",14.1,72,0,7,1,2,0,0,16,218,13.6,0.00%
18,Anquan Boldin (FA),84,127,"1,024",12.2,44,0,4,3,12,1,2,15,213.6,14.2,0.10%
19,Donald Driver (FA),70,112,"1,061",15.2,71,0,6,1,13,0,1,16,211.4,13.2,0.00%
20,Steve Smith (NYG),65,128,982,15.1,66,0,7,5,22,0,0,15,209.4,14,0.00%
21,Greg Jennings (FA),68,119,"1,113",16.4,83,0,4,0,0,0,0,16,207.3,13,0.00%
22,Calvin Johnson (FA),67,137,984,14.7,75,0,5,7,73,0,2,14,198.7,14.2,0.10%
23,Mike Sims-Walker (FA),63,111,869,13.8,61,0,7,0,0,0,1,15,189.9,12.7,0.00%
24,Percy Harvin (FA),60,91,790,13.2,51,0,6,15,135,0,0,15,188.5,12.6,0.10%
25,T.J. Houshmandzadeh (FA),79,135,911,11.5,53,0,3,0,0,0,1,16,186.1,11.6,0.00%
26,Terrell Owens (FA),55,109,829,15.1,98,0,5,6,54,1,0,16,179.3,11.2,0.00%
27,Robert Meachem (FA),45,64,722,16,54,0,9,6,82,0,1,16,177.4,11.1,0.00%
28,Santana Moss (FA),70,120,902,12.9,59,0,3,2,8,0,1,16,177,11.1,0.00%
29,Austin Collie (FA),60,89,676,11.3,39,0,7,2,1,0,0,16,169.7,10.6,0.00%
30,Mario Manningham (FA),57,99,822,14.4,49,0,5,0,0,0,1,14,167.2,11.9,0.00%
31,Jerricho Cotchery (FA),57,96,821,14.4,53,0,3,2,7,1,0,14,163.8,11.7,0.00%
32,Hakeem Nicks (FA),47,74,790,16.8,68,0,6,2,8,0,0,14,162.8,11.6,0.00%
33,Davone Bess (FA),76,113,758,10,34,0,2,2,11,0,3,16,158.9,9.9,0.00%
34,Nate Burleson (FA),63,103,812,12.9,44,0,3,2,4,0,2,13,158.6,12.2,0.00%
35,Jeremy Maclin (FA),56,92,773,13.8,56,0,4,2,-7,0,0,15,156.6,10.4,0.00%
36,Mike Wallace (FA),39,72,756,19.4,60,0,6,5,48,0,1,16,153.4,9.6,0.00%
37,Devin Hester (FA),57,91,757,13.3,48,0,3,6,-1,0,1,13,148.6,11.4,0.40%
38,Pierre Garcon (FA),47,92,765,16.3,66,0,4,2,10,0,0,14,148.5,10.6,0.00%
39,Chris Chambers (FA),45,92,730,16.2,61,0,5,0,0,0,0,16,148,9.3,0.00%
40,Lee Evans (FA),44,95,612,13.9,50,0,7,0,0,0,0,16,147.2,9.2,0.00%
41,Steve Breaston (FA),55,82,712,12.9,45,0,3,2,44,0,1,15,146.6,9.8,0.00%
42,Devery Henderson (FA),51,83,804,15.8,75,0,2,4,13,0,0,16,144.7,9,0.00%
43,Nate Washington (FA),47,95,569,12.1,35,0,6,2,15,0,0,16,141.4,8.8,0.00%
44,Bernard Berrian (FA),55,92,618,11.2,40,0,4,0,0,0,0,16,140.8,8.8,0.00%
45,Earl Bennett (FA),54,88,717,13.3,71,0,2,0,0,0,0,16,139.7,8.7,0.00%
46,Jabar Gaffney (FA),54,87,732,13.6,49,0,2,0,0,0,0,16,139.2,8.7,0.00%
47,Roy Williams (FA),38,86,596,15.7,66,0,7,0,0,0,1,15,137.6,9.2,0.00%
48,Braylon Edwards (FA),45,95,680,15.1,65,0,4,0,0,0,1,16,137,8.6,0.00%
49,Donnie Avery (FA),47,97,589,12.5,50,0,5,4,30,0,2,16,134.9,8.4,0.00%
