"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Chris Johnson (FA)","358","2,006","5.6","91","0","14","50","71","503","10.1","2","3","16","392.9","24.6","0.6%"
"2","Ray Rice (FA)","254","1,339","5.3","59","0","7","78","101","702","9.0","1","3","16","324.1","20.3","0.0%"
"3","Maurice Jones-Drew (FA)","312","1,391","4.5","80","0","15","53","71","374","7.1","1","1","16","323.5","20.2","0.0%"
"4","Adrian Peterson (FA)","314","1,383","4.4","64","0","18","43","57","436","10.1","0","6","16","320.9","20.1","2.4%"
"5","Frank Gore (FA)","229","1,120","4.9","80","0","10","52","75","406","7.8","3","2","14","278.6","19.9","12.1%"
"6","Joseph Addai (FA)","219","828","3.8","21","0","10","51","63","336","6.6","3","1","15","248.3","16.6","0.0%"
"7","Ricky Williams (FA)","241","1,121","4.7","68","0","11","35","53","264","7.5","2","2","16","247.5","15.5","0.0%"
"8","Steven Jackson (FA)","324","1,416","4.4","58","0","4","51","75","322","6.3","0","2","15","244.8","16.3","0.0%"
"9","Thomas Jones (FA)","331","1,402","4.2","71","0","14","10","18","58","5.8","0","0","16","240.0","15.0","0.0%"
"10","Ryan Grant (FA)","282","1,253","4.4","62","0","11","25","30","197","7.9","0","1","16","234.0","14.6","0.0%"
"11","Jamaal Charles (FA)","190","1,120","5.9","76","0","7","40","56","297","7.4","1","3","15","225.7","15.0","0.1%"
"12","Matt Forte (FA)","258","929","3.6","61","0","4","57","72","471","8.3","0","3","16","217.0","13.6","19.1%"
"13","Fred Jackson (FA)","237","1,062","4.5","43","0","2","46","60","371","8.1","2","2","16","214.4","13.4","0.0%"
"14","Jonathan Stewart (FA)","221","1,133","5.1","67","0","10","18","26","139","7.7","1","2","16","207.2","13.0","0.0%"
"15","Tim Hightower (FA)","143","598","4.2","50","0","8","63","80","428","6.8","0","4","16","205.6","12.9","0.0%"
"16","Rashard Mendenhall (FA)","242","1,108","4.6","60","0","7","25","32","261","10.4","1","3","16","203.9","12.7","0.0%"
"17","DeAngelo Williams (FA)","216","1,117","5.2","77","0","7","29","41","252","8.7","0","3","13","203.9","15.7","0.1%"
"18","Pierre Thomas (FA)","147","793","5.4","34","0","6","39","45","302","7.7","2","1","14","194.5","13.9","0.0%"
"19","Knowshon Moreno (FA)","247","947","3.8","36","0","7","28","41","213","7.6","2","4","16","190.0","11.9","0.0%"
"20","Cedric Benson (FA)","301","1,251","4.2","42","0","6","17","24","111","6.5","0","0","13","189.2","14.6","0.0%"
"21","Kevin Smith (FA)","217","747","3.4","31","0","4","41","57","415","10.1","1","2","13","183.2","14.1","0.0%"
"22","Jerome Harrison (FA)","194","862","4.4","71","0","5","34","50","220","6.5","2","2","14","180.2","12.9","0.0%"
"23","Marion Barber (FA)","214","932","4.4","35","0","7","26","36","221","8.5","0","2","15","179.3","12.0","0.0%"
"24","LaDainian Tomlinson (FA)","223","730","3.3","36","0","12","20","30","154","7.7","0","2","14","176.4","12.6","0.0%"
"25","Cadillac Williams (FA)","211","823","3.9","35","0","4","28","39","217","7.8","3","0","16","174.0","10.9","0.0%"
"26","Darren Sproles (FA)","93","343","3.7","21","0","3","45","57","497","11.0","4","1","16","169.0","10.6","0.1%"
"27","Justin Forsett (FA)","114","619","5.4","35","0","4","41","57","350","8.5","1","1","16","165.9","10.4","0.0%"
"28","Reggie Bush (FA)","70","390","5.6","55","0","5","47","68","335","7.1","3","2","14","163.5","11.7","0.0%"
"29","Steve Slaton (FA)","131","437","3.3","32","0","3","44","55","417","9.5","4","5","11","161.4","14.7","0.0%"
"30","Willis McGahee (FA)","109","544","5.0","77","0","12","15","22","85","5.7","2","1","16","159.9","10.0","0.0%"
"31","LeSean McCoy (FA)","155","637","4.1","66","0","4","40","55","308","7.7","0","1","16","158.5","9.9","2.0%"
"32","Ahmad Bradshaw (FA)","163","778","4.8","38","0","7","21","30","207","9.9","0","2","15","157.5","10.5","0.0%"
"33","Brandon Jacobs (FA)","224","835","3.7","31","0","5","18","31","184","10.2","1","1","15","153.9","10.3","0.0%"
"34","Michael Turner (FA)","178","871","4.9","58","0","10","5","7","35","7.0","0","2","11","151.6","13.8","0.0%"
"35","Laurence Maroney (FA)","194","757","3.9","45","0","9","14","17","99","7.1","0","4","15","145.6","9.7","0.0%"
"36","Jason Snelling (FA)","142","613","4.3","31","0","4","30","39","259","8.6","1","1","14","145.2","10.4","0.0%"
"37","Beanie Wells (FA)","176","793","4.5","33","0","7","12","16","143","11.9","0","2","16","143.6","9.0","0.0%"
"38","Ronnie Brown (FA)","147","648","4.4","45","0","8","14","20","98","7.0","0","1","9","139.4","15.5","0.0%"
"39","Chester Taylor (FA)","94","338","3.6","25","0","1","44","59","389","8.8","1","0","16","128.7","8.0","0.0%"
"40","Correll Buckhalter (FA)","120","642","5.4","45","0","1","31","38","240","7.7","0","2","14","121.2","8.7","0.0%"
"41","Kevin Faulk (FA)","62","335","5.4","29","0","2","37","53","301","8.1","1","0","15","118.6","7.9","0.0%"
"42","Felix Jones (FA)","116","685","5.9","56","0","3","19","22","119","6.3","0","2","14","113.4","8.1","0.0%"
"43","Marshawn Lynch (FA)","120","450","3.8","47","0","2","28","37","179","6.4","0","1","13","100.9","7.8","0.3%"
"44","Michael Bush (FA)","123","589","4.8","60","0","3","17","19","105","6.2","0","2","16","100.4","6.3","0.0%"
"45","Maurice Morris (FA)","93","384","4.1","64","0","2","26","38","210","8.1","0","0","14","99.4","7.1","0.0%"
"46","Mike Bell (FA)","172","654","3.8","35","0","5","4","4","12","3.0","0","2","13","96.6","7.4","0.0%"
"47","Justin Fargas (FA)","129","491","3.8","35","0","3","17","21","113","6.6","0","0","12","95.4","8.0","0.0%"
"48","Derrick Ward (FA)","114","409","3.6","28","0","1","20","24","150","7.5","2","0","14","93.9","6.7","0.0%"
"49","Ryan Moats (FA)","101","390","3.9","17","0","4","13","15","106","8.2","1","2","12","88.6","7.4","0.0%"
"50","Leonard Weaver (FA)","70","323","4.6","41","0","2","15","26","140","9.3","2","0","16","85.3","5.3","0.0%"
"51","Tashard Choice (FA)","64","349","5.5","66","0","3","15","22","132","8.8","0","0","16","83.1","5.2","0.0%"
"52","Brian Westbrook (FA)","61","274","4.5","25","0","1","25","34","181","7.2","1","0","8","82.5","10.3","0.0%"
"53","Darren McFadden (FA)","104","357","3.4","28","0","1","21","36","245","11.7","0","3","12","81.2","6.8","7.0%"
"54","Rock Cartwright (FA)","64","228","3.6","34","0","0","27","32","242","9.0","1","0","16","80.0","5.0","0.0%"
"55","Larry Johnson (FA)","178","581","3.3","27","0","0","15","21","80","5.3","0","1","14","79.1","5.7","0.0%"
"56","Sammy Morris (FA)","73","319","4.4","55","0","2","19","27","180","9.5","0","1","12","78.9","6.6","0.0%"
"57","Mike Tolbert (FA)","25","148","5.9","32","0","1","17","22","192","11.3","3","0","16","75.0","4.7","0.0%"
"58","Clinton Portis (FA)","124","494","4.0","78","0","1","9","12","57","6.3","1","1","8","74.1","9.3","0.0%"
"59","Donald Brown (FA)","78","281","3.6","45","0","3","11","14","169","15.4","0","0","11","74.0","6.7","0.0%"
"60","Brandon Jackson (FA)","37","111","3.0","9","0","2","21","26","187","8.9","1","0","12","70.8","5.9","0.0%"
"61","Jamal Lewis (FA)","143","500","3.5","18","0","0","8","11","88","11.0","0","0","9","68.8","7.6","0.0%"
"62","Ladell Betts (FA)","56","210","3.8","18","0","2","17","20","179","10.5","0","0","10","67.9","6.8","0.0%"
"63","Jerious Norwood (FA)","76","252","3.3","21","0","0","19","22","186","9.8","1","1","10","66.8","6.7","0.0%"
"64","Le'Ron McClain (FA)","46","180","3.9","20","0","2","21","27","141","6.7","0","0","16","65.1","4.1","0.0%"
"65","Mewelde Moore (FA)","35","118","3.4","15","0","0","21","31","153","7.3","2","0","16","64.3","4.0","0.0%"
