"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","San Francisco 49ers (SF)","44","18","15","21","3","0","1","16","179.0","11.2","98.1%"
"2","New Orleans Saints (NO)","35","26","13","12","8","0","1","16","174.0","10.9","63.8%"
"3","Green Bay Packers (GB)","37","30","10","10","4","1","0","16","171.0","10.7","26.0%"
"4","New York Jets (NYJ)","32","17","14","11","2","0","2","16","170.0","10.6","82.8%"
"5","Philadelphia Eagles (PHI)","44","25","13","11","4","2","2","16","162.0","10.1","50.9%"
"6","Baltimore Ravens (BAL)","32","22","10","13","3","0","1","16","155.0","9.7","87.4%"
"7","Carolina Panthers (CAR)","31","22","15","20","1","2","0","16","143.0","8.9","2.9%"
"8","Denver Broncos (DEN)","39","17","13","18","2","0","2","16","142.0","8.9","34.5%"
"9","Buffalo Bills (BUF)","32","28","5","12","2","0","0","16","136.0","8.5","62.7%"
"10","Arizona Cardinals (ARI)","43","21","8","11","1","0","2","16","136.0","8.5","0.8%"
"11","New England Patriots (NE)","31","18","10","13","3","0","0","16","135.0","8.4","13.3%"
"12","Cincinnati Bengals (CIN)","34","19","6","8","3","0","1","16","133.0","8.3","49.0%"
"13","Dallas Cowboys (DAL)","42","11","10","17","1","0","2","16","133.0","8.3","93.1%"
"14","Minnesota Vikings (MIN)","48","11","13","20","1","1","2","16","131.0","8.2","11.5%"
"15","Pittsburgh Steelers (PIT)","47","12","10","14","3","0","0","16","129.0","8.1","76.5%"
"16","Los Angeles Chargers (LAC)","35","14","10","15","3","1","1","16","126.0","7.9","16.1%"
"17","Atlanta Falcons (ATL)","28","15","13","17","3","0","0","16","124.0","7.8","16.6%"
"18","Houston Texans (HOU)","30","14","13","12","3","2","1","16","120.0","7.5","30.1%"
"19","Indianapolis Colts (IND)","34","16","9","13","2","0","1","16","118.0","7.4","24.8%"
"20","Tennessee Titans (TEN)","32","20","7","14","4","0","0","16","116.0","7.3","3.5%"
"21","Tampa Bay Buccaneers (TB)","28","19","10","8","2","0","3","16","110.0","6.9","20.7%"
"22","Miami Dolphins (MIA)","44","15","6","11","2","0","2","16","106.0","6.6","69.2%"
"23","Chicago Bears (CHI)","35","13","15","21","1","1","2","16","104.0","6.5","31.5%"
"24","Kansas City Chiefs (KC)","22","15","13","11","3","1","1","16","104.0","6.5","77.1%"
"25","Seattle Seahawks (SEA)","28","13","10","11","3","0","0","16","102.0","6.4","26.2%"
"26","New York Giants (NYG)","32","13","11","18","3","0","1","16","100.0","6.3","3.0%"
"27","Cleveland Browns (CLE)","40","10","9","8","0","1","4","16","99.0","6.2","94.2%"
"28","Washington Commanders (WAS)","40","11","6","14","0","0","0","16","92.0","5.8","8.1%"
"29","Las Vegas Raiders (LV)","37","8","12","11","0","0","0","16","78.0","4.9","22.3%"
"30","Detroit Lions (DET)","26","9","13","16","3","2","0","16","75.0","4.7","43.3%"
"31","Los Angeles Rams (LAR)","25","8","11","13","1","0","0","16","63.0","3.9","21.1%"
"32","Jacksonville Jaguars (JAC)","14","15","10","15","0","0","0","16","58.0","3.6","47.6%"
""
""
