"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Ryan Longwell (FA)","26","28","92.9","52","0","0","0","0","0","54","54","16","54.0","3.4","0.0%"
"2","Nate Kaeding (FA)","32","35","91.4","55","0","0","0","0","0","50","50","16","50.0","3.1","0.0%"
"3","John Carney (FA)","13","17","76.5","46","0","0","0","0","0","50","51","11","50.0","4.5","0.0%"
"4","Mason Crosby (FA)","27","36","75.0","52","0","0","0","0","0","48","49","16","48.0","3.0","0.1%"
"5","Stephen Gostkowski (FA)","26","31","83.9","53","0","0","0","0","0","47","47","16","47.0","2.9","0.1%"
"6","Lawrence Tynes (FA)","27","32","84.4","52","0","0","0","0","0","45","45","16","45.0","2.8","0.0%"
"7","David Akers (FA)","32","37","86.5","52","0","0","0","0","0","43","43","16","43.0","2.7","0.0%"
"8","Kris Brown (FA)","21","32","65.6","56","0","0","0","0","0","43","44","16","43.0","2.7","0.0%"
"9","Jeff Reed (FA)","27","31","87.1","46","0","0","0","0","0","41","41","16","41.0","2.6","0.0%"
"10","Neil Rackers (FA)","16","17","94.1","48","0","0","0","0","0","37","37","14","37.0","2.6","0.0%"
"11","Dan Carpenter (FA)","25","28","89.3","52","0","0","0","0","0","37","37","16","37.0","2.3","0.2%"
"12","Rob Bironas (FA)","27","32","84.4","53","0","0","0","0","0","37","37","16","37.0","2.3","0.0%"
"13","Nick Folk (TEN)","18","28","64.3","51","0","0","0","0","0","36","36","14","36.0","2.6","9.4%"
"14","Matt Stover (FA)","9","11","81.8","43","0","0","0","0","0","33","33","10","33.0","3.3","0.0%"
"15","Robbie Gould (FA)","24","28","85.7","52","0","0","0","0","0","33","33","16","33.0","2.1","0.1%"
"16","Joe Nedney (FA)","17","21","81.0","51","0","0","0","0","0","33","33","14","33.0","2.4","0.0%"
"17","Jay Feely (FA)","30","36","83.3","55","0","0","0","0","0","32","32","16","32.0","2.0","0.0%"
"18","Jason Elam (FA)","12","19","63.2","50","0","0","0","0","0","32","33","11","32.0","2.9","0.0%"
"19","Matt Prater (ARI)","30","35","85.7","51","0","0","0","0","0","32","32","16","32.0","2.0","1.7%"
"20","John Kasay (FA)","22","27","81.5","50","0","0","0","0","0","31","31","16","31.0","1.9","0.0%"
"21","Josh Scobee (FA)","18","28","64.3","52","0","0","0","0","0","30","30","16","30.0","1.9","0.0%"
"22","Ryan Succop (FA)","25","29","86.2","53","0","0","0","0","0","29","29","16","29.0","1.8","0.0%"
"23","Olindo Mare (FA)","24","26","92.3","47","0","0","0","0","0","28","28","16","28.0","1.8","0.0%"
"24","Shayne Graham (FA)","23","28","82.1","53","0","0","0","0","0","28","28","16","28.0","1.8","0.0%"
"25","Stephen Hauschka (FA)","9","13","69.2","44","0","0","0","0","0","27","27","9","27.0","3.0","0.0%"
"26","Jason Hanson (FA)","21","28","75.0","50","0","0","0","0","0","25","25","16","25.0","1.6","0.0%"
"27","Shaun Suisham (FA)","20","24","83.3","48","0","0","0","0","0","25","25","14","25.0","1.8","0.0%"
"28","Rian Lindell (FA)","28","33","84.8","56","0","0","0","0","0","24","24","16","24.0","1.5","0.0%"
"29","Billy Cundiff (FA)","18","23","78.3","46","0","0","0","0","0","23","23","12","23.0","1.9","0.0%"
"30","Josh Brown (FA)","19","24","79.2","55","0","0","0","0","0","16","16","16","21.4","1.3","0.0%"
"31","Phil Dawson (FA)","17","19","89.5","49","0","0","0","0","0","18","18","11","18.4","1.7","0.1%"
"32","Sebastian Janikowski (FA)","26","29","89.7","61","0","0","0","0","0","17","17","16","17.0","1.1","20.0%"
"33","Adam Vinatieri (FA)","7","9","77.8","48","0","0","0","0","0","17","17","6","17.0","2.8","0.2%"
"34","Mike Nugent (FA)","4","8","50.0","48","0","0","0","0","0","14","14","6","14.0","2.3","1.0%"
"35","Connor Barth (FA)","14","19","73.7","54","0","0","0","0","0","12","12","9","12.0","1.3","0.0%"
"36","Matt Bryant (FA)","7","10","70.0","51","0","0","0","0","0","10","10","5","10.0","2.0","1.1%"
"37","Garrett Hartley (FA)","9","11","81.8","38","0","0","0","0","0","10","11","5","10.0","2.0","0.0%"
"38","Shane Andrus (FA)","0","1","0.0","0","0","0","0","0","0","10","10","5","10.0","2.0","0.0%"
"39","Graham Gano (NYG)","4","4","100.0","46","0","0","0","0","0","6","6","4","6.0","1.5","1.3%"
"40","Allen Rossum (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"41","Jason Baker (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"42","David Buehler (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"43","Rhys Lloyd (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
""
""
